participant,repetition,x_mm,y_mm,time,force_N
1,1,24.383,33.814,0,0.15
1,1,24.383,33.814,0.0235,0.32
1,1,24.383,33.814,0.049,0.53
1,1,24.383,33.814,0.0751,0.63
1,1,24.383,33.814,0.0987,0.76
1,1,24.383,33.814,0.1236,1.01
1,1,24.383,33.814,0.1486,1.1
1,1,24.383,33.814,0.174,1.14
1,1,24.383,33.814,0.1988,1.13
1,1,24.383,33.814,0.2242,1.06
1,1,24.383,33.814,0.2489,1
1,1,24.383,33.814,0.274,0.97
1,1,24.383,33.814,0.2995,0.94
1,1,24.383,33.814,0.3235,0.91
1,1,24.383,33.814,0.3485,0.89
1,1,24.383,33.814,0.3737,0.87
1,1,24.383,33.814,0.3999,0.76
1,1,24.383,33.814,0.4242,0.76
1,1,24.383,33.814,0.4485,0.76
1,1,24.383,33.814,0.474,0.76
1,1,24.383,33.814,0.499,0.76
1,1,24.383,33.814,0.5246,0.76
1,1,24.383,33.814,0.5488,0.76
1,1,24.383,33.814,0.5736,0.76
1,1,24.383,33.814,0.6011,0.76
1,1,24.383,33.814,0.6238,0.76
1,1,24.383,33.814,0.6494,0.76
1,1,24.383,33.814,0.674,0.76
1,1,24.383,33.814,0.699,0.76
1,1,24.383,33.814,0.7238,0.76
1,1,24.383,33.814,0.7487,0.76
1,1,24.383,33.814,0.7748,0.76
1,1,24.383,33.814,0.799,0.76
1,1,24.383,33.814,0.8254,0.76
1,1,24.383,33.814,0.8488,0.76
1,1,24.383,33.814,0.8754,0.76
1,1,24.383,33.814,0.8999,0.76
1,1,24.383,33.814,0.9293,0.76
1,1,24.383,33.814,0.9487,0.85
1,1,24.383,33.814,0.9735,0.86
1,1,24.383,33.814,0.9999,0.9
1,1,24.383,33.814,1.0246,0.99
1,1,24.383,33.814,1.0493,1.09
1,1,24.383,33.814,1.0742,1.21
1,1,24.383,33.814,1.0993,1.27
1,1,24.383,33.814,1.125,1.47
1,1,24.306,33.814,1.1488,1.51
1,1,24.076,33.814,1.1749,1.5
1,1,23.693,33.891,1.1991,1.5
1,1,23.233,33.891,1.2241,1.49
1,1,22.926,33.891,1.2493,1.49
1,1,22.389,33.891,1.278,1.46
1,1,21.929,33.737,1.2985,1.44
1,1,21.469,33.584,1.3237,1.43
1,1,20.703,33.277,1.35,1.43
1,1,20.012,32.817,1.3738,1.45
1,1,19.706,32.664,1.3997,1.46
1,1,19.246,32.357,1.4237,1.46
1,1,18.939,32.204,1.4491,1.46
1,1,18.786,32.051,1.474,1.45
1,1,18.556,31.667,1.4986,1.45
1,1,18.326,31.437,1.524,1.45
1,1,18.172,31.284,1.549,1.45
1,1,17.942,30.824,1.5749,1.46
1,1,17.942,30.134,1.5987,1.47
1,1,17.865,29.75,1.624,1.46
1,1,17.789,29.06,1.649,1.46
1,1,17.789,28.447,1.6774,1.46
1,1,17.789,28.14,1.6988,1.46
1,1,17.712,27.527,1.7237,1.47
1,1,17.635,26.377,1.7505,1.47
1,1,17.635,25.533,1.7738,1.45
1,1,17.635,24.383,1.7993,1.41
1,1,17.635,23.923,1.8241,1.39
1,1,17.635,23.079,1.8506,1.39
1,1,17.635,21.776,1.8741,1.39
1,1,17.635,21.009,1.8988,1.38
1,1,17.635,20.089,1.9235,1.38
1,1,17.635,19.476,1.9485,1.38
1,1,17.635,19.016,1.9748,1.38
1,1,17.635,17.942,1.9995,1.38
1,1,17.635,16.715,2.0268,1.4
1,1,17.635,16.102,2.0491,1.4
1,1,17.635,15.489,2.0738,1.39
1,1,17.635,15.028,2.0994,1.38
1,1,17.635,14.722,2.1293,1.41
1,1,17.635,14.262,2.1494,1.42
1,1,17.482,13.802,2.1739,1.43
1,1,17.482,13.035,2.2042,1.44
1,1,17.482,12.498,2.2237,1.45
1,1,17.482,11.961,2.2489,1.44
1,1,17.482,11.808,2.2736,1.4
1,1,17.482,11.655,2.2989,1.35
1,1,17.482,11.655,2.3247,1.21
1,1,17.482,11.655,2.3487,0.76
1,1,17.482,11.655,2.3755,0.25
1,1,17.482,11.655,2.5985,0.11
1,1,17.482,11.655,2.6237,0.11
1,1,17.482,11.655,2.6489,0.11
1,1,17.482,11.655,2.6986,0.11
1,1,17.482,11.655,2.7296,0.13
1,1,13.878,26.377,2.7501,0.15
1,1,13.878,26.377,2.7744,0.35
1,1,13.878,26.377,2.7986,0.58
1,1,13.878,26.377,2.8234,0.9
1,1,13.878,26.377,2.8496,1.25
1,1,13.878,26.377,2.8758,1.5
1,1,13.878,26.377,2.8995,1.72
1,1,13.878,26.377,2.9236,1.93
1,1,13.955,26.377,2.9492,2
1,1,14.338,26.453,2.974,1.97
1,1,15.412,26.53,2.9988,1.91
1,1,16.485,26.53,3.0236,1.89
1,1,17.022,26.53,3.0489,1.89
1,1,17.635,26.53,3.074,1.87
1,1,18.326,26.53,3.0989,1.84
1,1,18.786,26.53,3.1236,1.85
1,1,19.476,26.453,3.1485,1.87
1,1,20.089,26.377,3.1776,1.9
1,1,20.549,26.3,3.1991,1.91
1,1,21.086,26.3,3.2238,1.89
1,1,21.546,26.3,3.249,1.88
1,1,21.776,26.3,3.2735,1.87
1,1,22.006,26.3,3.3049,1.85
1,1,22.083,26.3,3.3238,1.85
1,1,22.159,26.3,3.3485,1.87
1,1,22.313,26.3,3.3753,1.88
1,1,22.543,26.3,3.3988,1.87
1,1,22.696,26.3,3.4268,1.86
1,1,22.849,26.223,3.4487,1.85
1,1,22.849,26.223,3.4735,1.86
1,1,22.849,26.223,3.4992,1.89
1,1,22.849,26.223,3.5265,1.93
1,1,22.849,26.223,3.5488,1.88
1,1,22.926,26.223,3.5742,1.67
1,1,23.003,26.146,3.5994,1.07
1,1,23.003,26.146,3.6239,0.32
1,2,24,32.204,0,0.21
1,2,24.076,32.204,0.0261,0.29
