participant,repetition,x_mm,y_mm,time,force_N
1,1,25.993,19.016,0,0.18
1,1,25.993,19.016,0.0189,0.3
1,1,25.993,19.016,0.0449,0.52
1,1,25.993,19.016,0.0683,0.59
1,1,25.993,19.016,0.0933,0.69
1,1,25.993,19.016,0.1195,0.84
1,1,25.993,19.092,0.1435,0.87
1,1,25.916,19.246,0.1689,0.87
1,1,25.61,19.782,0.1931,0.86
1,1,25.38,20.396,0.2203,0.86
1,1,25.226,20.703,0.2435,0.88
1,1,24.996,21.163,0.2684,0.88
1,1,24.613,21.623,0.2933,0.88
1,1,24.306,22.006,0.3204,0.87
1,1,24.076,22.159,0.3437,0.88
1,1,23.77,22.389,0.3693,0.92
1,1,23.54,22.619,0.3973,1
1,1,23.386,22.773,0.4182,1
1,1,23.156,23.003,0.4433,1
1,1,23.003,23.156,0.4689,1
1,1,22.773,23.386,0.4939,1
1,1,22.543,23.616,0.5183,1
1,1,22.389,23.77,0.5436,1
1,1,22.159,24,0.5686,1
1,1,21.776,24.306,0.5938,1
1,1,21.469,24.536,0.6182,1
1,1,21.239,24.766,0.6433,1
1,1,20.779,24.996,0.6696,1
1,1,20.472,25.15,0.6935,1
1,1,20.012,25.38,0.7184,1
1,1,19.629,25.61,0.7443,1
1,1,19.322,25.763,0.7684,1
1,1,18.862,25.993,0.7944,1
1,1,18.632,25.993,0.8184,1
1,1,18.172,25.993,0.8432,1
1,1,17.712,25.993,0.8682,1
1,1,17.252,25.84,0.8953,1
1,1,16.562,25.61,0.9257,0.91
1,1,16.179,25.456,0.9433,0.89
1,1,15.719,25.15,0.968,0.9
1,1,15.335,24.766,0.9931,0.9
1,1,14.875,24.306,1.0183,0.89
1,1,14.645,24,1.0439,0.88
1,1,14.338,23.846,1.0687,0.89
1,1,14.108,23.54,1.0934,0.91
1,1,13.955,23.386,1.1188,1
1,1,13.495,22.773,1.1508,1
1,1,13.265,22.313,1.1684,1
1,1,12.958,21.853,1.1932,1
1,1,12.728,21.086,1.2188,1
1,1,12.498,20.089,1.244,0.92
1,1,12.268,19.706,1.269,0.92
1,1,12.038,18.939,1.2931,1
1,1,11.808,18.019,1.3186,1
1,1,11.731,17.482,1.3435,1
1,1,11.578,16.332,1.3683,1
1,1,11.578,15.642,1.3937,1
1,1,11.578,15.335,1.4182,1
1,1,11.808,14.798,1.4436,1
1,1,11.961,14.338,1.4687,1
1,1,12.268,13.725,1.4971,1
1,1,12.728,13.035,1.5181,1
1,1,12.958,12.575,1.5441,1
1,1,13.188,12.115,1.569,1
1,1,13.418,11.731,1.5933,1
1,1,13.648,11.501,1.6184,1
1,1,13.955,11.271,1.6432,1
1,1,14.415,10.965,1.6759,1
1,1,14.875,10.811,1.6934,1
1,1,15.565,10.505,1.7182,1
1,1,16.255,10.275,1.7437,1
1,1,16.715,10.121,1.7686,1
1,1,17.175,9.891,1.7939,1
1,1,17.635,9.738,1.8183,1
1,1,17.865,9.738,1.8464,1
1,1,18.172,9.738,1.8688,1
1,1,18.632,9.738,1.8941,1
1,1,18.939,9.738,1.9195,1
1,1,19.476,9.891,1.9433,1
1,1,19.859,9.968,1.9682,1
1,1,20.166,10.045,1.9936,1
1,1,20.779,10.275,2.0193,1
1,1,21.239,10.505,2.0444,1
1,1,21.546,10.658,2.0684,1
1,1,21.776,10.888,2.0938,1
1,1,22.006,11.271,2.1187,1
1,1,22.466,11.885,2.1438,1
1,1,22.773,12.345,2.1683,0.92
1,1,22.926,12.498,2.1932,0.91
1,1,23.079,12.728,2.2185,0.88
1,1,23.386,12.882,2.2471,0.67
1,1,23.386,12.882,2.2684,0.28
1,1,25.533,26.683,2.8969,0.14
1,1,25.533,26.683,2.9187,0.27
1,1,25.533,26.683,2.9467,0.39
1,1,25.533,26.683,2.9682,0.49
1,1,25.533,26.683,2.9934,0.62
1,1,25.533,26.683,3.0185,0.72
1,1,25.533,26.683,3.0453,0.75
1,1,25.533,26.453,3.0682,0.84
1,1,25.61,25.916,3.094,0.89
