participant,repetition,x_mm,y_mm,time,force_N
1,1,18.709,25.763,0,0.14
1,1,18.709,25.763,0.0248,0.33
1,1,18.709,25.763,0.0535,0.56
1,1,18.709,25.763,0.0745,0.69
1,1,18.709,25.763,0.0999,0.86
1,1,18.709,25.763,0.1264,0.95
1,1,18.709,25.763,0.1498,1.04
1,1,18.709,25.763,0.175,1.08
1,1,18.709,25.763,0.201,1.07
1,1,18.709,25.763,0.2284,0.99
1,1,18.709,25.763,0.25,0.98
1,1,18.709,25.763,0.2749,0.96
1,1,18.709,25.763,0.2996,0.95
1,1,18.709,25.763,0.3247,0.86
1,1,18.709,25.763,0.3511,0.86
1,1,18.709,25.763,0.375,0.86
1,1,18.709,25.763,0.3995,0.86
1,1,18.709,25.763,0.4249,0.86
1,1,18.709,25.763,0.451,0.86
1,1,18.709,25.763,0.4748,0.86
1,1,18.709,25.763,0.4997,0.94
1,1,18.709,25.763,0.5251,0.99
1,1,18.709,25.763,0.5499,1.03
1,1,18.709,25.763,0.5751,1.11
1,1,18.709,25.763,0.6,1.22
1,1,18.709,25.763,0.6254,1.3
1,1,18.709,25.763,0.6509,1.36
1,1,18.709,25.763,0.6752,1.35
1,1,18.709,25.763,0.7004,1.33
1,1,18.709,25.763,0.7246,1.3
1,1,18.709,25.763,0.7539,1.28
1,1,18.709,25.763,0.7745,1.27
1,1,18.709,25.763,0.8001,1.27
1,1,18.709,25.763,0.8245,1.26
1,1,18.709,25.763,0.8496,1.24
1,1,18.709,25.763,0.8751,1.22
1,1,18.709,25.763,0.8998,1.21
1,1,18.709,25.763,0.9285,1.22
1,1,18.709,25.763,0.95,1.21
1,1,18.709,25.763,0.9762,1.19
1,1,18.709,25.763,0.9998,1.19
1,1,18.709,25.763,1.0251,1.19
1,1,18.709,25.763,1.0512,1.2
1,1,18.709,25.763,1.0751,1.21
1,1,18.709,25.763,1.1008,1.2
1,1,18.709,25.686,1.1248,1.21
1,1,18.479,24.69,1.1495,1.21
1,1,18.326,23.693,1.1763,1.21
1,1,18.326,23.003,1.2001,1.19
1,1,18.326,21.929,1.2253,1.17
1,1,18.326,21.009,1.2497,1.18
1,1,18.326,19.936,1.2755,1.2
1,1,18.326,19.322,1.3001,1.2
1,1,18.326,18.632,1.3259,1.18
1,1,18.326,17.329,1.3495,1.17
1,1,18.326,16.332,1.3745,1.18
1,1,18.326,15.872,1.4027,1.17
1,1,18.326,15.565,1.4251,1.17
1,1,18.172,14.645,1.4501,1.18
1,1,18.019,13.572,1.4746,1.18
1,1,17.942,12.498,1.5035,1.17
1,1,17.942,11.885,1.5248,1.15
1,1,17.942,11.578,1.5497,1.16
1,1,17.942,11.041,1.5745,1.17
1,1,17.942,10.581,1.5995,1.16
1,1,17.942,10.275,1.625,1.14
1,1,17.942,9.815,1.6499,1.14
1,1,17.942,9.431,1.6771,1.16
1,1,17.942,9.201,1.6999,1.15
1,1,17.942,8.971,1.7265,1.14
1,1,17.942,8.894,1.7498,1.14
1,1,17.942,8.894,1.7748,1.14
1,1,17.942,8.894,1.7996,1.15
1,1,17.942,8.894,1.8247,1.15
1,1,17.942,8.894,1.8509,1.12
1,1,17.942,8.894,1.8749,1.1
1,1,17.942,8.894,1.8996,0.96
1,1,18.096,8.894,1.925,0.55
1,1,18.096,8.894,1.9501,0.13
1,1,19.629,32.434,2.3999,0.12
1,1,19.629,32.434,2.4285,0.22
1,1,19.629,32.434,2.4499,0.39
1,1,19.629,32.434,2.4747,0.58
1,1,19.629,32.434,2.5005,0.77
1,1,19.629,32.434,2.5247,1.04
1,1,19.629,32.434,2.5526,1.32
1,1,19.629,32.434,2.575,1.48
1,1,19.629,32.434,2.607,1.59
1,1,19.629,32.434,2.6249,1.65
1,1,19.629,32.434,2.6494,1.77
1,1,19.629,32.434,2.6753,1.8
1,1,19.629,32.434,2.6998,1.77
1,1,19.629,32.434,2.7251,1.72
1,1,19.629,32.434,2.7496,1.68
1,1,19.629,32.434,2.7781,1.6
1,1,19.629,32.434,2.7996,1.53
1,1,19.629,32.434,2.8254,1.49
1,1,19.629,32.434,2.8496,1.47
1,1,19.629,32.434,2.8746,1.47
1,1,19.629,32.434,2.905,1.49
1,1,19.629,32.434,2.9249,1.5
1,1,19.629,32.434,2.9501,1.52
1,1,19.629,32.434,2.9747,1.56
1,1,19.629,32.434,2.9997,1.58
1,1,19.629,32.434,3.0287,1.57
1,1,19.629,32.434,3.0497,1.57
1,1,19.629,32.434,3.0749,1.57
1,1,19.629,32.434,3.0996,1.58
1,1,19.629,32.434,3.1252,1.57
1,1,19.629,32.434,3.1498,1.53
1,1,19.629,32.434,3.1745,1.44
1,1,19.629,32.434,3.2,1.06
1,1,19.629,32.434,3.2248,0.74
1,1,19.629,32.434,3.2507,0.15
1,2,18.939,26.53,0,0.14
1,2,18.939,26.53,0.0252,0.34
1,2,18.939,26.53,0.05,0.56
1,2,18.939,26.53,0.0759,0.77
1,2,18.939,26.53,0.1003,0.95
1,2,18.939,26.53,0.1253,1.05
1,2,18.939,26.53,0.1541,1.19
1,2,18.862,26.377,0.1751,1.21
1,2,18.556,25.303,0.2017,1.21
1,2,18.402,24.46,0.2254,1.2
1,2,18.326,23.693,0.25,1.14
1,2,18.402,22.773,0.2748,1.1
1,2,18.402,21.546,0.3041,1.1
1,2,18.402,20.549,0.3256,1.09
1,2,18.556,19.706,0.3505,1.09
1,2,18.632,19.016,0.3749,1.08
1,2,18.786,17.942,0.4009,1.06
1,2,18.786,16.945,0.4257,1.07
1,2,18.786,16.255,0.4503,1.11
1,2,18.786,15.565,0.475,1.13
1,2,18.862,14.645,0.5036,1.14
1,2,18.939,13.955,0.5251,1.14
1,2,19.016,13.188,0.5534,1.15
1,2,19.092,12.575,0.5752,1.2
1,2,19.092,11.808,0.5999,1.23
1,2,19.092,11.425,0.6258,1.24
1,2,19.092,11.118,0.65,1.24
1,2,19.092,10.888,0.6753,1.25
1,2,19.092,10.658,0.6999,1.25
1,2,19.092,10.428,0.7289,1.25
1,2,19.092,10.351,0.7502,1.24
1,2,19.092,10.351,0.7751,1.25
1,2,19.092,10.351,0.8006,1.26
1,2,19.092,10.351,0.8254,1.28
1,2,19.092,10.351,0.8507,1.27
1,2,19.092,10.351,0.8764,1.27
1,2,19.092,10.351,0.9046,1.27
1,2,19.092,10.351,0.9249,1.28
1,2,19.092,10.351,0.9503,1.28
1,2,19.092,10.351,0.9754,1.29
1,2,19.092,10.351,0.9999,1.31
1,2,19.092,10.351,1.0249,1.33
1,2,19.092,10.351,1.05,1.34
1,2,19.092,10.351,1.0771,1.32
1,2,19.092,10.351,1.1007,1.3
1,2,19.092,10.351,1.125,1.24
1,2,19.092,10.351,1.1506,1.03
1,2,19.092,10.351,1.1765,0.57
1,2,19.092,10.351,1.2004,0.12
1,2,18.019,32.357,1.6506,0.23
1,2,18.019,32.357,1.675,0.58
1,2,18.019,32.357,1.7001,0.86
1,2,18.019,32.357,1.7256,1.1
1,2,18.019,32.357,1.753,1.47
1,2,18.019,32.357,1.7749,1.72
1,2,18.019,32.357,1.7999,1.78
1,2,18.019,32.357,1.8255,1.81
1,2,18.019,32.357,1.85,1.84
1,2,18.019,32.357,1.8752,1.84
1,2,18.019,32.357,1.9006,1.8
1,2,18.019,32.357,1.9254,1.78
1,2,18.019,32.357,1.951,1.78
1,2,18.019,32.357,1.9749,1.78
1,2,18.019,32.357,1.9999,1.77
1,2,18.019,32.357,2.0253,1.76
1,2,18.019,32.357,2.0523,1.79
1,2,18.019,32.357,2.0763,1.84
1,2,18.019,32.357,2.0999,1.87
1,2,18.019,32.357,2.1255,1.91
1,2,18.019,32.357,2.1499,1.96
1,2,18.019,32.357,2.1801,1.98
1,2,18.019,32.357,2.1999,1.98
1,2,18.019,32.357,2.2249,2
1,2,18.019,32.357,2.2517,2.02
1,2,18.019,32.357,2.2751,1.99
1,2,18.019,32.357,2.3002,1.95
1,2,18.019,32.357,2.3251,1.89
1,2,18.019,32.357,2.3503,1.65
1,2,18.096,32.281,2.3752,1.04
1,2,18.096,32.281,2.3999,0.33
1,3,19.246,26.607,0,0.13
1,3,19.246,26.607,0.0231,0.18
1,3,19.246,26.607,0.0476,0.33
1,3,19.246,26.607,0.0753,0.56
1,3,19.246,26.607,0.098,0.86
1,3,19.246,26.607,0.1232,1.05
1,3,19.246,26.607,0.1476,1.14
1,3,19.246,26.453,0.1725,1.26
1,3,19.322,25.993,0.198,1.32
1,3,19.552,24.69,0.2228,1.32
1,3,19.782,23.846,0.2486,1.31
1,3,19.782,23.386,0.2727,1.3
1,3,19.859,22.313,0.3,1.3
1,3,19.859,21.239,0.3229,1.3
1,3,19.859,20.549,0.3479,1.3
1,3,19.859,19.706,0.3726,1.27
1,3,19.706,18.479,0.3981,1.24
1,3,19.629,17.559,0.4237,1.16
1,3,19.629,16.409,0.4479,1.08
1,3,19.629,15.795,0.4734,1.07
1,3,19.629,15.489,0.4975,1.09
1,3,19.629,14.952,0.5226,1.12
1,3,19.629,14.032,0.55,1.12
1,3,19.629,13.495,0.5729,1.12
1,3,19.629,12.882,0.5975,1.11
1,3,19.629,12.575,0.6231,1.13
1,3,19.629,11.808,0.6529,1.18
1,3,19.629,11.501,0.6728,1.19
1,3,19.629,11.118,0.6995,1.19
1,3,19.629,10.888,0.7226,1.19
1,3,19.629,10.505,0.7476,1.19
1,3,19.629,10.351,0.7736,1.2
1,3,19.629,10.121,0.7976,1.21
1,3,19.629,9.891,0.8225,1.23
1,3,19.629,9.891,0.8491,1.22
1,3,19.629,9.891,0.8729,1.22
1,3,19.629,9.891,0.898,1.22
1,3,19.629,9.891,0.9228,1.24
1,3,19.629,9.891,0.9476,1.27
1,3,19.629,9.891,0.9731,1.31
1,3,19.629,9.738,0.9995,1.36
1,3,19.629,9.738,1.0229,1.36
1,3,19.629,9.738,1.0477,1.35
1,3,19.629,9.661,1.0726,1.32
1,3,19.629,9.661,1.0978,1.13
1,3,19.629,9.661,1.1235,0.6
1,3,19.629,9.661,1.1478,0.13
1,3,19.246,32.051,1.648,0.14
1,3,19.246,32.051,1.6728,0.57
1,3,19.246,32.051,1.6978,1.16
1,3,19.246,32.051,1.7243,1.43
1,3,19.246,32.051,1.7532,1.75
1,3,19.246,32.051,1.7732,1.96
1,3,19.246,32.051,1.7977,2
1,3,19.246,32.051,1.8227,1.99
1,3,19.246,32.051,1.8482,2
1,3,19.246,32.051,1.8738,2.03
1,3,19.246,32.051,1.8982,2.01
1,3,19.246,32.051,1.9224,1.95
1,3,19.246,32.051,1.9477,1.94
1,3,19.246,32.051,1.9733,1.92
1,3,19.246,32.051,1.9984,1.9
1,3,19.246,32.051,2.0227,1.83
1,3,19.246,32.051,2.0496,1.82
1,3,19.246,32.051,2.073,1.81
1,3,19.246,32.051,2.1019,1.78
