participant,repetition,x_mm,y_mm,time,force_N
1,1,13.035,32.281,0,0.34
1,1,13.035,32.281,0.0253,0.62
1,1,13.035,32.281,0.0504,0.77
1,1,13.035,32.281,0.0752,0.99
1,1,13.035,32.281,0.101,1.17
1,1,13.035,32.281,0.1259,1.38
1,1,13.035,32.281,0.1536,1.53
1,1,13.035,32.281,0.1755,1.64
1,1,13.035,32.281,0.2004,1.65
1,1,13.035,32.281,0.2257,1.59
1,1,13.035,32.281,0.2515,1.5
1,1,13.035,32.281,0.2765,1.45
1,1,13.035,32.281,0.3004,1.41
1,1,13.035,32.281,0.3264,1.37
1,1,13.035,32.281,0.3514,1.35
1,1,13.035,32.281,0.3773,1.31
1,1,13.035,32.281,0.4006,1.27
1,1,13.035,32.281,0.4251,1.23
1,1,13.035,32.281,0.4501,1.2
1,1,13.035,32.281,0.4755,1.19
1,1,13.035,32.281,0.5064,1.16
1,1,13.035,32.281,0.5253,1.15
1,1,13.035,32.281,0.5642,1.12
1,1,13.035,32.281,0.5829,1.12
1,1,13.035,32.281,0.6013,1.12
1,1,13.035,32.281,0.6255,1.1
1,1,13.035,32.281,0.6503,1.09
1,1,13.035,32.281,0.6769,1.11
1,1,13.035,32.281,0.7006,1.13
1,1,13.035,32.281,0.7278,1.16
1,1,13.035,32.281,0.7506,1.17
1,1,13.035,32.281,0.7751,1.18
1,1,13.035,32.281,0.8006,1.18
1,1,13.035,32.281,0.8263,1.17
1,1,13.035,32.281,0.8505,1.12
1,1,13.035,32.281,0.8752,1.09
1,1,13.035,32.281,0.9008,1.1
1,1,13.035,32.281,0.927,1.14
1,1,13.035,32.281,0.9506,1.18
1,1,13.035,32.281,0.9761,1.2
1,1,13.035,32.281,1,1.22
1,1,13.035,32.281,1.0252,1.23
1,1,13.035,32.281,1.052,1.25
1,1,13.035,32.281,1.0805,1.3
1,1,13.035,32.281,1.1003,1.35
1,1,13.035,32.281,1.1252,1.4
1,1,13.035,32.281,1.1506,1.44
1,1,13.035,32.281,1.1754,1.52
1,1,13.035,32.281,1.2013,1.61
1,1,13.035,32.281,1.226,1.68
1,1,13.035,32.281,1.2506,1.72
1,1,13.035,32.281,1.2787,1.74
1,1,13.035,32.281,1.3013,1.74
1,1,13.035,32.281,1.3255,1.75
1,1,13.035,32.204,1.35,1.78
1,1,13.188,31.821,1.3761,1.77
1,1,13.188,30.977,1.4017,1.74
1,1,13.188,30.134,1.4256,1.7
1,1,13.188,29.137,1.4527,1.69
1,1,13.188,28.6,1.4756,1.69
1,1,13.188,27.987,1.5016,1.69
1,1,13.265,27.067,1.5253,1.66
1,1,13.342,26.07,1.551,1.65
1,1,13.342,24.613,1.5754,1.64
1,1,13.342,23.309,1.6005,1.63
1,1,13.342,21.776,1.6257,1.61
1,1,13.418,20.089,1.6508,1.6
1,1,13.418,19.092,1.6767,1.56
1,1,13.418,18.172,1.7001,1.54
1,1,13.418,17.022,1.7255,1.55
1,1,13.418,16.179,1.7507,1.57
1,1,13.418,15.795,1.776,1.57
1,1,13.418,15.259,1.8001,1.58
1,1,13.418,14.645,1.8263,1.6
1,1,13.418,13.802,1.8527,1.61
1,1,13.418,13.265,1.8757,1.61
