Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
B_Lowercase,12.5592,32.3918,0.7147,0.000,Yes
B_Lowercase,12.5483,32.1738,0.7497,0.010,Yes
B_Lowercase,12.5368,31.9595,0.7849,0.020,Yes
B_Lowercase,12.5242,31.7455,0.8201,0.030,Yes
B_Lowercase,12.5103,31.5278,0.8549,0.040,Yes
B_Lowercase,12.4949,31.3014,0.8891,0.050,Yes
B_Lowercase,12.4778,31.0592,0.9224,0.060,Yes
B_Lowercase,12.4593,30.7912,0.9544,0.070,Yes
B_Lowercase,12.4398,30.4830,0.9846,0.080,Yes
B_Lowercase,12.4204,30.1156,1.0120,0.090,Yes
B_Lowercase,12.4020,29.6784,1.0353,0.100,Yes
B_Lowercase,12.3837,29.2000,1.0538,0.110,Yes
B_Lowercase,12.3637,28.7340,1.0687,0.120,Yes
B_Lowercase,12.3436,28.2960,1.0816,0.130,Yes
B_Lowercase,12.3266,27.8719,1.0935,0.140,Yes
B_Lowercase,12.3159,27.4459,1.1048,0.150,Yes
B_Lowercase,12.3128,27.0088,1.1159,0.160,Yes
B_Lowercase,12.3166,26.5581,1.1273,0.170,Yes
B_Lowercase,12.3253,26.0959,1.1395,0.180,Yes
B_Lowercase,12.3363,25.6260,1.1529,0.190,Yes
B_Lowercase,12.3477,25.1506,1.1674,0.200,Yes
B_Lowercase,12.3582,24.6705,1.1827,0.210,Yes
B_Lowercase,12.3675,24.1856,1.1984,0.220,Yes
B_Lowercase,12.3755,23.6964,1.2139,0.230,Yes
B_Lowercase,12.3823,23.2055,1.2285,0.240,Yes
B_Lowercase,12.3877,22.7179,1.2416,0.250,Yes
B_Lowercase,12.3917,22.2397,1.2530,0.260,Yes
B_Lowercase,12.3936,21.7770,1.2627,0.270,Yes
B_Lowercase,12.3931,21.3340,1.2710,0.280,Yes
B_Lowercase,12.3896,20.9129,1.2784,0.290,Yes
B_Lowercase,12.3831,20.5132,1.2854,0.300,Yes
B_Lowercase,12.3745,20.1319,1.2922,0.310,Yes
B_Lowercase,12.3650,19.7636,1.2989,0.320,Yes
B_Lowercase,12.3563,19.4013,1.3054,0.330,Yes
B_Lowercase,12.3503,19.0368,1.3115,0.340,Yes
B_Lowercase,12.3487,18.6604,1.3168,0.350,Yes
B_Lowercase,12.3530,18.2609,1.3207,0.360,Yes
B_Lowercase,12.3644,17.8247,1.3226,0.370,Yes
B_Lowercase,12.3828,17.3357,1.3217,0.380,Yes
B_Lowercase,12.4063,16.7796,1.3175,0.390,Yes
B_Lowercase,12.4277,16.1675,1.3115,0.400,Yes
B_Lowercase,12.4370,15.5676,1.3077,0.410,Yes
B_Lowercase,12.4314,15.0494,1.3091,0.420,Yes
B_Lowercase,12.4162,14.6189,1.3145,0.430,Yes
B_Lowercase,12.3967,14.2536,1.3220,0.440,Yes
B_Lowercase,12.3760,13.9345,1.3299,0.450,Yes
B_Lowercase,12.3564,13.6496,1.3372,0.460,Yes
B_Lowercase,12.3392,13.3925,1.3432,0.470,Yes
B_Lowercase,12.3256,13.1598,1.3479,0.480,Yes
B_Lowercase,12.3162,12.9491,1.3514,0.490,Yes
B_Lowercase,12.3112,12.7581,1.3543,0.500,Yes
B_Lowercase,12.3100,12.5834,1.3568,0.510,Yes
B_Lowercase,12.3122,12.4219,1.3592,0.520,Yes
B_Lowercase,12.3172,12.2710,1.3617,0.530,Yes
B_Lowercase,12.3245,12.1281,1.3643,0.540,Yes
B_Lowercase,12.3337,11.9911,1.3670,0.550,Yes
B_Lowercase,12.3447,11.8584,1.3698,0.560,Yes
B_Lowercase,12.3570,11.7287,1.3727,0.570,Yes
B_Lowercase,12.3707,11.6007,1.3757,0.580,Yes
B_Lowercase,12.3857,11.4731,1.3786,0.590,Yes
B_Lowercase,12.4018,11.3447,1.3816,0.600,Yes
B_Lowercase,12.4190,11.2139,1.3843,0.610,Yes
B_Lowercase,12.4374,11.0789,1.3869,0.620,Yes
B_Lowercase,12.4569,10.9368,1.3892,0.630,Yes
B_Lowercase,12.4773,10.7835,1.3909,0.640,Yes
B_Lowercase,12.4978,10.6110,1.3918,0.650,Yes
B_Lowercase,12.5161,10.4013,1.3910,0.660,Yes
B_Lowercase,12.5185,10.0942,1.3865,0.670,Yes
B_Lowercase,12.3802,9.4180,1.3732,0.680,Yes
B_Lowercase,12.3600,9.3011,1.3548,0.690,Yes
B_Lowercase,12.3566,9.2387,1.3354,0.700,Yes
B_Lowercase,12.3555,9.1842,1.3159,0.710,Yes
B_Lowercase,12.3559,9.1391,1.2958,0.720,Yes
B_Lowercase,12.3563,9.0939,1.2758,0.730,Yes
B_Lowercase,12.3563,9.0507,1.2555,0.740,Yes
B_Lowercase,12.3561,9.0095,1.2350,0.750,Yes
B_Lowercase,12.3558,8.9684,1.2145,0.760,Yes
B_Lowercase,12.3547,8.9276,1.1938,0.770,Yes
B_Lowercase,12.3522,8.8874,1.1727,0.780,Yes
B_Lowercase,12.3498,8.8473,1.1517,0.790,Yes
B_Lowercase,12.3459,8.8066,1.1304,0.800,Yes
B_Lowercase,12.3394,8.7650,1.1087,0.810,Yes
B_Lowercase,12.3329,8.7234,1.0869,0.820,Yes
B_Lowercase,12.3197,8.6769,1.0643,0.830,Yes
B_Lowercase,12.3006,8.6250,1.0409,0.840,Yes
B_Lowercase,12.2923,8.8076,0.0000,0.856,No
B_Lowercase,12.3047,9.0289,0.0000,0.866,No
B_Lowercase,12.3172,9.2502,0.0000,0.876,No
B_Lowercase,12.3297,9.4716,0.0000,0.886,No
B_Lowercase,12.3421,9.6929,0.0000,0.896,No
B_Lowercase,12.3546,9.9142,0.0000,0.906,No
B_Lowercase,12.3670,10.1355,0.0000,0.916,No
B_Lowercase,12.3795,10.3569,0.0000,0.926,No
B_Lowercase,12.3920,10.5782,0.0000,0.936,No
B_Lowercase,12.4044,10.7995,0.0000,0.946,No
B_Lowercase,12.4169,11.0209,0.0000,0.956,No
B_Lowercase,12.4293,11.2422,0.0000,0.966,No
B_Lowercase,12.4418,11.4635,0.0000,0.976,No
B_Lowercase,12.4542,11.6848,0.0000,0.986,No
B_Lowercase,12.4667,11.9062,0.0000,0.996,No
B_Lowercase,12.4792,12.1275,0.0000,1.006,No
B_Lowercase,12.4916,12.3488,0.0000,1.016,No
B_Lowercase,12.5041,12.5702,0.0000,1.026,No
B_Lowercase,12.5165,12.7915,0.0000,1.036,No
B_Lowercase,12.5290,13.0128,0.0000,1.046,No
B_Lowercase,12.5415,13.2341,0.0000,1.056,No
B_Lowercase,12.5539,13.4555,0.0000,1.066,No
B_Lowercase,12.5664,13.6768,0.0000,1.076,No
B_Lowercase,12.5788,13.8981,0.0000,1.086,No
B_Lowercase,12.5913,14.1194,0.0000,1.096,No
B_Lowercase,12.6038,14.3408,0.0000,1.106,No
