Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
B_Uppercase,11.8444,9.3551,0.6883,0.000,Yes
B_Uppercase,11.8229,9.7551,0.7213,0.010,Yes
B_Uppercase,11.7992,10.1565,0.7526,0.020,Yes
B_Uppercase,11.7736,10.5603,0.7826,0.030,Yes
B_Uppercase,11.7462,10.9671,0.8114,0.040,Yes
B_Uppercase,11.7172,11.3776,0.8392,0.050,Yes
B_Uppercase,11.6865,11.7924,0.8661,0.060,Yes
B_Uppercase,11.6542,12.2121,0.8922,0.070,Yes
B_Uppercase,11.6203,12.6375,0.9177,0.080,Yes
B_Uppercase,11.5847,13.0696,0.9427,0.090,Yes
B_Uppercase,11.5473,13.5098,0.9673,0.100,Yes
B_Uppercase,11.5081,13.9593,0.9915,0.110,Yes
B_Uppercase,11.4670,14.4200,1.0155,0.120,Yes
B_Uppercase,11.4242,14.8944,1.0394,0.130,Yes
B_Uppercase,11.3801,15.3842,1.0634,0.140,Yes
B_Uppercase,11.3358,15.8910,1.0875,0.150,Yes
B_Uppercase,11.2935,16.4146,1.1118,0.160,Yes
B_Uppercase,11.2563,16.9502,1.1361,0.170,Yes
B_Uppercase,11.2280,17.4880,1.1599,0.180,Yes
B_Uppercase,11.2111,18.0150,1.1823,0.190,Yes
B_Uppercase,11.2055,18.5211,1.2026,0.200,Yes
B_Uppercase,11.2085,19.0025,1.2206,0.210,Yes
B_Uppercase,11.2168,19.4614,1.2361,0.220,Yes
B_Uppercase,11.2278,19.9020,1.2494,0.230,Yes
B_Uppercase,11.2396,20.3277,1.2607,0.240,Yes
B_Uppercase,11.2510,20.7422,1.2703,0.250,Yes
B_Uppercase,11.2612,21.1474,1.2784,0.260,Yes
B_Uppercase,11.2698,21.5453,1.2851,0.270,Yes
B_Uppercase,11.2766,21.9370,1.2908,0.280,Yes
B_Uppercase,11.2817,22.3233,1.2956,0.290,Yes
B_Uppercase,11.2850,22.7046,1.2995,0.300,Yes
B_Uppercase,11.2866,23.0814,1.3028,0.310,Yes
B_Uppercase,11.2867,23.4544,1.3055,0.320,Yes
B_Uppercase,11.2854,23.8238,1.3079,0.330,Yes
B_Uppercase,11.2830,24.1900,1.3099,0.340,Yes
B_Uppercase,11.2795,24.5534,1.3118,0.350,Yes
B_Uppercase,11.2754,24.9138,1.3137,0.360,Yes
B_Uppercase,11.2707,25.2708,1.3156,0.370,Yes
B_Uppercase,11.2661,25.6231,1.3177,0.380,Yes
B_Uppercase,11.2619,25.9685,1.3201,0.390,Yes
B_Uppercase,11.2588,26.3035,1.3229,0.400,Yes
B_Uppercase,11.2576,26.6232,1.3262,0.410,Yes
B_Uppercase,11.2589,26.9230,1.3301,0.420,Yes
B_Uppercase,11.2628,27.2010,1.3344,0.430,Yes
B_Uppercase,11.2696,27.4544,1.3391,0.440,Yes
B_Uppercase,11.2788,27.6862,1.3440,0.450,Yes
B_Uppercase,11.2905,27.8950,1.3491,0.460,Yes
B_Uppercase,11.3040,28.0864,1.3542,0.470,Yes
B_Uppercase,11.3189,28.2626,1.3593,0.480,Yes
B_Uppercase,11.3349,28.4258,1.3644,0.490,Yes
B_Uppercase,11.3518,28.5782,1.3693,0.500,Yes
B_Uppercase,11.3694,28.7219,1.3741,0.510,Yes
B_Uppercase,11.3874,28.8584,1.3787,0.520,Yes
B_Uppercase,11.4057,28.9891,1.3832,0.530,Yes
B_Uppercase,11.4244,29.1140,1.3875,0.540,Yes
B_Uppercase,11.4432,29.2348,1.3917,0.550,Yes
B_Uppercase,11.4622,29.3527,1.3957,0.560,Yes
B_Uppercase,11.4812,29.4682,1.3996,0.570,Yes
B_Uppercase,11.5002,29.5808,1.4033,0.580,Yes
B_Uppercase,11.5193,29.6919,1.4068,0.590,Yes
B_Uppercase,11.5384,29.8018,1.4103,0.600,Yes
B_Uppercase,11.5575,29.9105,1.4135,0.610,Yes
B_Uppercase,11.5767,30.0184,1.4166,0.620,Yes
B_Uppercase,11.5960,30.1259,1.4196,0.630,Yes
B_Uppercase,11.6154,30.2330,1.4224,0.640,Yes
B_Uppercase,11.6351,30.3400,1.4251,0.650,Yes
B_Uppercase,11.6548,30.4469,1.4277,0.660,Yes
B_Uppercase,11.6750,30.5540,1.4301,0.670,Yes
B_Uppercase,11.6956,30.6613,1.4324,0.680,Yes
B_Uppercase,11.7166,30.7688,1.4346,0.690,Yes
B_Uppercase,11.7385,30.8768,1.4367,0.700,Yes
B_Uppercase,11.7610,30.9850,1.4386,0.710,Yes
B_Uppercase,11.7843,31.0936,1.4404,0.720,Yes
B_Uppercase,11.8093,31.2026,1.4421,0.730,Yes
B_Uppercase,11.8355,31.3119,1.4437,0.740,Yes
B_Uppercase,11.8630,31.4214,1.4452,0.750,Yes
B_Uppercase,11.8934,31.5310,1.4466,0.760,Yes
B_Uppercase,11.9259,31.6406,1.4478,0.770,Yes
B_Uppercase,11.9607,31.7501,1.4490,0.780,Yes
B_Uppercase,11.9998,31.8590,1.4500,0.790,Yes
B_Uppercase,12.0431,31.9671,1.4509,0.800,Yes
B_Uppercase,12.0907,32.0741,1.4517,0.810,Yes
B_Uppercase,12.1434,32.1797,1.4525,0.820,Yes
B_Uppercase,12.2043,32.2826,1.4531,0.830,Yes
B_Uppercase,12.2734,32.3824,1.4536,0.840,Yes
B_Uppercase,12.3518,32.4783,1.4540,0.850,Yes
B_Uppercase,12.4413,32.5692,1.4543,0.860,Yes
B_Uppercase,12.5443,32.6535,1.4546,0.870,Yes
B_Uppercase,12.6631,32.7296,1.4548,0.880,Yes
B_Uppercase,12.8004,32.7954,1.4549,0.890,Yes
B_Uppercase,12.9589,32.8486,1.4550,0.900,Yes
B_Uppercase,13.1402,32.8873,1.4551,0.910,Yes
B_Uppercase,13.3454,32.9098,1.4553,0.920,Yes
B_Uppercase,13.5761,32.9135,1.4556,0.930,Yes
B_Uppercase,13.8282,32.8997,1.4561,0.940,Yes
B_Uppercase,14.0954,32.8718,1.4567,0.950,Yes
B_Uppercase,14.3732,32.8311,1.4575,0.960,Yes
B_Uppercase,14.6534,32.7839,1.4584,0.970,Yes
B_Uppercase,14.9312,32.7331,1.4595,0.980,Yes
B_Uppercase,15.2036,32.6821,1.4607,0.990,Yes
B_Uppercase,15.4684,32.6325,1.4619,1.000,Yes
B_Uppercase,15.7254,32.5855,1.4631,1.010,Yes
B_Uppercase,15.9756,32.5412,1.4643,1.020,Yes
B_Uppercase,16.2182,32.5002,1.4655,1.030,Yes
B_Uppercase,16.4553,32.4616,1.4666,1.040,Yes
B_Uppercase,16.6877,32.4253,1.4677,1.050,Yes
B_Uppercase,16.9155,32.3912,1.4687,1.060,Yes
B_Uppercase,17.1402,32.3586,1.4696,1.070,Yes
B_Uppercase,17.3622,32.3273,1.4705,1.080,Yes
B_Uppercase,17.5819,32.2971,1.4713,1.090,Yes
B_Uppercase,17.7999,32.2677,1.4721,1.100,Yes
B_Uppercase,18.0169,32.2388,1.4728,1.110,Yes
B_Uppercase,18.2331,32.2104,1.4734,1.120,Yes
B_Uppercase,18.4490,32.1823,1.4739,1.130,Yes
B_Uppercase,18.6651,32.1544,1.4744,1.140,Yes
B_Uppercase,18.8819,32.1267,1.4749,1.150,Yes
B_Uppercase,19.1002,32.0991,1.4752,1.160,Yes
B_Uppercase,19.3206,32.0715,1.4756,1.170,Yes
B_Uppercase,19.5440,32.0438,1.4759,1.180,Yes
B_Uppercase,19.7722,32.0161,1.4762,1.190,Yes
B_Uppercase,20.0062,31.9881,1.4765,1.200,Yes
B_Uppercase,20.2478,31.9595,1.4767,1.210,Yes
B_Uppercase,20.5017,31.9297,1.4771,1.220,Yes
B_Uppercase,20.7695,31.8980,1.4775,1.230,Yes
B_Uppercase,21.0606,31.8623,1.4781,1.240,Yes
B_Uppercase,21.3816,31.8195,1.4789,1.250,Yes
B_Uppercase,21.7512,31.7616,1.4802,1.260,Yes
B_Uppercase,22.2046,31.6674,1.4822,1.270,Yes
B_Uppercase,22.8037,31.4705,1.4858,1.280,Yes
B_Uppercase,23.4718,31.0282,1.4905,1.290,Yes
B_Uppercase,23.8177,30.5611,1.4922,1.300,Yes
