Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
D_Lowercase,23.7844,22.3727,0.7096,0.000,Yes
D_Lowercase,23.6383,22.5150,0.7304,0.010,Yes
D_Lowercase,23.5009,22.6489,0.7512,0.020,Yes
D_Lowercase,23.3708,22.7759,0.7720,0.030,Yes
D_Lowercase,23.2471,22.8967,0.7927,0.040,Yes
D_Lowercase,23.1288,23.0122,0.8134,0.050,Yes
D_Lowercase,23.0153,23.1230,0.8340,0.060,Yes
D_Lowercase,22.9062,23.2296,0.8545,0.070,Yes
D_Lowercase,22.8010,23.3323,0.8748,0.080,Yes
D_Lowercase,22.6991,23.4316,0.8951,0.090,Yes
D_Lowercase,22.6001,23.5278,0.9151,0.100,Yes
D_Lowercase,22.5036,23.6215,0.9350,0.110,Yes
D_Lowercase,22.4091,23.7128,0.9548,0.120,Yes
D_Lowercase,22.3159,23.8023,0.9744,0.130,Yes
D_Lowercase,22.2235,23.8903,0.9938,0.140,Yes
D_Lowercase,22.1313,23.9773,1.0131,0.150,Yes
D_Lowercase,22.0383,24.0638,1.0321,0.160,Yes
D_Lowercase,21.9436,24.1504,1.0510,0.170,Yes
D_Lowercase,21.8461,24.2378,1.0697,0.180,Yes
D_Lowercase,21.7441,24.3266,1.0882,0.190,Yes
D_Lowercase,21.6357,24.4180,1.1064,0.200,Yes
D_Lowercase,21.5180,24.5133,1.1245,0.210,Yes
D_Lowercase,21.3867,24.6143,1.1422,0.220,Yes
D_Lowercase,21.2356,24.7237,1.1596,0.230,Yes
D_Lowercase,21.0536,24.8457,1.1764,0.240,Yes
D_Lowercase,20.8169,24.9889,1.1923,0.250,Yes
D_Lowercase,20.4671,25.1715,1.2058,0.260,Yes
D_Lowercase,19.8079,25.4336,1.2100,0.270,Yes
D_Lowercase,18.9394,25.6374,1.1948,0.280,Yes
D_Lowercase,18.3645,25.6957,1.1808,0.290,Yes
D_Lowercase,17.8869,25.7073,1.1691,0.300,Yes
D_Lowercase,17.4138,25.6941,1.1586,0.310,Yes
D_Lowercase,16.9399,25.6592,1.1505,0.320,Yes
D_Lowercase,16.5250,25.6079,1.1466,0.330,Yes
D_Lowercase,16.1960,25.5489,1.1465,0.340,Yes
D_Lowercase,15.9354,25.4866,1.1487,0.350,Yes
D_Lowercase,15.7201,25.4222,1.1523,0.360,Yes
D_Lowercase,15.5358,25.3559,1.1566,0.370,Yes
D_Lowercase,15.3740,25.2874,1.1613,0.380,Yes
D_Lowercase,15.2278,25.2165,1.1664,0.390,Yes
D_Lowercase,15.0933,25.1429,1.1716,0.400,Yes
D_Lowercase,14.9674,25.0661,1.1769,0.410,Yes
D_Lowercase,14.8478,24.9858,1.1822,0.420,Yes
D_Lowercase,14.7328,24.9015,1.1876,0.430,Yes
D_Lowercase,14.6205,24.8126,1.1929,0.440,Yes
D_Lowercase,14.5096,24.7183,1.1981,0.450,Yes
D_Lowercase,14.3987,24.6180,1.2032,0.460,Yes
D_Lowercase,14.2864,24.5106,1.2082,0.470,Yes
D_Lowercase,14.1711,24.3949,1.2130,0.480,Yes
D_Lowercase,14.0507,24.2687,1.2176,0.490,Yes
D_Lowercase,13.9231,24.1299,1.2220,0.500,Yes
D_Lowercase,13.7851,23.9751,1.2261,0.510,Yes
D_Lowercase,13.6320,23.7986,1.2299,0.520,Yes
D_Lowercase,13.4564,23.5913,1.2333,0.530,Yes
D_Lowercase,13.2437,23.3348,1.2362,0.540,Yes
D_Lowercase,12.9578,22.9808,1.2385,0.550,Yes
D_Lowercase,12.3902,22.2375,1.2400,0.560,Yes
D_Lowercase,11.2106,20.1483,1.2557,0.570,Yes
D_Lowercase,11.0769,19.7309,1.2642,0.580,Yes
D_Lowercase,11.0049,19.4317,1.2716,0.590,Yes
D_Lowercase,10.9601,19.1837,1.2784,0.600,Yes
D_Lowercase,10.9311,18.9637,1.2849,0.610,Yes
D_Lowercase,10.9130,18.7607,1.2912,0.620,Yes
D_Lowercase,10.9031,18.5685,1.2974,0.630,Yes
D_Lowercase,10.8996,18.3825,1.3035,0.640,Yes
D_Lowercase,10.9017,18.1996,1.3095,0.650,Yes
D_Lowercase,10.9090,18.0175,1.3155,0.660,Yes
D_Lowercase,10.9211,17.8340,1.3215,0.670,Yes
D_Lowercase,10.9382,17.6468,1.3275,0.680,Yes
D_Lowercase,10.9605,17.4540,1.3334,0.690,Yes
D_Lowercase,10.9887,17.2532,1.3394,0.700,Yes
D_Lowercase,11.0237,17.0420,1.3452,0.710,Yes
D_Lowercase,11.0671,16.8173,1.3510,0.720,Yes
D_Lowercase,11.1211,16.5754,1.3566,0.730,Yes
D_Lowercase,11.1887,16.3123,1.3618,0.740,Yes
D_Lowercase,11.2741,16.0240,1.3664,0.750,Yes
D_Lowercase,11.3821,15.7087,1.3699,0.760,Yes
D_Lowercase,11.5162,15.3703,1.3720,0.770,Yes
D_Lowercase,11.6740,15.0236,1.3723,0.780,Yes
D_Lowercase,11.8465,14.6884,1.3710,0.790,Yes
D_Lowercase,12.0235,14.3788,1.3686,0.800,Yes
D_Lowercase,12.1986,14.0976,1.3658,0.810,Yes
D_Lowercase,12.3697,13.8421,1.3628,0.820,Yes
