Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
D_Uppercase,10.6857,9.3523,0.6313,0.000,Yes
D_Uppercase,10.6470,9.6290,0.6476,0.010,Yes
D_Uppercase,10.6112,9.9073,0.6644,0.020,Yes
D_Uppercase,10.5779,10.1877,0.6816,0.030,Yes
D_Uppercase,10.5471,10.4708,0.6994,0.040,Yes
D_Uppercase,10.5188,10.7571,0.7176,0.050,Yes
D_Uppercase,10.4929,11.0474,0.7362,0.060,Yes
D_Uppercase,10.4696,11.3425,0.7554,0.070,Yes
D_Uppercase,10.4490,11.6435,0.7750,0.080,Yes
D_Uppercase,10.4312,11.9515,0.7952,0.090,Yes
D_Uppercase,10.4166,12.2680,0.8159,0.100,Yes
D_Uppercase,10.4054,12.5950,0.8372,0.110,Yes
D_Uppercase,10.3983,12.9357,0.8593,0.120,Yes
D_Uppercase,10.3955,13.2924,0.8821,0.130,Yes
D_Uppercase,10.3976,13.6699,0.9057,0.140,Yes
D_Uppercase,10.4048,14.0723,0.9301,0.150,Yes
D_Uppercase,10.4168,14.5048,0.9553,0.160,Yes
D_Uppercase,10.4319,14.9696,0.9807,0.170,Yes
D_Uppercase,10.4457,15.4607,1.0056,0.180,Yes
D_Uppercase,10.4520,15.9604,1.0287,0.190,Yes
D_Uppercase,10.4454,16.4444,1.0489,0.200,Yes
D_Uppercase,10.4251,16.8969,1.0661,0.210,Yes
D_Uppercase,10.3938,17.3144,1.0809,0.220,Yes
D_Uppercase,10.3549,17.7020,1.0939,0.230,Yes
D_Uppercase,10.3117,18.0670,1.1056,0.240,Yes
D_Uppercase,10.2663,18.4161,1.1164,0.250,Yes
D_Uppercase,10.2203,18.7542,1.1264,0.260,Yes
D_Uppercase,10.1749,19.0855,1.1359,0.270,Yes
D_Uppercase,10.1310,19.4131,1.1449,0.280,Yes
D_Uppercase,10.0891,19.7397,1.1535,0.290,Yes
D_Uppercase,10.0499,20.0673,1.1616,0.300,Yes
D_Uppercase,10.0137,20.3975,1.1695,0.310,Yes
D_Uppercase,9.9809,20.7319,1.1770,0.320,Yes
D_Uppercase,9.9519,21.0713,1.1842,0.330,Yes
D_Uppercase,9.9265,21.4165,1.1911,0.340,Yes
D_Uppercase,9.9051,21.7678,1.1978,0.350,Yes
D_Uppercase,9.8875,22.1250,1.2042,0.360,Yes
D_Uppercase,9.8735,22.4876,1.2105,0.370,Yes
D_Uppercase,9.8627,22.8545,1.2166,0.380,Yes
D_Uppercase,9.8549,23.2244,1.2225,0.390,Yes
D_Uppercase,9.8495,23.5956,1.2283,0.400,Yes
D_Uppercase,9.8460,23.9664,1.2340,0.410,Yes
D_Uppercase,9.8437,24.3348,1.2396,0.420,Yes
D_Uppercase,9.8421,24.6994,1.2450,0.430,Yes
D_Uppercase,9.8406,25.0585,1.2504,0.440,Yes
D_Uppercase,9.8386,25.4107,1.2556,0.450,Yes
D_Uppercase,9.8353,25.7546,1.2606,0.460,Yes
D_Uppercase,9.8299,26.0880,1.2655,0.470,Yes
D_Uppercase,9.8217,26.4091,1.2700,0.480,Yes
D_Uppercase,9.8098,26.7152,1.2742,0.490,Yes
D_Uppercase,9.7940,27.0039,1.2779,0.500,Yes
D_Uppercase,9.7744,27.2734,1.2811,0.510,Yes
D_Uppercase,9.7516,27.5239,1.2839,0.520,Yes
D_Uppercase,9.7264,27.7531,1.2861,0.530,Yes
D_Uppercase,9.7001,27.9659,1.2879,0.540,Yes
D_Uppercase,9.6738,28.1620,1.2895,0.550,Yes
D_Uppercase,9.6483,28.3434,1.2908,0.560,Yes
D_Uppercase,9.6244,28.5130,1.2920,0.570,Yes
D_Uppercase,9.6028,28.6723,1.2932,0.580,Yes
D_Uppercase,9.5838,28.8227,1.2943,0.590,Yes
D_Uppercase,9.5678,28.9655,1.2955,0.600,Yes
D_Uppercase,9.5552,29.1019,1.2968,0.610,Yes
D_Uppercase,9.5461,29.2328,1.2982,0.620,Yes
D_Uppercase,9.5411,29.3589,1.2997,0.630,Yes
D_Uppercase,9.5407,29.4807,1.3015,0.640,Yes
D_Uppercase,9.5446,29.5996,1.3035,0.650,Yes
D_Uppercase,9.5530,29.7160,1.3057,0.660,Yes
D_Uppercase,9.5660,29.8304,1.3082,0.670,Yes
D_Uppercase,9.5838,29.9434,1.3109,0.680,Yes
D_Uppercase,9.6067,30.0553,1.3140,0.690,Yes
D_Uppercase,9.6349,30.1667,1.3174,0.700,Yes
D_Uppercase,9.6689,30.2781,1.3211,0.710,Yes
D_Uppercase,9.7082,30.3898,1.3252,0.720,Yes
D_Uppercase,9.7528,30.5021,1.3296,0.730,Yes
D_Uppercase,9.8024,30.6152,1.3343,0.740,Yes
D_Uppercase,9.8569,30.7293,1.3393,0.750,Yes
D_Uppercase,9.9159,30.8444,1.3446,0.760,Yes
D_Uppercase,9.9789,30.9602,1.3500,0.770,Yes
D_Uppercase,10.0453,31.0765,1.3556,0.780,Yes
D_Uppercase,10.1144,31.1927,1.3611,0.790,Yes
D_Uppercase,10.1854,31.3081,1.3667,0.800,Yes
D_Uppercase,10.2576,31.4220,1.3720,0.810,Yes
D_Uppercase,10.3303,31.5336,1.3771,0.820,Yes
D_Uppercase,10.4031,31.6423,1.3819,0.830,Yes
D_Uppercase,10.4755,31.7472,1.3862,0.840,Yes
D_Uppercase,10.5473,31.8481,1.3902,0.850,Yes
D_Uppercase,10.6186,31.9443,1.3937,0.860,Yes
D_Uppercase,10.6892,32.0358,1.3968,0.870,Yes
D_Uppercase,10.7592,32.1217,1.3993,0.880,Yes
D_Uppercase,10.8290,32.2021,1.4013,0.890,Yes
D_Uppercase,10.8988,32.2775,1.4029,0.900,Yes
D_Uppercase,10.9687,32.3480,1.4041,0.910,Yes
D_Uppercase,11.0390,32.4140,1.4050,0.920,Yes
D_Uppercase,11.1102,32.4740,1.4053,0.930,Yes
D_Uppercase,11.1825,32.5291,1.4054,0.940,Yes
D_Uppercase,11.2561,32.5802,1.4051,0.950,Yes
D_Uppercase,11.3311,32.6268,1.4045,0.960,Yes
D_Uppercase,11.4088,32.6677,1.4036,0.970,Yes
D_Uppercase,11.4883,32.7052,1.4025,0.980,Yes
D_Uppercase,11.5702,32.7387,1.4012,0.990,Yes
D_Uppercase,11.6562,32.7666,1.3995,1.000,Yes
D_Uppercase,11.7451,32.7911,1.3978,1.010,Yes
D_Uppercase,11.8372,32.8123,1.3959,1.020,Yes
D_Uppercase,11.9356,32.8275,1.3938,1.030,Yes
D_Uppercase,12.0384,32.8394,1.3916,1.040,Yes
D_Uppercase,12.1464,32.8476,1.3893,1.050,Yes
D_Uppercase,12.2611,32.8514,1.3870,1.060,Yes
D_Uppercase,12.3848,32.8502,1.3846,1.070,Yes
D_Uppercase,12.5171,32.8451,1.3823,1.080,Yes
D_Uppercase,12.6594,32.8356,1.3801,1.090,Yes
D_Uppercase,12.8138,32.8216,1.3780,1.100,Yes
D_Uppercase,12.9823,32.8032,1.3762,1.110,Yes
D_Uppercase,13.1669,32.7803,1.3747,1.120,Yes
D_Uppercase,13.3713,32.7527,1.3737,1.130,Yes
D_Uppercase,13.5976,32.7207,1.3734,1.140,Yes
D_Uppercase,13.8468,32.6849,1.3738,1.150,Yes
D_Uppercase,14.1196,32.6455,1.3750,1.160,Yes
D_Uppercase,14.4149,32.6030,1.3772,1.170,Yes
D_Uppercase,14.7287,32.5575,1.3802,1.180,Yes
D_Uppercase,15.0563,32.5090,1.3839,1.190,Yes
D_Uppercase,15.3936,32.4574,1.3882,1.200,Yes
D_Uppercase,15.7366,32.4022,1.3930,1.210,Yes
D_Uppercase,16.0825,32.3434,1.3982,1.220,Yes
D_Uppercase,16.4288,32.2809,1.4036,1.230,Yes
D_Uppercase,16.7736,32.2150,1.4092,1.240,Yes
D_Uppercase,17.1153,32.1462,1.4149,1.250,Yes
D_Uppercase,17.4525,32.0752,1.4206,1.260,Yes
D_Uppercase,17.7841,32.0028,1.4263,1.270,Yes
D_Uppercase,18.1089,31.9300,1.4318,1.280,Yes
D_Uppercase,18.4266,31.8575,1.4370,1.290,Yes
D_Uppercase,18.7365,31.7862,1.4419,1.300,Yes
D_Uppercase,19.0384,31.7167,1.4463,1.310,Yes
D_Uppercase,19.3324,31.6492,1.4503,1.320,Yes
D_Uppercase,19.6186,31.5838,1.4537,1.330,Yes
D_Uppercase,19.8972,31.5203,1.4566,1.340,Yes
D_Uppercase,20.1684,31.4583,1.4588,1.350,Yes
D_Uppercase,20.4323,31.3974,1.4605,1.360,Yes
D_Uppercase,20.6895,31.3367,1.4615,1.370,Yes
D_Uppercase,20.9400,31.2757,1.4620,1.380,Yes
D_Uppercase,21.1843,31.2134,1.4620,1.390,Yes
D_Uppercase,21.4227,31.1494,1.4615,1.400,Yes
D_Uppercase,21.6553,31.0830,1.4605,1.410,Yes
D_Uppercase,21.8820,31.0134,1.4591,1.420,Yes
D_Uppercase,22.1035,30.9402,1.4574,1.430,Yes
D_Uppercase,22.3199,30.8633,1.4554,1.440,Yes
D_Uppercase,22.5309,30.7817,1.4531,1.450,Yes
D_Uppercase,22.7374,30.6959,1.4506,1.460,Yes
D_Uppercase,22.9390,30.6051,1.4479,1.470,Yes
D_Uppercase,23.1363,30.5097,1.4452,1.480,Yes
D_Uppercase,23.3292,30.4094,1.4423,1.490,Yes
D_Uppercase,23.5180,30.3043,1.4395,1.500,Yes
D_Uppercase,23.7028,30.1944,1.4368,1.510,Yes
D_Uppercase,23.8837,30.0797,1.4341,1.520,Yes
D_Uppercase,24.0610,29.9603,1.4315,1.530,Yes
D_Uppercase,24.2346,29.8363,1.4292,1.540,Yes
D_Uppercase,24.4047,29.7074,1.4270,1.550,Yes
D_Uppercase,24.5714,29.5741,1.4251,1.560,Yes
D_Uppercase,24.7345,29.4357,1.4236,1.570,Yes
D_Uppercase,24.8943,29.2928,1.4223,1.580,Yes
D_Uppercase,25.0502,29.1445,1.4215,1.590,Yes
D_Uppercase,25.2026,28.9914,1.4212,1.600,Yes
D_Uppercase,25.3507,28.8324,1.4213,1.610,Yes
D_Uppercase,25.4947,28.6680,1.4219,1.620,Yes
D_Uppercase,25.6338,28.4974,1.4230,1.630,Yes
D_Uppercase,25.7677,28.3206,1.4246,1.640,Yes
D_Uppercase,25.8960,28.1375,1.4268,1.650,Yes
D_Uppercase,26.0177,27.9476,1.4295,1.660,Yes
D_Uppercase,26.1330,27.7517,1.4325,1.670,Yes
D_Uppercase,26.2411,27.5496,1.4359,1.680,Yes
D_Uppercase,26.3416,27.3418,1.4396,1.690,Yes
D_Uppercase,26.4349,27.1293,1.4433,1.700,Yes
D_Uppercase,26.5213,26.9129,1.4470,1.710,Yes
D_Uppercase,26.6007,26.6932,1.4505,1.720,Yes
D_Uppercase,26.6742,26.4712,1.4537,1.730,Yes
D_Uppercase,26.7427,26.2478,1.4566,1.740,Yes
D_Uppercase,26.8070,26.0235,1.4589,1.750,Yes
D_Uppercase,26.8678,25.7984,1.4607,1.760,Yes
D_Uppercase,26.9262,25.5727,1.4620,1.770,Yes
D_Uppercase,26.9830,25.3463,1.4626,1.780,Yes
D_Uppercase,27.0388,25.1187,1.4627,1.790,Yes
D_Uppercase,27.0943,24.8892,1.4620,1.800,Yes
D_Uppercase,27.1499,24.6570,1.4607,1.810,Yes
D_Uppercase,27.2060,24.4210,1.4587,1.820,Yes
D_Uppercase,27.2628,24.1800,1.4559,1.830,Yes
D_Uppercase,27.3202,23.9323,1.4524,1.840,Yes
D_Uppercase,27.3779,23.6758,1.4480,1.850,Yes
D_Uppercase,27.4349,23.4091,1.4428,1.860,Yes
D_Uppercase,27.4895,23.1307,1.4367,1.870,Yes
D_Uppercase,27.5391,22.8397,1.4298,1.880,Yes
D_Uppercase,27.5804,22.5374,1.4223,1.890,Yes
D_Uppercase,27.6099,22.2274,1.4144,1.900,Yes
D_Uppercase,27.6249,21.9150,1.4066,1.910,Yes
D_Uppercase,27.6242,21.6056,1.3991,1.920,Yes
D_Uppercase,27.6082,21.3043,1.3923,1.930,Yes
D_Uppercase,27.5789,21.0136,1.3862,1.940,Yes
D_Uppercase,27.5387,20.7342,1.3809,1.950,Yes
D_Uppercase,27.4896,20.4658,1.3764,1.960,Yes
D_Uppercase,27.4332,20.2076,1.3725,1.970,Yes
D_Uppercase,27.3710,19.9580,1.3692,1.980,Yes
D_Uppercase,27.3042,19.7158,1.3664,1.990,Yes
D_Uppercase,27.2333,19.4801,1.3640,2.000,Yes
D_Uppercase,27.1587,19.2501,1.3620,2.010,Yes
D_Uppercase,27.0812,19.0244,1.3603,2.020,Yes
D_Uppercase,27.0009,18.8025,1.3589,2.030,Yes
D_Uppercase,26.9181,18.5837,1.3578,2.040,Yes
D_Uppercase,26.8330,18.3672,1.3568,2.050,Yes
D_Uppercase,26.7454,18.1528,1.3561,2.060,Yes
D_Uppercase,26.6558,17.9396,1.3555,2.070,Yes
D_Uppercase,26.5641,17.7273,1.3550,2.080,Yes
D_Uppercase,26.4703,17.5155,1.3547,2.090,Yes
D_Uppercase,26.3746,17.3036,1.3545,2.100,Yes
D_Uppercase,26.2767,17.0913,1.3543,2.110,Yes
D_Uppercase,26.1769,16.8780,1.3543,2.120,Yes
D_Uppercase,26.0752,16.6635,1.3543,2.130,Yes
D_Uppercase,25.9714,16.4471,1.3543,2.140,Yes
D_Uppercase,25.8656,16.2283,1.3544,2.150,Yes
D_Uppercase,25.7579,16.0068,1.3545,2.160,Yes
D_Uppercase,25.6483,15.7820,1.3547,2.170,Yes
D_Uppercase,25.5365,15.5533,1.3548,2.180,Yes
D_Uppercase,25.4227,15.3204,1.3548,2.190,Yes
D_Uppercase,25.3068,15.0831,1.3546,2.200,Yes
D_Uppercase,25.1883,14.8418,1.3543,2.210,Yes
D_Uppercase,25.0670,14.5970,1.3536,2.220,Yes
D_Uppercase,24.9421,14.3503,1.3525,2.230,Yes
D_Uppercase,24.8125,14.1041,1.3507,2.240,Yes
D_Uppercase,24.6770,13.8615,1.3483,2.250,Yes
D_Uppercase,24.5341,13.6259,1.3450,2.260,Yes
D_Uppercase,24.3826,13.4008,1.3410,2.270,Yes
D_Uppercase,24.2214,13.1885,1.3362,2.280,Yes
D_Uppercase,24.0503,12.9904,1.3308,2.290,Yes
D_Uppercase,23.8691,12.8065,1.3251,2.300,Yes
D_Uppercase,23.6784,12.6361,1.3191,2.310,Yes
D_Uppercase,23.4787,12.4777,1.3130,2.320,Yes
D_Uppercase,23.2706,12.3298,1.3070,2.330,Yes
D_Uppercase,23.0553,12.1899,1.3011,2.340,Yes
D_Uppercase,22.8334,12.0564,1.2955,2.350,Yes
D_Uppercase,22.6056,11.9275,1.2902,2.360,Yes
D_Uppercase,22.3725,11.8020,1.2853,2.370,Yes
D_Uppercase,22.1343,11.6785,1.2808,2.380,Yes
D_Uppercase,21.8914,11.5560,1.2766,2.390,Yes
D_Uppercase,21.6439,11.4337,1.2729,2.400,Yes
D_Uppercase,21.3916,11.3108,1.2697,2.410,Yes
D_Uppercase,21.1342,11.1868,1.2669,2.420,Yes
D_Uppercase,20.8712,11.0611,1.2647,2.430,Yes
D_Uppercase,20.6018,10.9332,1.2631,2.440,Yes
D_Uppercase,20.3246,10.8028,1.2622,2.450,Yes
D_Uppercase,20.0381,10.6695,1.2621,2.460,Yes
D_Uppercase,19.7393,10.5333,1.2633,2.470,Yes
D_Uppercase,19.4263,10.3953,1.2659,2.480,Yes
D_Uppercase,19.0963,10.2584,1.2704,2.490,Yes
D_Uppercase,18.7511,10.1286,1.2767,2.500,Yes
D_Uppercase,18.3976,10.0148,1.2846,2.510,Yes
D_Uppercase,18.0488,9.9250,1.2928,2.520,Yes
D_Uppercase,17.7151,9.8593,1.3002,2.530,Yes
D_Uppercase,17.4013,9.8141,1.3062,2.540,Yes
D_Uppercase,17.1073,9.7838,1.3104,2.550,Yes
D_Uppercase,16.8303,9.7636,1.3131,2.560,Yes
D_Uppercase,16.5666,9.7495,1.3145,2.570,Yes
D_Uppercase,16.3134,9.7392,1.3148,2.580,Yes
D_Uppercase,16.0687,9.7311,1.3141,2.590,Yes
D_Uppercase,15.8308,9.7242,1.3126,2.600,Yes
D_Uppercase,15.5976,9.7177,1.3106,2.610,Yes
D_Uppercase,15.3687,9.7110,1.3080,2.620,Yes
D_Uppercase,15.1426,9.7041,1.3049,2.630,Yes
D_Uppercase,14.9188,9.6965,1.3016,2.640,Yes
D_Uppercase,14.6967,9.6883,1.2979,2.650,Yes
D_Uppercase,14.4759,9.6794,1.2941,2.660,Yes
D_Uppercase,14.2559,9.6697,1.2900,2.670,Yes
D_Uppercase,14.0366,9.6594,1.2859,2.680,Yes
D_Uppercase,13.8177,9.6483,1.2815,2.690,Yes
D_Uppercase,13.5990,9.6367,1.2771,2.700,Yes
D_Uppercase,13.3805,9.6244,1.2726,2.710,Yes
D_Uppercase,13.1620,9.6115,1.2681,2.720,Yes
D_Uppercase,12.9435,9.5982,1.2635,2.730,Yes
D_Uppercase,12.7249,9.5843,1.2589,2.740,Yes
D_Uppercase,12.5062,9.5699,1.2542,2.750,Yes
D_Uppercase,12.2874,9.5551,1.2495,2.760,Yes
D_Uppercase,12.0684,9.5398,1.2448,2.770,Yes
D_Uppercase,11.8492,9.5240,1.2400,2.780,Yes
D_Uppercase,11.6299,9.5078,1.2352,2.790,Yes
D_Uppercase,11.4103,9.4911,1.2305,2.800,Yes
D_Uppercase,11.1905,9.4739,1.2257,2.810,Yes
D_Uppercase,10.9704,9.4561,1.2208,2.820,Yes
