Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
F_Lowercase,23.9798,33.3719,0.5646,0.000,Yes
F_Lowercase,23.9031,33.4107,0.5888,0.010,Yes
F_Lowercase,23.8211,33.4499,0.6130,0.020,Yes
F_Lowercase,23.7342,33.4889,0.6373,0.030,Yes
F_Lowercase,23.6428,33.5270,0.6615,0.040,Yes
F_Lowercase,23.5469,33.5639,0.6859,0.050,Yes
F_Lowercase,23.4467,33.5990,0.7102,0.060,Yes
F_Lowercase,23.3421,33.6321,0.7346,0.070,Yes
F_Lowercase,23.2331,33.6627,0.7590,0.080,Yes
F_Lowercase,23.1196,33.6905,0.7835,0.090,Yes
F_Lowercase,23.0015,33.7151,0.8079,0.100,Yes
F_Lowercase,22.8786,33.7361,0.8323,0.110,Yes
F_Lowercase,22.7506,33.7530,0.8566,0.120,Yes
F_Lowercase,22.6172,33.7653,0.8807,0.130,Yes
F_Lowercase,22.4780,33.7726,0.9044,0.140,Yes
F_Lowercase,22.3326,33.7742,0.9278,0.150,Yes
F_Lowercase,22.1805,33.7695,0.9505,0.160,Yes
F_Lowercase,22.0211,33.7574,0.9723,0.170,Yes
F_Lowercase,21.8539,33.7372,0.9929,0.180,Yes
F_Lowercase,21.6780,33.7069,1.0120,0.190,Yes
F_Lowercase,21.4939,33.6655,1.0290,0.200,Yes
F_Lowercase,21.3026,33.6107,1.0435,0.210,Yes
F_Lowercase,21.1086,33.5416,1.0555,0.220,Yes
F_Lowercase,20.9194,33.4592,1.0653,0.230,Yes
F_Lowercase,20.7408,33.3683,1.0742,0.240,Yes
F_Lowercase,20.5723,33.2732,1.0824,0.250,Yes
F_Lowercase,20.4100,33.1760,1.0898,0.260,Yes
F_Lowercase,20.2512,33.0771,1.0958,0.270,Yes
F_Lowercase,20.0950,32.9763,1.1005,0.280,Yes
F_Lowercase,19.9421,32.8736,1.1038,0.290,Yes
F_Lowercase,19.7936,32.7687,1.1064,0.300,Yes
F_Lowercase,19.6508,32.6614,1.1087,0.310,Yes
F_Lowercase,19.5148,32.5515,1.1113,0.320,Yes
F_Lowercase,19.3858,32.4382,1.1147,0.330,Yes
F_Lowercase,19.2636,32.3206,1.1191,0.340,Yes
F_Lowercase,19.1475,32.1968,1.1249,0.350,Yes
F_Lowercase,19.0365,32.0646,1.1322,0.360,Yes
F_Lowercase,18.9287,31.9203,1.1411,0.370,Yes
F_Lowercase,18.8222,31.7577,1.1518,0.380,Yes
F_Lowercase,18.7133,31.5667,1.1642,0.390,Yes
