Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
F_Uppercase,13.0064,9.5030,0.6566,0.000,Yes
F_Uppercase,12.9739,9.8110,0.6789,0.010,Yes
F_Uppercase,12.9473,10.0923,0.7049,0.020,Yes
F_Uppercase,12.9248,10.3570,0.7333,0.030,Yes
F_Uppercase,12.9059,10.6109,0.7635,0.040,Yes
F_Uppercase,12.8904,10.8571,0.7953,0.050,Yes
F_Uppercase,12.8785,11.0983,0.8284,0.060,Yes
F_Uppercase,12.8706,11.3370,0.8626,0.070,Yes
F_Uppercase,12.8676,11.5760,0.8975,0.080,Yes
F_Uppercase,12.8704,11.8192,0.9327,0.090,Yes
F_Uppercase,12.8800,12.0724,0.9672,0.100,Yes
F_Uppercase,12.8978,12.3442,0.9994,0.110,Yes
F_Uppercase,12.9242,12.6466,1.0266,0.120,Yes
F_Uppercase,12.9572,12.9905,1.0450,0.130,Yes
F_Uppercase,12.9912,13.3722,1.0530,0.140,Yes
F_Uppercase,13.0209,13.7702,1.0536,0.150,Yes
F_Uppercase,13.0463,14.1668,1.0512,0.160,Yes
F_Uppercase,13.0692,14.5578,1.0484,0.170,Yes
F_Uppercase,13.0908,14.9456,1.0462,0.180,Yes
F_Uppercase,13.1117,15.3341,1.0449,0.190,Yes
F_Uppercase,13.1318,15.7269,1.0447,0.200,Yes
F_Uppercase,13.1508,16.1279,1.0458,0.210,Yes
F_Uppercase,13.1684,16.5408,1.0484,0.220,Yes
F_Uppercase,13.1840,16.9689,1.0524,0.230,Yes
F_Uppercase,13.1970,17.4155,1.0581,0.240,Yes
F_Uppercase,13.2067,17.8826,1.0655,0.250,Yes
F_Uppercase,13.2125,18.3699,1.0746,0.260,Yes
F_Uppercase,13.2142,18.8731,1.0851,0.270,Yes
F_Uppercase,13.2124,19.3843,1.0966,0.280,Yes
F_Uppercase,13.2082,19.8932,1.1083,0.290,Yes
F_Uppercase,13.2032,20.3915,1.1197,0.300,Yes
F_Uppercase,13.1985,20.8752,1.1303,0.310,Yes
F_Uppercase,13.1948,21.3435,1.1400,0.320,Yes
F_Uppercase,13.1923,21.7981,1.1486,0.330,Yes
F_Uppercase,13.1913,22.2412,1.1562,0.340,Yes
F_Uppercase,13.1916,22.6750,1.1629,0.350,Yes
F_Uppercase,13.1934,23.1014,1.1686,0.360,Yes
F_Uppercase,13.1966,23.5221,1.1733,0.370,Yes
F_Uppercase,13.2014,23.9383,1.1772,0.380,Yes
F_Uppercase,13.2077,24.3515,1.1801,0.390,Yes
F_Uppercase,13.2156,24.7630,1.1821,0.400,Yes
F_Uppercase,13.2247,25.1752,1.1835,0.410,Yes
F_Uppercase,13.2341,25.5914,1.1844,0.420,Yes
F_Uppercase,13.2418,26.0134,1.1854,0.430,Yes
F_Uppercase,13.2443,26.4343,1.1870,0.440,Yes
F_Uppercase,13.2383,26.8324,1.1891,0.450,Yes
F_Uppercase,13.2238,27.1846,1.1910,0.460,Yes
F_Uppercase,13.2043,27.4864,1.1921,0.470,Yes
F_Uppercase,13.1827,27.7455,1.1921,0.480,Yes
F_Uppercase,13.1609,27.9716,1.1913,0.490,Yes
F_Uppercase,13.1400,28.1732,1.1898,0.500,Yes
F_Uppercase,13.1204,28.3566,1.1878,0.510,Yes
F_Uppercase,13.1024,28.5266,1.1855,0.520,Yes
F_Uppercase,13.0861,28.6863,1.1831,0.530,Yes
F_Uppercase,13.0716,28.8385,1.1806,0.540,Yes
F_Uppercase,13.0590,28.9854,1.1782,0.550,Yes
F_Uppercase,13.0481,29.1290,1.1760,0.560,Yes
F_Uppercase,13.0389,29.2707,1.1741,0.570,Yes
F_Uppercase,13.0312,29.4120,1.1725,0.580,Yes
F_Uppercase,13.0250,29.5540,1.1714,0.590,Yes
F_Uppercase,13.0199,29.6976,1.1708,0.600,Yes
F_Uppercase,13.0158,29.8438,1.1708,0.610,Yes
F_Uppercase,13.0122,29.9933,1.1714,0.620,Yes
F_Uppercase,13.0088,30.1460,1.1727,0.630,Yes
F_Uppercase,13.0050,30.3016,1.1745,0.640,Yes
F_Uppercase,13.0005,30.4593,1.1768,0.650,Yes
F_Uppercase,12.9948,30.6171,1.1794,0.660,Yes
F_Uppercase,12.9879,30.7729,1.1821,0.670,Yes
F_Uppercase,12.9800,30.9238,1.1848,0.680,Yes
F_Uppercase,12.9716,31.0675,1.1872,0.690,Yes
F_Uppercase,12.9633,31.2022,1.1892,0.700,Yes
