Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
I_Lowercase,18.3199,26.2359,0.8232,0.000,Yes
I_Lowercase,18.3044,25.9663,0.8426,0.010,Yes
I_Lowercase,18.2925,25.7008,0.8620,0.020,Yes
I_Lowercase,18.2844,25.4392,0.8812,0.030,Yes
I_Lowercase,18.2798,25.1812,0.9001,0.040,Yes
I_Lowercase,18.2788,24.9259,0.9184,0.050,Yes
I_Lowercase,18.2812,24.6722,0.9360,0.060,Yes
I_Lowercase,18.2869,24.4184,0.9529,0.070,Yes
I_Lowercase,18.2960,24.1626,0.9690,0.080,Yes
I_Lowercase,18.3084,23.9024,0.9844,0.090,Yes
I_Lowercase,18.3241,23.6347,0.9993,0.100,Yes
I_Lowercase,18.3434,23.3557,1.0136,0.110,Yes
I_Lowercase,18.3662,23.0602,1.0276,0.120,Yes
I_Lowercase,18.3924,22.7416,1.0417,0.130,Yes
I_Lowercase,18.4211,22.3916,1.0562,0.140,Yes
I_Lowercase,18.4493,22.0009,1.0715,0.150,Yes
I_Lowercase,18.4696,21.5626,1.0879,0.160,Yes
I_Lowercase,18.4693,21.0785,1.1048,0.170,Yes
I_Lowercase,18.4443,20.5713,1.1206,0.180,Yes
I_Lowercase,18.4216,20.0919,1.1324,0.190,Yes
I_Lowercase,18.4223,19.6770,1.1398,0.200,Yes
I_Lowercase,18.4383,19.3219,1.1441,0.210,Yes
I_Lowercase,18.4588,19.0097,1.1467,0.220,Yes
I_Lowercase,18.4782,18.7258,1.1486,0.230,Yes
I_Lowercase,18.4941,18.4593,1.1504,0.240,Yes
I_Lowercase,18.5052,18.2015,1.1527,0.250,Yes
I_Lowercase,18.5112,17.9452,1.1558,0.260,Yes
I_Lowercase,18.5119,17.6838,1.1601,0.270,Yes
I_Lowercase,18.5075,17.4116,1.1659,0.280,Yes
I_Lowercase,18.4989,17.1245,1.1730,0.290,Yes
I_Lowercase,18.4871,16.8225,1.1812,0.300,Yes
I_Lowercase,18.4736,16.5104,1.1895,0.310,Yes
I_Lowercase,18.4595,16.1966,1.1970,0.320,Yes
I_Lowercase,18.4450,15.8889,1.2031,0.330,Yes
I_Lowercase,18.4301,15.5925,1.2075,0.340,Yes
I_Lowercase,18.4151,15.3094,1.2105,0.350,Yes
I_Lowercase,18.4002,15.0399,1.2125,0.360,Yes
I_Lowercase,18.3863,14.7826,1.2139,0.370,Yes
