Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
J_Uppercase,23.4873,33.2421,0.7558,0.000,Yes
J_Uppercase,23.5103,32.9931,0.7857,0.010,Yes
J_Uppercase,23.5238,32.7850,0.8197,0.020,Yes
J_Uppercase,23.5318,32.5966,0.8555,0.030,Yes
J_Uppercase,23.5353,32.4208,0.8922,0.040,Yes
J_Uppercase,23.5348,32.2537,0.9293,0.050,Yes
J_Uppercase,23.5304,32.0928,0.9664,0.060,Yes
J_Uppercase,23.5218,31.9362,1.0031,0.070,Yes
J_Uppercase,23.5085,31.7819,1.0388,0.080,Yes
J_Uppercase,23.4901,31.6265,1.0729,0.090,Yes
J_Uppercase,23.4662,31.4627,1.1036,0.100,Yes
J_Uppercase,23.4388,31.2717,1.1277,0.110,Yes
J_Uppercase,23.4242,31.0056,1.1399,0.120,Yes
J_Uppercase,23.4495,30.6559,1.1455,0.130,Yes
J_Uppercase,23.4953,30.3031,1.1556,0.140,Yes
J_Uppercase,23.5447,29.9615,1.1684,0.150,Yes
J_Uppercase,23.5945,29.6250,1.1820,0.160,Yes
J_Uppercase,23.6442,29.2907,1.1957,0.170,Yes
J_Uppercase,23.6932,28.9574,1.2092,0.180,Yes
J_Uppercase,23.7410,28.6246,1.2224,0.190,Yes
J_Uppercase,23.7867,28.2920,1.2352,0.200,Yes
J_Uppercase,23.8297,27.9590,1.2474,0.210,Yes
J_Uppercase,23.8688,27.6256,1.2589,0.220,Yes
J_Uppercase,23.9029,27.2916,1.2695,0.230,Yes
J_Uppercase,23.9306,26.9571,1.2791,0.240,Yes
J_Uppercase,23.9507,26.6224,1.2876,0.250,Yes
J_Uppercase,23.9619,26.2881,1.2950,0.260,Yes
J_Uppercase,23.9633,25.9547,1.3013,0.270,Yes
J_Uppercase,23.9546,25.6230,1.3067,0.280,Yes
J_Uppercase,23.9359,25.2936,1.3112,0.290,Yes
J_Uppercase,23.9084,24.9668,1.3153,0.300,Yes
J_Uppercase,23.8734,24.6431,1.3190,0.310,Yes
J_Uppercase,23.8328,24.3224,1.3225,0.320,Yes
J_Uppercase,23.7887,24.0049,1.3260,0.330,Yes
J_Uppercase,23.7427,23.6903,1.3297,0.340,Yes
J_Uppercase,23.6964,23.3786,1.3334,0.350,Yes
J_Uppercase,23.6508,23.0695,1.3373,0.360,Yes
J_Uppercase,23.6066,22.7628,1.3412,0.370,Yes
J_Uppercase,23.5641,22.4582,1.3453,0.380,Yes
J_Uppercase,23.5235,22.1554,1.3493,0.390,Yes
J_Uppercase,23.4846,21.8541,1.3533,0.400,Yes
J_Uppercase,23.4473,21.5540,1.3573,0.410,Yes
J_Uppercase,23.4115,21.2546,1.3612,0.420,Yes
J_Uppercase,23.3768,20.9557,1.3651,0.430,Yes
J_Uppercase,23.3431,20.6569,1.3689,0.440,Yes
J_Uppercase,23.3100,20.3579,1.3727,0.450,Yes
J_Uppercase,23.2774,20.0582,1.3764,0.460,Yes
J_Uppercase,23.2450,19.7577,1.3801,0.470,Yes
J_Uppercase,23.2127,19.4560,1.3838,0.480,Yes
J_Uppercase,23.1802,19.1530,1.3875,0.490,Yes
J_Uppercase,23.1475,18.8484,1.3912,0.500,Yes
J_Uppercase,23.1143,18.5421,1.3950,0.510,Yes
J_Uppercase,23.0806,18.2341,1.3989,0.520,Yes
J_Uppercase,23.0464,17.9242,1.4029,0.530,Yes
J_Uppercase,23.0116,17.6126,1.4070,0.540,Yes
J_Uppercase,22.9764,17.2996,1.4113,0.550,Yes
J_Uppercase,22.9411,16.9858,1.4159,0.560,Yes
J_Uppercase,22.9064,16.6723,1.4206,0.570,Yes
J_Uppercase,22.8734,16.3608,1.4254,0.580,Yes
J_Uppercase,22.8433,16.0540,1.4303,0.590,Yes
J_Uppercase,22.8177,15.7550,1.4350,0.600,Yes
J_Uppercase,22.7976,15.4670,1.4390,0.610,Yes
J_Uppercase,22.7830,15.1921,1.4420,0.620,Yes
J_Uppercase,22.7724,14.9309,1.4436,0.630,Yes
J_Uppercase,22.7634,14.6828,1.4436,0.640,Yes
J_Uppercase,22.7535,14.4458,1.4421,0.650,Yes
J_Uppercase,22.7403,14.2184,1.4392,0.660,Yes
J_Uppercase,22.7218,13.9989,1.4351,0.670,Yes
J_Uppercase,22.6969,13.7860,1.4302,0.680,Yes
J_Uppercase,22.6644,13.5791,1.4246,0.690,Yes
J_Uppercase,22.6239,13.3775,1.4186,0.700,Yes
J_Uppercase,22.5756,13.1811,1.4125,0.710,Yes
J_Uppercase,22.5197,12.9899,1.4065,0.720,Yes
J_Uppercase,22.4569,12.8043,1.4009,0.730,Yes
J_Uppercase,22.3882,12.6243,1.3956,0.740,Yes
J_Uppercase,22.3141,12.4504,1.3909,0.750,Yes
J_Uppercase,22.2359,12.2826,1.3867,0.760,Yes
J_Uppercase,22.1543,12.1209,1.3830,0.770,Yes
J_Uppercase,22.0697,11.9650,1.3798,0.780,Yes
J_Uppercase,21.9824,11.8144,1.3771,0.790,Yes
J_Uppercase,21.8924,11.6684,1.3748,0.800,Yes
J_Uppercase,21.7990,11.5260,1.3728,0.810,Yes
J_Uppercase,21.7013,11.3859,1.3711,0.820,Yes
J_Uppercase,21.5974,11.2466,1.3696,0.830,Yes
J_Uppercase,21.4843,11.1059,1.3684,0.840,Yes
J_Uppercase,21.3576,10.9616,1.3673,0.850,Yes
J_Uppercase,21.2100,10.8103,1.3665,0.860,Yes
J_Uppercase,21.0322,10.6497,1.3660,0.870,Yes
J_Uppercase,20.8182,10.4815,1.3659,0.880,Yes
J_Uppercase,20.5813,10.3178,1.3660,0.890,Yes
J_Uppercase,20.3502,10.1721,1.3658,0.900,Yes
J_Uppercase,20.1390,10.0465,1.3648,0.910,Yes
J_Uppercase,19.9457,9.9368,1.3632,0.920,Yes
J_Uppercase,19.7639,9.8390,1.3609,0.930,Yes
J_Uppercase,19.5875,9.7504,1.3582,0.940,Yes
J_Uppercase,19.4111,9.6691,1.3553,0.950,Yes
J_Uppercase,19.2306,9.5938,1.3523,0.960,Yes
J_Uppercase,19.0430,9.5236,1.3494,0.970,Yes
J_Uppercase,18.8465,9.4575,1.3469,0.980,Yes
J_Uppercase,18.6413,9.3952,1.3446,0.990,Yes
J_Uppercase,18.4285,9.3362,1.3428,1.000,Yes
J_Uppercase,18.2109,9.2806,1.3414,1.010,Yes
J_Uppercase,17.9917,9.2287,1.3402,1.020,Yes
J_Uppercase,17.7741,9.1809,1.3394,1.030,Yes
J_Uppercase,17.5611,9.1376,1.3388,1.040,Yes
J_Uppercase,17.3546,9.0990,1.3385,1.050,Yes
J_Uppercase,17.1563,9.0653,1.3384,1.060,Yes
J_Uppercase,16.9666,9.0364,1.3386,1.070,Yes
J_Uppercase,16.7852,9.0119,1.3390,1.080,Yes
J_Uppercase,16.6120,8.9919,1.3396,1.090,Yes
J_Uppercase,16.4457,8.9759,1.3405,1.100,Yes
J_Uppercase,16.2855,8.9639,1.3416,1.110,Yes
J_Uppercase,16.1302,8.9558,1.3428,1.120,Yes
J_Uppercase,15.9785,8.9515,1.3442,1.130,Yes
J_Uppercase,15.8293,8.9512,1.3457,1.140,Yes
J_Uppercase,15.6810,8.9552,1.3472,1.150,Yes
J_Uppercase,15.5320,8.9641,1.3488,1.160,Yes
J_Uppercase,15.3806,8.9786,1.3504,1.170,Yes
J_Uppercase,15.2241,9.0005,1.3518,1.180,Yes
J_Uppercase,15.0592,9.0322,1.3530,1.190,Yes
J_Uppercase,14.8810,9.0779,1.3538,1.200,Yes
J_Uppercase,14.6807,9.1470,1.3536,1.210,Yes
J_Uppercase,14.4457,9.2568,1.3516,1.220,Yes
J_Uppercase,14.1699,9.4343,1.3466,1.230,Yes
J_Uppercase,13.9000,9.6630,1.3394,1.240,Yes
J_Uppercase,13.6842,9.8797,1.3336,1.250,Yes
J_Uppercase,13.5123,10.0669,1.3302,1.260,Yes
J_Uppercase,13.3679,10.2298,1.3287,1.270,Yes
J_Uppercase,13.2418,10.3744,1.3285,1.280,Yes
J_Uppercase,13.1286,10.5054,1.3292,1.290,Yes
J_Uppercase,13.0258,10.6253,1.3304,1.300,Yes
J_Uppercase,12.9309,10.7370,1.3316,1.310,Yes
J_Uppercase,12.8426,10.8423,1.3326,1.320,Yes
J_Uppercase,12.7598,10.9425,1.3331,1.330,Yes
J_Uppercase,12.6820,11.0387,1.3329,1.340,Yes
J_Uppercase,12.6083,11.1319,1.3319,1.350,Yes
J_Uppercase,12.5382,11.2229,1.3300,1.360,Yes
J_Uppercase,12.4716,11.3123,1.3270,1.370,Yes
J_Uppercase,12.4076,11.4007,1.3230,1.380,Yes
J_Uppercase,12.3465,11.4886,1.3176,1.390,Yes
J_Uppercase,12.2876,11.5764,1.3110,1.400,Yes
J_Uppercase,12.2308,11.6645,1.3029,1.410,Yes
J_Uppercase,12.1758,11.7533,1.2935,1.420,Yes
J_Uppercase,12.1225,11.8432,1.2825,1.430,Yes
J_Uppercase,12.0705,11.9345,1.2701,1.440,Yes
J_Uppercase,12.0197,12.0276,1.2559,1.450,Yes
J_Uppercase,11.9697,12.1227,1.2402,1.460,Yes
J_Uppercase,11.9204,12.2204,1.2226,1.470,Yes
J_Uppercase,11.8712,12.3210,1.2034,1.480,Yes
J_Uppercase,11.8219,12.4246,1.1826,1.490,Yes
J_Uppercase,11.7720,12.5319,1.1600,1.500,Yes
J_Uppercase,11.7209,12.6431,1.1359,1.510,Yes
J_Uppercase,11.6679,12.7586,1.1103,1.520,Yes
