Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
L_Lowercase,18.5547,32.2903,0.7503,0.000,Yes
L_Lowercase,18.5910,32.2519,0.7712,0.010,Yes
L_Lowercase,18.6274,32.2175,0.7940,0.020,Yes
L_Lowercase,18.6629,32.1837,0.8179,0.030,Yes
L_Lowercase,18.6969,32.1486,0.8424,0.040,Yes
L_Lowercase,18.7288,32.1104,0.8674,0.050,Yes
L_Lowercase,18.7577,32.0671,0.8927,0.060,Yes
L_Lowercase,18.7830,32.0168,0.9182,0.070,Yes
L_Lowercase,18.8028,31.9548,0.9437,0.080,Yes
L_Lowercase,18.8151,31.8754,0.9690,0.090,Yes
L_Lowercase,18.8156,31.7667,0.9937,0.100,Yes
L_Lowercase,18.7930,31.5940,1.0166,0.110,Yes
L_Lowercase,18.6915,31.1428,1.0286,0.120,Yes
L_Lowercase,18.6487,30.4964,1.0175,0.130,Yes
L_Lowercase,18.6933,30.2149,1.0217,0.140,Yes
L_Lowercase,18.7329,29.9651,1.0268,0.150,Yes
L_Lowercase,18.7590,29.7180,1.0316,0.160,Yes
L_Lowercase,18.7712,29.4675,1.0365,0.170,Yes
L_Lowercase,18.7729,29.2115,1.0419,0.180,Yes
L_Lowercase,18.7683,28.9499,1.0481,0.190,Yes
L_Lowercase,18.7608,28.6834,1.0551,0.200,Yes
L_Lowercase,18.7518,28.4130,1.0626,0.210,Yes
L_Lowercase,18.7423,28.1395,1.0706,0.220,Yes
L_Lowercase,18.7322,27.8634,1.0790,0.230,Yes
L_Lowercase,18.7217,27.5851,1.0877,0.240,Yes
L_Lowercase,18.7105,27.3047,1.0965,0.250,Yes
L_Lowercase,18.6987,27.0224,1.1055,0.260,Yes
L_Lowercase,18.6862,26.7381,1.1145,0.270,Yes
L_Lowercase,18.6731,26.4517,1.1235,0.280,Yes
L_Lowercase,18.6593,26.1631,1.1324,0.290,Yes
L_Lowercase,18.6450,25.8719,1.1412,0.300,Yes
L_Lowercase,18.6302,25.5778,1.1499,0.310,Yes
L_Lowercase,18.6151,25.2803,1.1583,0.320,Yes
L_Lowercase,18.5999,24.9790,1.1664,0.330,Yes
L_Lowercase,18.5848,24.6734,1.1741,0.340,Yes
L_Lowercase,18.5702,24.3631,1.1815,0.350,Yes
L_Lowercase,18.5564,24.0479,1.1884,0.360,Yes
L_Lowercase,18.5440,23.7279,1.1948,0.370,Yes
L_Lowercase,18.5333,23.4041,1.2005,0.380,Yes
L_Lowercase,18.5247,23.0780,1.2054,0.390,Yes
L_Lowercase,18.5187,22.7525,1.2095,0.400,Yes
L_Lowercase,18.5153,22.4315,1.2127,0.410,Yes
L_Lowercase,18.5141,22.1189,1.2151,0.420,Yes
L_Lowercase,18.5147,21.8182,1.2168,0.430,Yes
L_Lowercase,18.5163,21.5309,1.2181,0.440,Yes
L_Lowercase,18.5181,21.2567,1.2193,0.450,Yes
L_Lowercase,18.5194,20.9939,1.2206,0.460,Yes
L_Lowercase,18.5197,20.7402,1.2223,0.470,Yes
L_Lowercase,18.5185,20.4931,1.2244,0.480,Yes
L_Lowercase,18.5155,20.2503,1.2270,0.490,Yes
L_Lowercase,18.5105,20.0098,1.2301,0.500,Yes
L_Lowercase,18.5031,19.7702,1.2337,0.510,Yes
L_Lowercase,18.4934,19.5303,1.2376,0.520,Yes
L_Lowercase,18.4811,19.2896,1.2420,0.530,Yes
L_Lowercase,18.4665,19.0481,1.2465,0.540,Yes
