Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
M_Uppercase,7.5677,9.3882,0.8256,0.000,Yes
M_Uppercase,7.5719,9.8962,0.8399,0.010,Yes
M_Uppercase,7.5768,10.4097,0.8539,0.020,Yes
M_Uppercase,7.5825,10.9287,0.8678,0.030,Yes
M_Uppercase,7.5889,11.4532,0.8814,0.040,Yes
M_Uppercase,7.5963,11.9833,0.8948,0.050,Yes
M_Uppercase,7.6047,12.5190,0.9080,0.060,Yes
M_Uppercase,7.6141,13.0603,0.9209,0.070,Yes
M_Uppercase,7.6246,13.6069,0.9336,0.080,Yes
M_Uppercase,7.6361,14.1587,0.9460,0.090,Yes
M_Uppercase,7.6488,14.7156,0.9582,0.100,Yes
M_Uppercase,7.6626,15.2773,0.9702,0.110,Yes
M_Uppercase,7.6775,15.8435,0.9820,0.120,Yes
M_Uppercase,7.6935,16.4139,0.9935,0.130,Yes
M_Uppercase,7.7106,16.9882,1.0048,0.140,Yes
M_Uppercase,7.7287,17.5660,1.0160,0.150,Yes
M_Uppercase,7.7477,18.1470,1.0269,0.160,Yes
M_Uppercase,7.7676,18.7306,1.0377,0.170,Yes
M_Uppercase,7.7882,19.3166,1.0484,0.180,Yes
M_Uppercase,7.8093,19.9042,1.0589,0.190,Yes
M_Uppercase,7.8309,20.4931,1.0694,0.200,Yes
M_Uppercase,7.8526,21.0823,1.0797,0.210,Yes
M_Uppercase,7.8741,21.6712,1.0900,0.220,Yes
M_Uppercase,7.8953,22.2584,1.1002,0.230,Yes
M_Uppercase,7.9156,22.8424,1.1104,0.240,Yes
M_Uppercase,7.9348,23.4214,1.1206,0.250,Yes
M_Uppercase,7.9524,23.9927,1.1308,0.260,Yes
M_Uppercase,7.9681,24.5534,1.1410,0.270,Yes
M_Uppercase,7.9815,25.1000,1.1512,0.280,Yes
M_Uppercase,7.9927,25.6295,1.1615,0.290,Yes
M_Uppercase,8.0014,26.1384,1.1717,0.300,Yes
M_Uppercase,8.0077,26.6242,1.1818,0.310,Yes
M_Uppercase,8.0116,27.0861,1.1920,0.320,Yes
M_Uppercase,8.0126,27.5243,1.2021,0.330,Yes
M_Uppercase,8.0092,27.9389,1.2122,0.340,Yes
M_Uppercase,7.9985,28.3289,1.2222,0.350,Yes
M_Uppercase,7.9777,28.6935,1.2319,0.360,Yes
M_Uppercase,7.9422,29.0226,1.2412,0.370,Yes
M_Uppercase,7.8921,29.3086,1.2496,0.380,Yes
M_Uppercase,7.8303,29.5387,1.2568,0.390,Yes
M_Uppercase,7.7662,29.7207,1.2628,0.400,Yes
M_Uppercase,7.7074,29.8626,1.2679,0.410,Yes
M_Uppercase,7.6596,29.9765,1.2723,0.420,Yes
M_Uppercase,7.6244,30.0754,1.2763,0.430,Yes
M_Uppercase,7.6014,30.1673,1.2802,0.440,Yes
M_Uppercase,7.5898,30.2570,1.2842,0.450,Yes
M_Uppercase,7.5874,30.3476,1.2883,0.460,Yes
M_Uppercase,7.5929,30.4402,1.2926,0.470,Yes
M_Uppercase,7.6049,30.5351,1.2971,0.480,Yes
M_Uppercase,7.6224,30.6325,1.3019,0.490,Yes
M_Uppercase,7.6451,30.7324,1.3068,0.500,Yes
M_Uppercase,7.6730,30.8346,1.3122,0.510,Yes
M_Uppercase,7.7046,30.9379,1.3178,0.520,Yes
M_Uppercase,7.7393,31.0418,1.3237,0.530,Yes
M_Uppercase,7.7772,31.1456,1.3299,0.540,Yes
M_Uppercase,7.8193,31.2478,1.3365,0.550,Yes
M_Uppercase,7.8643,31.3472,1.3436,0.560,Yes
M_Uppercase,7.9123,31.4430,1.3511,0.570,Yes
M_Uppercase,7.9633,31.5343,1.3590,0.580,Yes
M_Uppercase,8.0191,31.6153,1.3675,0.590,Yes
M_Uppercase,8.0785,31.6867,1.3767,0.600,Yes
M_Uppercase,8.1417,31.7467,1.3863,0.610,Yes
M_Uppercase,8.2090,31.7931,1.3965,0.620,Yes
M_Uppercase,8.2828,31.8141,1.4076,0.630,Yes
M_Uppercase,8.3616,31.8129,1.4192,0.640,Yes
M_Uppercase,8.4456,31.7860,1.4313,0.650,Yes
M_Uppercase,8.5352,31.7290,1.4438,0.660,Yes
M_Uppercase,8.6307,31.6370,1.4567,0.670,Yes
M_Uppercase,8.7320,31.5052,1.4696,0.680,Yes
M_Uppercase,8.8383,31.3337,1.4822,0.690,Yes
M_Uppercase,8.9483,31.1270,1.4941,0.700,Yes
M_Uppercase,9.0611,30.8892,1.5048,0.710,Yes
M_Uppercase,9.1756,30.6303,1.5144,0.720,Yes
M_Uppercase,9.2916,30.3576,1.5227,0.730,Yes
M_Uppercase,9.4098,30.0752,1.5300,0.740,Yes
M_Uppercase,9.5319,29.7827,1.5364,0.750,Yes
M_Uppercase,9.6585,29.4806,1.5424,0.760,Yes
M_Uppercase,9.7921,29.1640,1.5479,0.770,Yes
M_Uppercase,9.9329,28.8325,1.5532,0.780,Yes
M_Uppercase,10.0814,28.4847,1.5583,0.790,Yes
M_Uppercase,10.2379,28.1207,1.5634,0.800,Yes
M_Uppercase,10.4021,27.7417,1.5685,0.810,Yes
M_Uppercase,10.5734,27.3496,1.5735,0.820,Yes
M_Uppercase,10.7510,26.9469,1.5785,0.830,Yes
M_Uppercase,10.9339,26.5356,1.5835,0.840,Yes
M_Uppercase,11.1213,26.1176,1.5886,0.850,Yes
M_Uppercase,11.3127,25.6946,1.5938,0.860,Yes
M_Uppercase,11.5070,25.2678,1.5990,0.870,Yes
M_Uppercase,11.7040,24.8382,1.6042,0.880,Yes
M_Uppercase,11.9029,24.4066,1.6095,0.890,Yes
M_Uppercase,12.1036,23.9732,1.6147,0.900,Yes
M_Uppercase,12.3056,23.5384,1.6200,0.910,Yes
M_Uppercase,12.5087,23.1023,1.6251,0.920,Yes
M_Uppercase,12.7127,22.6650,1.6302,0.930,Yes
M_Uppercase,12.9172,22.2267,1.6351,0.940,Yes
M_Uppercase,13.1220,21.7875,1.6398,0.950,Yes
M_Uppercase,13.3265,21.3478,1.6443,0.960,Yes
M_Uppercase,13.5302,20.9082,1.6484,0.970,Yes
