Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
O_Lowercase,19.8735,26.4724,0.5326,0.000,Yes
O_Lowercase,19.7501,26.4388,0.5536,0.010,Yes
O_Lowercase,19.6266,26.4062,0.5747,0.020,Yes
O_Lowercase,19.5029,26.3745,0.5960,0.030,Yes
O_Lowercase,19.3789,26.3436,0.6175,0.040,Yes
O_Lowercase,19.2546,26.3133,0.6390,0.050,Yes
O_Lowercase,19.1300,26.2837,0.6607,0.060,Yes
O_Lowercase,19.0049,26.2545,0.6826,0.070,Yes
O_Lowercase,18.8792,26.2257,0.7045,0.080,Yes
O_Lowercase,18.7529,26.1973,0.7266,0.090,Yes
O_Lowercase,18.6260,26.1690,0.7488,0.100,Yes
O_Lowercase,18.4983,26.1409,0.7711,0.110,Yes
O_Lowercase,18.3697,26.1128,0.7935,0.120,Yes
O_Lowercase,18.2403,26.0846,0.8160,0.130,Yes
O_Lowercase,18.1097,26.0562,0.8384,0.140,Yes
O_Lowercase,17.9780,26.0273,0.8609,0.150,Yes
O_Lowercase,17.8452,25.9979,0.8833,0.160,Yes
O_Lowercase,17.7109,25.9675,0.9056,0.170,Yes
O_Lowercase,17.5752,25.9360,0.9278,0.180,Yes
O_Lowercase,17.4379,25.9031,0.9496,0.190,Yes
O_Lowercase,17.2989,25.8680,0.9711,0.200,Yes
O_Lowercase,17.1580,25.8307,0.9921,0.210,Yes
O_Lowercase,17.0151,25.7900,1.0125,0.220,Yes
O_Lowercase,16.8699,25.7453,1.0320,0.230,Yes
O_Lowercase,16.7224,25.6960,1.0506,0.240,Yes
O_Lowercase,16.5719,25.6399,1.0677,0.250,Yes
O_Lowercase,16.4186,25.5766,1.0834,0.260,Yes
O_Lowercase,16.2618,25.5031,1.0972,0.270,Yes
O_Lowercase,16.1013,25.4182,1.1088,0.280,Yes
O_Lowercase,15.9362,25.3173,1.1176,0.290,Yes
O_Lowercase,15.7664,25.1982,1.1233,0.300,Yes
O_Lowercase,15.5911,25.0560,1.1256,0.310,Yes
O_Lowercase,15.4100,24.8868,1.1245,0.320,Yes
O_Lowercase,15.2237,24.6898,1.1208,0.330,Yes
O_Lowercase,15.0340,24.4692,1.1165,0.340,Yes
O_Lowercase,14.8442,24.2377,1.1143,0.350,Yes
O_Lowercase,14.6573,24.0070,1.1155,0.360,Yes
O_Lowercase,14.4746,23.7827,1.1204,0.370,Yes
O_Lowercase,14.2966,23.5650,1.1280,0.380,Yes
O_Lowercase,14.1236,23.3517,1.1375,0.390,Yes
O_Lowercase,13.9561,23.1407,1.1484,0.400,Yes
O_Lowercase,13.7944,22.9299,1.1601,0.410,Yes
O_Lowercase,13.6393,22.7180,1.1723,0.420,Yes
O_Lowercase,13.4917,22.5038,1.1849,0.430,Yes
O_Lowercase,13.3526,22.2862,1.1977,0.440,Yes
O_Lowercase,13.2223,22.0650,1.2103,0.450,Yes
O_Lowercase,13.1020,21.8396,1.2227,0.460,Yes
O_Lowercase,12.9918,21.6102,1.2345,0.470,Yes
O_Lowercase,12.8919,21.3772,1.2457,0.480,Yes
O_Lowercase,12.8020,21.1414,1.2561,0.490,Yes
O_Lowercase,12.7218,20.9038,1.2654,0.500,Yes
O_Lowercase,12.6501,20.6655,1.2739,0.510,Yes
O_Lowercase,12.5865,20.4276,1.2813,0.520,Yes
O_Lowercase,12.5296,20.1912,1.2878,0.530,Yes
O_Lowercase,12.4783,19.9568,1.2935,0.540,Yes
O_Lowercase,12.4321,19.7252,1.2985,0.550,Yes
O_Lowercase,12.3900,19.4965,1.3030,0.560,Yes
O_Lowercase,12.3514,19.2706,1.3071,0.570,Yes
O_Lowercase,12.3158,19.0471,1.3109,0.580,Yes
O_Lowercase,12.2831,18.8257,1.3146,0.590,Yes
O_Lowercase,12.2529,18.6055,1.3183,0.600,Yes
O_Lowercase,12.2254,18.3857,1.3222,0.610,Yes
O_Lowercase,12.2004,18.1651,1.3263,0.620,Yes
O_Lowercase,12.1783,17.9426,1.3308,0.630,Yes
O_Lowercase,12.1592,17.7168,1.3357,0.640,Yes
O_Lowercase,12.1438,17.4859,1.3412,0.650,Yes
O_Lowercase,12.1324,17.2488,1.3472,0.660,Yes
O_Lowercase,12.1258,17.0035,1.3538,0.670,Yes
O_Lowercase,12.1246,16.7496,1.3609,0.680,Yes
O_Lowercase,12.1296,16.4861,1.3684,0.690,Yes
O_Lowercase,12.1413,16.2141,1.3762,0.700,Yes
O_Lowercase,12.1597,15.9355,1.3838,0.710,Yes
O_Lowercase,12.1846,15.6534,1.3911,0.720,Yes
O_Lowercase,12.2151,15.3713,1.3978,0.730,Yes
O_Lowercase,12.2503,15.0926,1.4035,0.740,Yes
O_Lowercase,12.2888,14.8194,1.4084,0.750,Yes
O_Lowercase,12.3295,14.5527,1.4121,0.760,Yes
O_Lowercase,12.3715,14.2913,1.4149,0.770,Yes
O_Lowercase,12.4143,14.0331,1.4167,0.780,Yes
O_Lowercase,12.4583,13.7745,1.4178,0.790,Yes
O_Lowercase,12.5049,13.5119,1.4183,0.800,Yes
O_Lowercase,12.5562,13.2426,1.4186,0.810,Yes
O_Lowercase,12.6155,12.9650,1.4189,0.820,Yes
O_Lowercase,12.6858,12.6809,1.4197,0.830,Yes
O_Lowercase,12.7693,12.3954,1.4211,0.840,Yes
O_Lowercase,12.8666,12.1172,1.4234,0.850,Yes
