Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
P_Uppercase,12.4271,9.6247,0.6290,0.000,Yes
P_Uppercase,12.3640,9.9858,0.6475,0.010,Yes
P_Uppercase,12.3002,10.3272,0.6682,0.020,Yes
P_Uppercase,12.2367,10.6553,0.6901,0.030,Yes
P_Uppercase,12.1743,10.9742,0.7131,0.040,Yes
P_Uppercase,12.1135,11.2864,0.7366,0.050,Yes
P_Uppercase,12.0550,11.5943,0.7607,0.060,Yes
P_Uppercase,11.9996,11.8997,0.7851,0.070,Yes
P_Uppercase,11.9481,12.2045,0.8096,0.080,Yes
P_Uppercase,11.9018,12.5109,0.8341,0.090,Yes
P_Uppercase,11.8620,12.8214,0.8584,0.100,Yes
P_Uppercase,11.8310,13.1399,0.8823,0.110,Yes
P_Uppercase,11.8114,13.4717,0.9053,0.120,Yes
P_Uppercase,11.8066,13.8250,0.9269,0.130,Yes
P_Uppercase,11.8205,14.2113,0.9459,0.140,Yes
P_Uppercase,11.8545,14.6434,0.9612,0.150,Yes
P_Uppercase,11.9016,15.1244,0.9717,0.160,Yes
P_Uppercase,11.9438,15.6307,0.9783,0.170,Yes
P_Uppercase,11.9680,16.1263,0.9835,0.180,Yes
P_Uppercase,11.9746,16.5952,0.9889,0.190,Yes
P_Uppercase,11.9696,17.0379,0.9946,0.200,Yes
P_Uppercase,11.9582,17.4600,1.0006,0.210,Yes
P_Uppercase,11.9436,17.8666,1.0065,0.220,Yes
P_Uppercase,11.9277,18.2612,1.0123,0.230,Yes
P_Uppercase,11.9115,18.6471,1.0179,0.240,Yes
P_Uppercase,11.8956,19.0265,1.0232,0.250,Yes
P_Uppercase,11.8803,19.4013,1.0281,0.260,Yes
P_Uppercase,11.8658,19.7735,1.0327,0.270,Yes
P_Uppercase,11.8522,20.1448,1.0370,0.280,Yes
P_Uppercase,11.8395,20.5169,1.0411,0.290,Yes
P_Uppercase,11.8277,20.8919,1.0450,0.300,Yes
P_Uppercase,11.8168,21.2721,1.0487,0.310,Yes
P_Uppercase,11.8068,21.6597,1.0523,0.320,Yes
P_Uppercase,11.7975,22.0579,1.0558,0.330,Yes
P_Uppercase,11.7890,22.4708,1.0592,0.340,Yes
P_Uppercase,11.7810,22.9027,1.0627,0.350,Yes
P_Uppercase,11.7735,23.3596,1.0662,0.360,Yes
P_Uppercase,11.7661,23.8472,1.0698,0.370,Yes
P_Uppercase,11.7588,24.3671,1.0734,0.380,Yes
P_Uppercase,11.7515,24.9078,1.0766,0.390,Yes
P_Uppercase,11.7448,25.4357,1.0794,0.400,Yes
P_Uppercase,11.7399,25.9120,1.0814,0.410,Yes
P_Uppercase,11.7375,26.3208,1.0828,0.420,Yes
P_Uppercase,11.7377,26.6674,1.0838,0.430,Yes
P_Uppercase,11.7402,26.9658,1.0847,0.440,Yes
P_Uppercase,11.7449,27.2258,1.0855,0.450,Yes
