Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
Q_Uppercase,20.7883,32.0147,0.4914,0.000,Yes
Q_Uppercase,20.5773,31.9807,0.5219,0.010,Yes
Q_Uppercase,20.3660,31.9474,0.5524,0.020,Yes
Q_Uppercase,20.1543,31.9147,0.5826,0.030,Yes
Q_Uppercase,19.9422,31.8828,0.6127,0.040,Yes
Q_Uppercase,19.7298,31.8515,0.6425,0.050,Yes
Q_Uppercase,19.5170,31.8211,0.6720,0.060,Yes
Q_Uppercase,19.3038,31.7913,0.7011,0.070,Yes
Q_Uppercase,19.0902,31.7623,0.7298,0.080,Yes
Q_Uppercase,18.8762,31.7339,0.7580,0.090,Yes
Q_Uppercase,18.6618,31.7060,0.7855,0.100,Yes
Q_Uppercase,18.4470,31.6785,0.8122,0.110,Yes
Q_Uppercase,18.2318,31.6512,0.8382,0.120,Yes
Q_Uppercase,18.0164,31.6237,0.8630,0.130,Yes
Q_Uppercase,17.8008,31.5957,0.8867,0.140,Yes
Q_Uppercase,17.5852,31.5666,0.9090,0.150,Yes
Q_Uppercase,17.3696,31.5360,0.9299,0.160,Yes
Q_Uppercase,17.1544,31.5030,0.9491,0.170,Yes
Q_Uppercase,16.9396,31.4671,0.9667,0.180,Yes
Q_Uppercase,16.7256,31.4271,0.9825,0.190,Yes
Q_Uppercase,16.5126,31.3823,0.9963,0.200,Yes
Q_Uppercase,16.3010,31.3318,1.0083,0.210,Yes
Q_Uppercase,16.0910,31.2742,1.0184,0.220,Yes
Q_Uppercase,15.8828,31.2092,1.0267,0.230,Yes
Q_Uppercase,15.6769,31.1351,1.0334,0.240,Yes
Q_Uppercase,15.4733,31.0519,1.0387,0.250,Yes
Q_Uppercase,15.2721,30.9584,1.0429,0.260,Yes
Q_Uppercase,15.0734,30.8547,1.0463,0.270,Yes
Q_Uppercase,14.8769,30.7412,1.0495,0.280,Yes
Q_Uppercase,14.6824,30.6172,1.0527,0.290,Yes
Q_Uppercase,14.4891,30.4845,1.0565,0.300,Yes
Q_Uppercase,14.2964,30.3440,1.0610,0.310,Yes
Q_Uppercase,14.1035,30.1966,1.0666,0.320,Yes
Q_Uppercase,13.9095,30.0433,1.0733,0.330,Yes
Q_Uppercase,13.7136,29.8848,1.0812,0.340,Yes
Q_Uppercase,13.5149,29.7212,1.0901,0.350,Yes
Q_Uppercase,13.3126,29.5525,1.1000,0.360,Yes
Q_Uppercase,13.1061,29.3781,1.1107,0.370,Yes
Q_Uppercase,12.8946,29.1970,1.1220,0.380,Yes
Q_Uppercase,12.6777,29.0080,1.1339,0.390,Yes
Q_Uppercase,12.4550,28.8095,1.1463,0.400,Yes
Q_Uppercase,12.2266,28.5997,1.1590,0.410,Yes
Q_Uppercase,11.9932,28.3765,1.1718,0.420,Yes
Q_Uppercase,11.7564,28.1379,1.1848,0.430,Yes
Q_Uppercase,11.5195,27.8836,1.1975,0.440,Yes
Q_Uppercase,11.2874,27.6136,1.2098,0.450,Yes
Q_Uppercase,11.0664,27.3304,1.2214,0.460,Yes
Q_Uppercase,10.8622,27.0390,1.2319,0.470,Yes
