Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
R_Lowercase,16.0797,26.6064,0.5804,0.000,Yes
R_Lowercase,16.0009,26.4968,0.6145,0.010,Yes
R_Lowercase,15.9368,26.4137,0.6519,0.020,Yes
R_Lowercase,15.8832,26.3460,0.6912,0.030,Yes
R_Lowercase,15.8390,26.2886,0.7317,0.040,Yes
R_Lowercase,15.8068,26.2414,0.7736,0.050,Yes
R_Lowercase,15.7913,26.2051,0.8173,0.060,Yes
R_Lowercase,15.7958,26.1781,0.8632,0.070,Yes
R_Lowercase,15.8292,26.1600,0.9120,0.080,Yes
R_Lowercase,15.9021,26.1462,0.9650,0.090,Yes
R_Lowercase,16.0283,26.1192,1.0235,0.100,Yes
R_Lowercase,16.1972,26.0212,1.0848,0.110,Yes
R_Lowercase,16.3056,25.7483,1.1267,0.120,Yes
R_Lowercase,16.3414,25.3842,1.1446,0.130,Yes
R_Lowercase,16.3632,25.0204,1.1600,0.140,Yes
R_Lowercase,16.3746,24.6578,1.1744,0.150,Yes
R_Lowercase,16.3762,24.2951,1.1880,0.160,Yes
R_Lowercase,16.3690,23.9308,1.2010,0.170,Yes
R_Lowercase,16.3545,23.5623,1.2142,0.180,Yes
R_Lowercase,16.3350,23.1865,1.2282,0.190,Yes
R_Lowercase,16.3132,22.8003,1.2439,0.200,Yes
R_Lowercase,16.2920,22.4035,1.2615,0.210,Yes
R_Lowercase,16.2731,22.0040,1.2798,0.220,Yes
R_Lowercase,16.2557,21.6178,1.2963,0.230,Yes
R_Lowercase,16.2373,21.2598,1.3090,0.240,Yes
R_Lowercase,16.2169,20.9343,1.3176,0.250,Yes
R_Lowercase,16.1951,20.6368,1.3229,0.260,Yes
R_Lowercase,16.1736,20.3591,1.3263,0.270,Yes
R_Lowercase,16.1542,20.0927,1.3291,0.280,Yes
R_Lowercase,16.1388,19.8284,1.3325,0.290,Yes
R_Lowercase,16.1293,19.5559,1.3375,0.300,Yes
R_Lowercase,16.1276,19.2624,1.3455,0.310,Yes
R_Lowercase,16.1349,18.9301,1.3581,0.320,Yes
R_Lowercase,16.1496,18.5398,1.3766,0.330,Yes
R_Lowercase,16.1633,18.0929,1.3994,0.340,Yes
R_Lowercase,16.1654,17.6344,1.4209,0.350,Yes
R_Lowercase,16.1553,17.2079,1.4370,0.360,Yes
R_Lowercase,16.1386,16.8210,1.4480,0.370,Yes
R_Lowercase,16.1195,16.4647,1.4552,0.380,Yes
R_Lowercase,16.1003,16.1287,1.4599,0.390,Yes
R_Lowercase,16.0820,15.8045,1.4629,0.400,Yes
R_Lowercase,16.0649,15.4855,1.4650,0.410,Yes
R_Lowercase,16.0490,15.1667,1.4667,0.420,Yes
R_Lowercase,16.0341,14.8444,1.4683,0.430,Yes
R_Lowercase,16.0203,14.5159,1.4702,0.440,Yes
R_Lowercase,16.0071,14.1799,1.4727,0.450,Yes
R_Lowercase,15.9944,13.8362,1.4760,0.460,Yes
R_Lowercase,15.9819,13.4866,1.4800,0.470,Yes
R_Lowercase,15.9692,13.1350,1.4848,0.480,Yes
R_Lowercase,15.9560,12.7871,1.4901,0.490,Yes
R_Lowercase,15.9422,12.4492,1.4956,0.500,Yes
R_Lowercase,15.9278,12.1260,1.5007,0.510,Yes
R_Lowercase,15.9129,11.8195,1.5053,0.520,Yes
R_Lowercase,15.8978,11.5296,1.5091,0.530,Yes
R_Lowercase,15.8827,11.2548,1.5122,0.540,Yes
R_Lowercase,15.8678,10.9928,1.5145,0.550,Yes
R_Lowercase,15.8531,10.7416,1.5161,0.560,Yes
R_Lowercase,15.8388,10.4992,1.5172,0.570,Yes
R_Lowercase,15.8256,10.2658,1.5185,0.580,Yes
R_Lowercase,15.8165,10.0502,1.5227,0.590,Yes
R_Lowercase,15.8166,9.8711,1.5334,0.600,Yes
R_Lowercase,15.8266,9.7322,1.5486,0.610,Yes
R_Lowercase,15.8420,9.6190,1.5640,0.620,Yes
R_Lowercase,15.8596,9.5192,1.5770,0.630,Yes
R_Lowercase,15.8776,9.4261,1.5866,0.640,Yes
R_Lowercase,15.8948,9.3351,1.5920,0.650,Yes
R_Lowercase,15.9106,9.2434,1.5928,0.660,Yes
R_Lowercase,15.9242,9.1486,1.5886,0.670,Yes
R_Lowercase,15.9351,9.0487,1.5788,0.680,Yes
R_Lowercase,15.9427,8.9415,1.5628,0.690,Yes
R_Lowercase,15.9461,8.8241,1.5398,0.700,Yes
R_Lowercase,15.9438,8.6915,1.5080,0.710,Yes
R_Lowercase,15.9338,8.5367,1.4658,0.720,Yes
R_Lowercase,15.9094,8.3362,1.4072,0.730,Yes
R_Lowercase,15.8723,8.2927,0.0000,0.746,No
R_Lowercase,15.8849,8.4954,0.0000,0.756,No
R_Lowercase,15.8975,8.6981,0.0000,0.766,No
R_Lowercase,15.9101,8.9009,0.0000,0.776,No
R_Lowercase,15.9226,9.1036,0.0000,0.786,No
R_Lowercase,15.9352,9.3064,0.0000,0.796,No
R_Lowercase,15.9478,9.5091,0.0000,0.806,No
R_Lowercase,15.9604,9.7119,0.0000,0.816,No
R_Lowercase,15.9730,9.9146,0.0000,0.826,No
R_Lowercase,15.9855,10.1174,0.0000,0.836,No
R_Lowercase,15.9981,10.3201,0.0000,0.846,No
R_Lowercase,16.0107,10.5228,0.0000,0.856,No
R_Lowercase,16.0233,10.7256,0.0000,0.866,No
R_Lowercase,16.0358,10.9283,0.0000,0.876,No
R_Lowercase,16.0484,11.1311,0.0000,0.886,No
R_Lowercase,16.0610,11.3338,0.0000,0.896,No
R_Lowercase,16.0736,11.5366,0.0000,0.906,No
R_Lowercase,16.0862,11.7393,0.0000,0.916,No
R_Lowercase,16.0987,11.9421,0.0000,0.926,No
R_Lowercase,16.1113,12.1448,0.0000,0.936,No
R_Lowercase,16.1239,12.3475,0.0000,0.946,No
R_Lowercase,16.1365,12.5503,0.0000,0.956,No
R_Lowercase,16.1491,12.7530,0.0000,0.966,No
R_Lowercase,16.1616,12.9558,0.0000,0.976,No
R_Lowercase,16.1742,13.1585,0.0000,0.986,No
R_Lowercase,16.1868,13.3613,0.0000,0.996,No
R_Lowercase,16.1994,13.5640,0.0000,1.006,No
R_Lowercase,16.2119,13.7668,0.0000,1.016,No
R_Lowercase,16.2245,13.9695,0.0000,1.026,No
R_Lowercase,16.2371,14.1722,0.0000,1.036,No
R_Lowercase,16.2497,14.3750,0.0000,1.046,No
R_Lowercase,16.2623,14.5777,0.0000,1.056,No
R_Lowercase,16.2748,14.7805,0.0000,1.066,No
R_Lowercase,16.2874,14.9832,0.0000,1.076,No
R_Lowercase,16.3000,15.1860,0.0000,1.086,No
R_Lowercase,16.3126,15.3887,0.0000,1.096,No
R_Lowercase,16.3251,15.5914,0.0000,1.106,No
R_Lowercase,16.3377,15.7942,0.0000,1.116,No
R_Lowercase,16.3503,15.9969,0.0000,1.126,No
R_Lowercase,16.3629,16.1997,0.0000,1.136,No
R_Lowercase,16.3755,16.4024,0.0000,1.146,No
R_Lowercase,16.3880,16.6052,0.0000,1.156,No
R_Lowercase,16.4006,16.8079,0.0000,1.166,No
R_Lowercase,16.4132,17.0107,0.0000,1.176,No
R_Lowercase,16.4258,17.2134,0.0000,1.186,No
R_Lowercase,16.4383,17.4161,0.0000,1.196,No
R_Lowercase,16.4509,17.6189,0.0000,1.206,No
R_Lowercase,16.4635,17.8216,0.0000,1.216,No
R_Lowercase,16.4761,18.0244,0.0000,1.226,No
