Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
R_Uppercase,11.7078,9.3696,0.8683,0.000,Yes
R_Uppercase,11.6995,9.7614,0.8860,0.010,Yes
R_Uppercase,11.6918,10.1631,0.9032,0.020,Yes
R_Uppercase,11.6846,10.5742,0.9201,0.030,Yes
R_Uppercase,11.6779,10.9946,0.9366,0.040,Yes
R_Uppercase,11.6716,11.4239,0.9528,0.050,Yes
R_Uppercase,11.6657,11.8618,0.9687,0.060,Yes
R_Uppercase,11.6599,12.3077,0.9842,0.070,Yes
R_Uppercase,11.6544,12.7610,0.9994,0.080,Yes
R_Uppercase,11.6489,13.2211,1.0144,0.090,Yes
R_Uppercase,11.6433,13.6873,1.0291,0.100,Yes
R_Uppercase,11.6377,14.1589,1.0436,0.110,Yes
R_Uppercase,11.6318,14.6351,1.0579,0.120,Yes
R_Uppercase,11.6258,15.1149,1.0721,0.130,Yes
R_Uppercase,11.6195,15.5974,1.0861,0.140,Yes
R_Uppercase,11.6131,16.0815,1.0999,0.150,Yes
R_Uppercase,11.6065,16.5663,1.1136,0.160,Yes
R_Uppercase,11.6000,17.0506,1.1271,0.170,Yes
R_Uppercase,11.5937,17.5332,1.1404,0.180,Yes
R_Uppercase,11.5878,18.0132,1.1535,0.190,Yes
R_Uppercase,11.5826,18.4893,1.1664,0.200,Yes
R_Uppercase,11.5783,18.9608,1.1789,0.210,Yes
R_Uppercase,11.5752,19.4268,1.1911,0.220,Yes
R_Uppercase,11.5735,19.8865,1.2029,0.230,Yes
R_Uppercase,11.5736,20.3392,1.2143,0.240,Yes
R_Uppercase,11.5756,20.7842,1.2252,0.250,Yes
R_Uppercase,11.5798,21.2210,1.2357,0.260,Yes
R_Uppercase,11.5863,21.6488,1.2456,0.270,Yes
R_Uppercase,11.5953,22.0668,1.2550,0.280,Yes
R_Uppercase,11.6069,22.4742,1.2638,0.290,Yes
R_Uppercase,11.6211,22.8706,1.2720,0.300,Yes
R_Uppercase,11.6377,23.2551,1.2797,0.310,Yes
R_Uppercase,11.6565,23.6276,1.2869,0.320,Yes
R_Uppercase,11.6773,23.9883,1.2936,0.330,Yes
R_Uppercase,11.6996,24.3378,1.2998,0.340,Yes
R_Uppercase,11.7232,24.6769,1.3057,0.350,Yes
R_Uppercase,11.7475,25.0064,1.3113,0.360,Yes
R_Uppercase,11.7722,25.3279,1.3167,0.370,Yes
R_Uppercase,11.7969,25.6431,1.3219,0.380,Yes
R_Uppercase,11.8212,25.9536,1.3271,0.390,Yes
R_Uppercase,11.8448,26.2610,1.3323,0.400,Yes
R_Uppercase,11.8674,26.5673,1.3375,0.410,Yes
R_Uppercase,11.8885,26.8741,1.3428,0.420,Yes
R_Uppercase,11.9079,27.1829,1.3483,0.430,Yes
R_Uppercase,11.9253,27.4943,1.3539,0.440,Yes
R_Uppercase,11.9405,27.8074,1.3596,0.450,Yes
R_Uppercase,11.9538,28.1185,1.3653,0.460,Yes
R_Uppercase,11.9654,28.4213,1.3708,0.470,Yes
R_Uppercase,11.9762,28.7076,1.3758,0.480,Yes
R_Uppercase,11.9871,28.9707,1.3803,0.490,Yes
R_Uppercase,11.9986,29.2085,1.3842,0.500,Yes
R_Uppercase,12.0109,29.4225,1.3877,0.510,Yes
R_Uppercase,12.0243,29.6140,1.3908,0.520,Yes
R_Uppercase,12.0384,29.7897,1.3936,0.530,Yes
R_Uppercase,12.0533,29.9499,1.3963,0.540,Yes
