Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
S_Uppercase,25.9727,28.7435,0.6311,0.000,Yes
S_Uppercase,25.8114,28.8906,0.6585,0.010,Yes
S_Uppercase,25.6544,29.0388,0.6859,0.020,Yes
S_Uppercase,25.5009,29.1874,0.7130,0.030,Yes
S_Uppercase,25.3502,29.3359,0.7400,0.040,Yes
S_Uppercase,25.2014,29.4840,0.7667,0.050,Yes
S_Uppercase,25.0542,29.6311,0.7931,0.060,Yes
S_Uppercase,24.9078,29.7767,0.8191,0.070,Yes
S_Uppercase,24.7616,29.9203,0.8445,0.080,Yes
S_Uppercase,24.6150,30.0615,0.8693,0.090,Yes
S_Uppercase,24.4671,30.1995,0.8934,0.100,Yes
S_Uppercase,24.3169,30.3337,0.9165,0.110,Yes
S_Uppercase,24.1632,30.4634,0.9387,0.120,Yes
S_Uppercase,24.0049,30.5880,0.9597,0.130,Yes
S_Uppercase,23.8400,30.7064,0.9793,0.140,Yes
S_Uppercase,23.6661,30.8176,0.9972,0.150,Yes
S_Uppercase,23.4812,30.9212,1.0135,0.160,Yes
S_Uppercase,23.2823,31.0164,1.0278,0.170,Yes
S_Uppercase,23.0661,31.1028,1.0400,0.180,Yes
S_Uppercase,22.8293,31.1807,1.0501,0.190,Yes
S_Uppercase,22.5694,31.2512,1.0584,0.200,Yes
S_Uppercase,22.2849,31.3168,1.0651,0.210,Yes
S_Uppercase,21.9788,31.3815,1.0710,0.220,Yes
S_Uppercase,21.6568,31.4493,1.0771,0.230,Yes
S_Uppercase,21.3272,31.5223,1.0837,0.240,Yes
S_Uppercase,20.9968,31.6004,1.0912,0.250,Yes
S_Uppercase,20.6700,31.6809,1.0992,0.260,Yes
S_Uppercase,20.3489,31.7602,1.1074,0.270,Yes
S_Uppercase,20.0340,31.8346,1.1153,0.280,Yes
S_Uppercase,19.7252,31.9010,1.1228,0.290,Yes
S_Uppercase,19.4227,31.9568,1.1297,0.300,Yes
S_Uppercase,19.1265,32.0004,1.1361,0.310,Yes
S_Uppercase,18.8363,32.0313,1.1419,0.320,Yes
S_Uppercase,18.5521,32.0490,1.1473,0.330,Yes
S_Uppercase,18.2732,32.0545,1.1525,0.340,Yes
S_Uppercase,17.9990,32.0489,1.1576,0.350,Yes
S_Uppercase,17.7287,32.0329,1.1629,0.360,Yes
S_Uppercase,17.4611,32.0086,1.1684,0.370,Yes
S_Uppercase,17.1949,31.9771,1.1743,0.380,Yes
S_Uppercase,16.9288,31.9394,1.1807,0.390,Yes
S_Uppercase,16.6610,31.8966,1.1877,0.400,Yes
S_Uppercase,16.3896,31.8492,1.1954,0.410,Yes
S_Uppercase,16.1123,31.7971,1.2038,0.420,Yes
S_Uppercase,15.8271,31.7400,1.2130,0.430,Yes
