Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
T_Lowercase,17.7687,30.6931,0.5783,0.000,Yes
T_Lowercase,17.7594,30.6037,0.6063,0.010,Yes
T_Lowercase,17.7488,30.5328,0.6354,0.020,Yes
T_Lowercase,17.7375,30.4717,0.6649,0.030,Yes
T_Lowercase,17.7257,30.4155,0.6946,0.040,Yes
T_Lowercase,17.7136,30.3626,0.7241,0.050,Yes
T_Lowercase,17.7011,30.3117,0.7535,0.060,Yes
T_Lowercase,17.6882,30.2620,0.7825,0.070,Yes
T_Lowercase,17.6751,30.2126,0.8109,0.080,Yes
T_Lowercase,17.6615,30.1621,0.8385,0.090,Yes
T_Lowercase,17.6476,30.1086,0.8648,0.100,Yes
T_Lowercase,17.6331,30.0485,0.8891,0.110,Yes
T_Lowercase,17.6182,29.9709,0.9091,0.120,Yes
T_Lowercase,17.6035,29.8356,0.9188,0.130,Yes
T_Lowercase,17.5951,29.5721,0.9155,0.140,Yes
T_Lowercase,17.5893,29.3160,0.9213,0.150,Yes
T_Lowercase,17.5829,29.0526,0.9301,0.160,Yes
T_Lowercase,17.5760,28.7493,0.9401,0.170,Yes
T_Lowercase,17.5687,28.3592,0.9526,0.180,Yes
T_Lowercase,17.5650,27.7887,0.9709,0.190,Yes
T_Lowercase,17.5722,27.2078,0.9902,0.200,Yes
T_Lowercase,17.5817,26.7848,1.0047,0.210,Yes
T_Lowercase,17.5896,26.4395,1.0168,0.220,Yes
T_Lowercase,17.5955,26.1317,1.0278,0.230,Yes
T_Lowercase,17.5995,25.8446,1.0383,0.240,Yes
T_Lowercase,17.6014,25.5702,1.0484,0.250,Yes
T_Lowercase,17.6011,25.3043,1.0585,0.260,Yes
T_Lowercase,17.5988,25.0440,1.0685,0.270,Yes
T_Lowercase,17.5943,24.7877,1.0784,0.280,Yes
T_Lowercase,17.5877,24.5339,1.0884,0.290,Yes
T_Lowercase,17.5791,24.2812,1.0983,0.300,Yes
T_Lowercase,17.5687,24.0283,1.1081,0.310,Yes
T_Lowercase,17.5568,23.7736,1.1178,0.320,Yes
T_Lowercase,17.5436,23.5155,1.1274,0.330,Yes
T_Lowercase,17.5296,23.2521,1.1367,0.340,Yes
T_Lowercase,17.5153,22.9813,1.1457,0.350,Yes
T_Lowercase,17.5013,22.7010,1.1543,0.360,Yes
T_Lowercase,17.4884,22.4091,1.1625,0.370,Yes
T_Lowercase,17.4775,22.1041,1.1701,0.380,Yes
T_Lowercase,17.4696,21.7850,1.1772,0.390,Yes
T_Lowercase,17.4655,21.4523,1.1835,0.400,Yes
T_Lowercase,17.4658,21.1080,1.1892,0.410,Yes
T_Lowercase,17.4707,20.7555,1.1943,0.420,Yes
T_Lowercase,17.4800,20.3991,1.1988,0.430,Yes
T_Lowercase,17.4928,20.0429,1.2028,0.440,Yes
T_Lowercase,17.5082,19.6905,1.2065,0.450,Yes
T_Lowercase,17.5252,19.3446,1.2099,0.460,Yes
T_Lowercase,17.5426,19.0072,1.2130,0.470,Yes
T_Lowercase,17.5595,18.6792,1.2160,0.480,Yes
T_Lowercase,17.5752,18.3611,1.2189,0.490,Yes
T_Lowercase,17.5892,18.0531,1.2217,0.500,Yes
T_Lowercase,17.6010,17.7548,1.2244,0.510,Yes
T_Lowercase,17.6109,17.4654,1.2270,0.520,Yes
T_Lowercase,17.6191,17.1841,1.2296,0.530,Yes
T_Lowercase,17.6263,16.9095,1.2320,0.540,Yes
T_Lowercase,17.6331,16.6404,1.2344,0.550,Yes
T_Lowercase,17.6408,16.3751,1.2365,0.560,Yes
T_Lowercase,17.6505,16.1126,1.2384,0.570,Yes
T_Lowercase,17.6636,15.8517,1.2401,0.580,Yes
T_Lowercase,17.6809,15.5920,1.2413,0.590,Yes
T_Lowercase,17.7033,15.3338,1.2423,0.600,Yes
T_Lowercase,17.7306,15.0782,1.2429,0.610,Yes
T_Lowercase,17.7620,14.8269,1.2433,0.620,Yes
T_Lowercase,17.7961,14.5821,1.2436,0.630,Yes
T_Lowercase,17.8311,14.3455,1.2440,0.640,Yes
T_Lowercase,17.8654,14.1183,1.2446,0.650,Yes
T_Lowercase,17.8978,13.9014,1.2456,0.660,Yes
T_Lowercase,17.9276,13.6947,1.2469,0.670,Yes
T_Lowercase,17.9547,13.4980,1.2486,0.680,Yes
T_Lowercase,17.9790,13.3110,1.2509,0.690,Yes
T_Lowercase,18.0008,13.1330,1.2535,0.700,Yes
T_Lowercase,18.0207,12.9635,1.2566,0.710,Yes
T_Lowercase,18.0393,12.8016,1.2601,0.720,Yes
T_Lowercase,18.0572,12.6467,1.2639,0.730,Yes
T_Lowercase,18.0754,12.4978,1.2679,0.740,Yes
T_Lowercase,18.0944,12.3539,1.2721,0.750,Yes
T_Lowercase,18.1153,12.2141,1.2762,0.760,Yes
T_Lowercase,18.1387,12.0774,1.2803,0.770,Yes
T_Lowercase,18.1656,11.9426,1.2841,0.780,Yes
T_Lowercase,18.1965,11.8090,1.2874,0.790,Yes
T_Lowercase,18.2322,11.6755,1.2901,0.800,Yes
T_Lowercase,18.2731,11.5418,1.2921,0.810,Yes
T_Lowercase,18.3195,11.4074,1.2932,0.820,Yes
T_Lowercase,18.3714,11.2725,1.2934,0.830,Yes
T_Lowercase,18.4288,11.1376,1.2925,0.840,Yes
T_Lowercase,18.4911,11.0032,1.2906,0.850,Yes
T_Lowercase,18.5578,10.8705,1.2877,0.860,Yes
T_Lowercase,18.6284,10.7405,1.2840,0.870,Yes
T_Lowercase,18.7021,10.6140,1.2796,0.880,Yes
T_Lowercase,18.7783,10.4919,1.2745,0.890,Yes
T_Lowercase,18.8567,10.3749,1.2690,0.900,Yes
T_Lowercase,18.9366,10.2633,1.2632,0.910,Yes
T_Lowercase,19.0178,10.1574,1.2570,0.920,Yes
T_Lowercase,19.1001,10.0573,1.2507,0.930,Yes
T_Lowercase,19.1832,9.9629,1.2442,0.940,Yes
T_Lowercase,19.2670,9.8741,1.2375,0.950,Yes
T_Lowercase,19.3516,9.7906,1.2308,0.960,Yes
T_Lowercase,19.4367,9.7121,1.2240,0.970,Yes
T_Lowercase,19.5225,9.6384,1.2171,0.980,Yes
T_Lowercase,19.6089,9.5692,1.2102,0.990,Yes
T_Lowercase,19.6962,9.5041,1.2032,1.000,Yes
T_Lowercase,19.7843,9.4428,1.1960,1.010,Yes
T_Lowercase,19.8737,9.3849,1.1888,1.020,Yes
T_Lowercase,19.9645,9.3302,1.1816,1.030,Yes
T_Lowercase,20.0572,9.2783,1.1742,1.040,Yes
T_Lowercase,20.1523,9.2290,1.1667,1.050,Yes
T_Lowercase,20.2504,9.1821,1.1591,1.060,Yes
T_Lowercase,20.3521,9.1374,1.1515,1.070,Yes
T_Lowercase,20.4583,9.0948,1.1439,1.080,Yes
T_Lowercase,20.5694,9.0540,1.1363,1.090,Yes
T_Lowercase,20.6861,9.0152,1.1287,1.100,Yes
T_Lowercase,20.8085,8.9783,1.1214,1.110,Yes
T_Lowercase,20.9362,8.9431,1.1144,1.120,Yes
T_Lowercase,21.0679,8.9095,1.1078,1.130,Yes
T_Lowercase,21.2015,8.8773,1.1017,1.140,Yes
T_Lowercase,21.3342,8.8458,1.0960,1.150,Yes
T_Lowercase,21.4627,8.8144,1.0907,1.160,Yes
T_Lowercase,21.5847,8.7823,1.0857,1.170,Yes
T_Lowercase,21.6987,8.7490,1.0807,1.180,Yes
T_Lowercase,21.8045,8.7137,1.0756,1.190,Yes
T_Lowercase,21.9024,8.6761,1.0702,1.200,Yes
T_Lowercase,21.9935,8.6358,1.0643,1.210,Yes
T_Lowercase,22.0790,8.5927,1.0580,1.220,Yes
T_Lowercase,22.1599,8.5465,1.0511,1.230,Yes
T_Lowercase,22.2376,8.4971,1.0436,1.240,Yes
T_Lowercase,22.3130,8.4445,1.0356,1.250,Yes
T_Lowercase,22.3873,8.3884,1.0271,1.260,Yes
T_Lowercase,22.3623,8.5320,0.0000,1.278,No
T_Lowercase,22.2786,8.7227,0.0000,1.288,No
T_Lowercase,22.1950,8.9135,0.0000,1.298,No
T_Lowercase,22.1113,9.1042,0.0000,1.308,No
T_Lowercase,22.0276,9.2949,0.0000,1.318,No
T_Lowercase,21.9439,9.4856,0.0000,1.328,No
T_Lowercase,21.8602,9.6763,0.0000,1.338,No
T_Lowercase,21.7765,9.8670,0.0000,1.348,No
T_Lowercase,21.6928,10.0578,0.0000,1.358,No
T_Lowercase,21.6091,10.2485,0.0000,1.368,No
T_Lowercase,21.5254,10.4392,0.0000,1.378,No
T_Lowercase,21.4417,10.6299,0.0000,1.388,No
T_Lowercase,21.3580,10.8206,0.0000,1.398,No
T_Lowercase,21.2743,11.0113,0.0000,1.408,No
T_Lowercase,21.1906,11.2020,0.0000,1.418,No
T_Lowercase,21.1069,11.3928,0.0000,1.428,No
T_Lowercase,21.0232,11.5835,0.0000,1.438,No
T_Lowercase,20.9395,11.7742,0.0000,1.448,No
T_Lowercase,20.8558,11.9649,0.0000,1.458,No
T_Lowercase,20.7722,12.1556,0.0000,1.468,No
T_Lowercase,20.6885,12.3463,0.0000,1.478,No
T_Lowercase,20.6048,12.5371,0.0000,1.488,No
T_Lowercase,20.5211,12.7278,0.0000,1.498,No
T_Lowercase,20.4374,12.9185,0.0000,1.508,No
T_Lowercase,20.3537,13.1092,0.0000,1.518,No
T_Lowercase,20.2700,13.2999,0.0000,1.528,No
T_Lowercase,20.1863,13.4906,0.0000,1.538,No
T_Lowercase,20.1026,13.6814,0.0000,1.548,No
T_Lowercase,20.0189,13.8721,0.0000,1.558,No
T_Lowercase,19.9352,14.0628,0.0000,1.568,No
