Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
T_Uppercase,18.8757,32.0317,0.4429,0.000,Yes
T_Uppercase,18.8164,31.9858,0.4837,0.010,Yes
T_Uppercase,18.7655,31.9517,0.5261,0.020,Yes
T_Uppercase,18.7195,31.9222,0.5691,0.030,Yes
T_Uppercase,18.6774,31.8949,0.6124,0.040,Yes
T_Uppercase,18.6394,31.8688,0.6560,0.050,Yes
T_Uppercase,18.6065,31.8429,0.6999,0.060,Yes
T_Uppercase,18.5802,31.8162,0.7439,0.070,Yes
T_Uppercase,18.5641,31.7868,0.7880,0.080,Yes
T_Uppercase,18.5660,31.7497,0.8321,0.090,Yes
T_Uppercase,18.6355,31.6658,0.8746,0.100,Yes
T_Uppercase,18.7024,31.0249,0.8717,0.110,Yes
T_Uppercase,18.6434,30.6423,0.8894,0.120,Yes
T_Uppercase,18.5796,30.2647,0.9096,0.130,Yes
T_Uppercase,18.5168,29.8854,0.9315,0.140,Yes
T_Uppercase,18.4603,29.4989,0.9544,0.150,Yes
T_Uppercase,18.4146,29.1007,0.9776,0.160,Yes
T_Uppercase,18.3819,28.6871,1.0005,0.170,Yes
T_Uppercase,18.3614,28.2553,1.0229,0.180,Yes
T_Uppercase,18.3486,27.8024,1.0449,0.190,Yes
T_Uppercase,18.3382,27.3244,1.0671,0.200,Yes
T_Uppercase,18.3279,26.8153,1.0899,0.210,Yes
T_Uppercase,18.3197,26.2729,1.1132,0.220,Yes
T_Uppercase,18.3154,25.7173,1.1351,0.230,Yes
T_Uppercase,18.3121,25.1825,1.1538,0.240,Yes
T_Uppercase,18.3084,24.6818,1.1694,0.250,Yes
T_Uppercase,18.3055,24.2109,1.1824,0.260,Yes
T_Uppercase,18.3043,23.7623,1.1935,0.270,Yes
T_Uppercase,18.3049,23.3296,1.2029,0.280,Yes
T_Uppercase,18.3070,22.9078,1.2111,0.290,Yes
T_Uppercase,18.3098,22.4931,1.2182,0.300,Yes
T_Uppercase,18.3130,22.0829,1.2245,0.310,Yes
T_Uppercase,18.3162,21.6757,1.2302,0.320,Yes
T_Uppercase,18.3191,21.2714,1.2355,0.330,Yes
T_Uppercase,18.3215,20.8712,1.2407,0.340,Yes
T_Uppercase,18.3234,20.4772,1.2460,0.350,Yes
T_Uppercase,18.3244,20.0913,1.2517,0.360,Yes
T_Uppercase,18.3240,19.7139,1.2580,0.370,Yes
T_Uppercase,18.3212,19.3423,1.2654,0.380,Yes
T_Uppercase,18.3156,18.9702,1.2743,0.390,Yes
T_Uppercase,18.3069,18.5883,1.2848,0.400,Yes
T_Uppercase,18.2963,18.1854,1.2971,0.410,Yes
T_Uppercase,18.2869,17.7533,1.3104,0.420,Yes
T_Uppercase,18.2832,17.2935,1.3235,0.430,Yes
T_Uppercase,18.2891,16.8188,1.3345,0.440,Yes
T_Uppercase,18.3048,16.3426,1.3425,0.450,Yes
T_Uppercase,18.3272,15.8622,1.3477,0.460,Yes
T_Uppercase,18.3508,15.3520,1.3515,0.470,Yes
T_Uppercase,18.3666,14.7793,1.3564,0.480,Yes
T_Uppercase,18.3684,14.1926,1.3638,0.490,Yes
T_Uppercase,18.3637,13.6959,1.3710,0.500,Yes
T_Uppercase,18.3592,13.2955,1.3763,0.510,Yes
T_Uppercase,18.3561,12.9630,1.3799,0.520,Yes
T_Uppercase,18.3540,12.6787,1.3821,0.530,Yes
T_Uppercase,18.3524,12.4318,1.3831,0.540,Yes
T_Uppercase,18.3505,12.2143,1.3830,0.550,Yes
T_Uppercase,18.3480,12.0208,1.3817,0.560,Yes
T_Uppercase,18.3448,11.8457,1.3792,0.570,Yes
T_Uppercase,18.3409,11.6842,1.3755,0.580,Yes
T_Uppercase,18.3365,11.5325,1.3706,0.590,Yes
T_Uppercase,18.3316,11.3872,1.3645,0.600,Yes
T_Uppercase,18.3265,11.2455,1.3571,0.610,Yes
T_Uppercase,18.3216,11.1049,1.3486,0.620,Yes
T_Uppercase,18.3170,10.9630,1.3388,0.630,Yes
T_Uppercase,18.3132,10.8169,1.3275,0.640,Yes
T_Uppercase,18.3107,10.6629,1.3147,0.650,Yes
T_Uppercase,18.3104,10.4959,1.3001,0.660,Yes
T_Uppercase,18.3141,10.3065,1.2834,0.670,Yes
T_Uppercase,18.3251,10.0776,1.2647,0.680,Yes
