Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
U_Lowercase,12.8201,25.8676,0.6832,0.000,Yes
U_Lowercase,12.7889,25.5986,0.7116,0.010,Yes
U_Lowercase,12.7602,25.3440,0.7416,0.020,Yes
U_Lowercase,12.7340,25.1010,0.7727,0.030,Yes
U_Lowercase,12.7102,24.8671,0.8047,0.040,Yes
U_Lowercase,12.6887,24.6405,0.8373,0.050,Yes
U_Lowercase,12.6694,24.4199,0.8703,0.060,Yes
U_Lowercase,12.6523,24.2037,0.9033,0.070,Yes
U_Lowercase,12.6372,23.9904,0.9361,0.080,Yes
U_Lowercase,12.6239,23.7782,0.9684,0.090,Yes
U_Lowercase,12.6122,23.5653,0.9999,0.100,Yes
U_Lowercase,12.6017,23.3495,1.0301,0.110,Yes
U_Lowercase,12.5919,23.1279,1.0587,0.120,Yes
U_Lowercase,12.5822,22.8974,1.0852,0.130,Yes
U_Lowercase,12.5719,22.6541,1.1088,0.140,Yes
U_Lowercase,12.5598,22.3931,1.1290,0.150,Yes
U_Lowercase,12.5448,22.1094,1.1451,0.160,Yes
U_Lowercase,12.5259,21.7984,1.1566,0.170,Yes
U_Lowercase,12.5028,21.4590,1.1634,0.180,Yes
U_Lowercase,12.4770,21.0967,1.1663,0.190,Yes
U_Lowercase,12.4523,20.7252,1.1670,0.200,Yes
U_Lowercase,12.4328,20.3604,1.1672,0.210,Yes
U_Lowercase,12.4213,20.0137,1.1683,0.220,Yes
U_Lowercase,12.4182,19.6888,1.1709,0.230,Yes
U_Lowercase,12.4230,19.3849,1.1753,0.240,Yes
U_Lowercase,12.4343,19.0986,1.1815,0.250,Yes
U_Lowercase,12.4511,18.8262,1.1894,0.260,Yes
U_Lowercase,12.4722,18.5642,1.1990,0.270,Yes
U_Lowercase,12.4968,18.3089,1.2101,0.280,Yes
U_Lowercase,12.5242,18.0574,1.2226,0.290,Yes
U_Lowercase,12.5538,17.8063,1.2366,0.300,Yes
U_Lowercase,12.5852,17.5523,1.2521,0.310,Yes
U_Lowercase,12.6179,17.2915,1.2691,0.320,Yes
U_Lowercase,12.6517,17.0189,1.2876,0.330,Yes
U_Lowercase,12.6864,16.7281,1.3076,0.340,Yes
U_Lowercase,12.7220,16.4095,1.3292,0.350,Yes
U_Lowercase,12.7591,16.0514,1.3518,0.360,Yes
U_Lowercase,12.7995,15.6439,1.3741,0.370,Yes
U_Lowercase,12.8449,15.1986,1.3922,0.380,Yes
U_Lowercase,12.8947,14.7603,1.4026,0.390,Yes
U_Lowercase,12.9450,14.3661,1.4055,0.400,Yes
U_Lowercase,12.9938,14.0215,1.4032,0.410,Yes
U_Lowercase,13.0412,13.7187,1.3979,0.420,Yes
U_Lowercase,13.0881,13.4487,1.3908,0.430,Yes
U_Lowercase,13.1356,13.2050,1.3829,0.440,Yes
U_Lowercase,13.1844,12.9825,1.3745,0.450,Yes
U_Lowercase,13.2352,12.7770,1.3660,0.460,Yes
U_Lowercase,13.2884,12.5860,1.3575,0.470,Yes
U_Lowercase,13.3446,12.4071,1.3493,0.480,Yes
U_Lowercase,13.4039,12.2388,1.3414,0.490,Yes
U_Lowercase,13.4668,12.0799,1.3340,0.500,Yes
U_Lowercase,13.5335,11.9289,1.3269,0.510,Yes
U_Lowercase,13.6041,11.7852,1.3204,0.520,Yes
U_Lowercase,13.6792,11.6480,1.3144,0.530,Yes
U_Lowercase,13.7590,11.5168,1.3089,0.540,Yes
U_Lowercase,13.8439,11.3910,1.3041,0.550,Yes
U_Lowercase,13.9347,11.2705,1.3000,0.560,Yes
U_Lowercase,14.0322,11.1552,1.2967,0.570,Yes
U_Lowercase,14.1375,11.0452,1.2944,0.580,Yes
U_Lowercase,14.2532,10.9413,1.2933,0.590,Yes
U_Lowercase,14.3823,10.8447,1.2939,0.600,Yes
U_Lowercase,14.5320,10.7583,1.2971,0.610,Yes
U_Lowercase,14.7166,10.6878,1.3050,0.620,Yes
U_Lowercase,14.9726,10.6447,1.3224,0.630,Yes
U_Lowercase,15.3139,10.6124,1.3484,0.640,Yes
U_Lowercase,15.6065,10.5332,1.3590,0.650,Yes
U_Lowercase,15.8558,10.4353,1.3563,0.660,Yes
U_Lowercase,16.0991,10.3433,1.3470,0.670,Yes
U_Lowercase,16.3494,10.2693,1.3347,0.680,Yes
U_Lowercase,16.6021,10.2155,1.3219,0.690,Yes
U_Lowercase,16.8454,10.1755,1.3096,0.700,Yes
