Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
U_Uppercase,10.3302,32.3564,0.4941,0.000,Yes
U_Uppercase,10.3715,32.2068,0.5213,0.010,Yes
U_Uppercase,10.3874,32.1222,0.5570,0.020,Yes
U_Uppercase,10.3944,32.0567,0.5954,0.030,Yes
U_Uppercase,10.3934,32.0036,0.6358,0.040,Yes
U_Uppercase,10.3907,31.9532,0.6766,0.050,Yes
U_Uppercase,10.3792,31.9110,0.7192,0.060,Yes
U_Uppercase,10.3671,31.8694,0.7619,0.070,Yes
U_Uppercase,10.3470,31.8310,0.8058,0.080,Yes
U_Uppercase,10.3253,31.7932,0.8500,0.090,Yes
U_Uppercase,10.2968,31.7529,0.8947,0.100,Yes
U_Uppercase,10.2652,31.7114,0.9397,0.110,Yes
U_Uppercase,10.2269,31.6563,0.9843,0.120,Yes
U_Uppercase,10.1851,31.5822,1.0277,0.130,Yes
U_Uppercase,10.1433,31.4407,1.0654,0.140,Yes
U_Uppercase,10.1339,31.1246,1.0845,0.150,Yes
U_Uppercase,10.1452,30.7466,1.0959,0.160,Yes
U_Uppercase,10.1558,30.3676,1.1073,0.170,Yes
U_Uppercase,10.1648,29.9883,1.1188,0.180,Yes
U_Uppercase,10.1723,29.6091,1.1303,0.190,Yes
U_Uppercase,10.1783,29.2305,1.1417,0.200,Yes
U_Uppercase,10.1830,28.8525,1.1532,0.210,Yes
U_Uppercase,10.1867,28.4756,1.1645,0.220,Yes
U_Uppercase,10.1894,28.0999,1.1757,0.230,Yes
U_Uppercase,10.1914,27.7255,1.1868,0.240,Yes
U_Uppercase,10.1930,27.3525,1.1977,0.250,Yes
U_Uppercase,10.1943,26.9809,1.2085,0.260,Yes
U_Uppercase,10.1956,26.6107,1.2191,0.270,Yes
U_Uppercase,10.1972,26.2418,1.2295,0.280,Yes
U_Uppercase,10.1992,25.8741,1.2397,0.290,Yes
U_Uppercase,10.2019,25.5075,1.2498,0.300,Yes
U_Uppercase,10.2054,25.1419,1.2598,0.310,Yes
U_Uppercase,10.2099,24.7772,1.2696,0.320,Yes
U_Uppercase,10.2153,24.4133,1.2793,0.330,Yes
