Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
V_Lowercase,11.5985,25.9783,0.7665,0.000,Yes
V_Lowercase,11.6687,25.7726,0.7992,0.010,Yes
V_Lowercase,11.7359,25.5848,0.8347,0.020,Yes
V_Lowercase,11.8027,25.4068,0.8720,0.030,Yes
V_Lowercase,11.8707,25.2343,0.9107,0.040,Yes
V_Lowercase,11.9417,25.0648,0.9505,0.050,Yes
V_Lowercase,12.0178,24.8957,0.9914,0.060,Yes
V_Lowercase,12.1022,24.7239,1.0336,0.070,Yes
V_Lowercase,12.2011,24.5433,1.0772,0.080,Yes
V_Lowercase,12.3276,24.3399,1.1227,0.090,Yes
V_Lowercase,12.5245,24.0588,1.1699,0.100,Yes
V_Lowercase,12.9078,23.4222,1.2015,0.110,Yes
V_Lowercase,13.1447,22.8249,1.2152,0.120,Yes
V_Lowercase,13.3269,22.2974,1.2311,0.130,Yes
V_Lowercase,13.5016,21.7690,1.2474,0.140,Yes
V_Lowercase,13.6746,21.2346,1.2639,0.150,Yes
V_Lowercase,13.8472,20.6991,1.2804,0.160,Yes
V_Lowercase,14.0204,20.1691,1.2969,0.170,Yes
V_Lowercase,14.1952,19.6513,1.3133,0.180,Yes
V_Lowercase,14.3722,19.1518,1.3295,0.190,Yes
V_Lowercase,14.5519,18.6753,1.3455,0.200,Yes
V_Lowercase,14.7347,18.2238,1.3611,0.210,Yes
V_Lowercase,14.9211,17.7957,1.3763,0.220,Yes
V_Lowercase,15.1116,17.3843,1.3912,0.230,Yes
V_Lowercase,15.3072,16.9774,1.4057,0.240,Yes
V_Lowercase,15.5083,16.5558,1.4195,0.250,Yes
V_Lowercase,15.7140,16.0950,1.4319,0.260,Yes
V_Lowercase,15.9173,15.5745,1.4417,0.270,Yes
V_Lowercase,16.1035,15.0066,1.4474,0.280,Yes
V_Lowercase,16.2615,14.4446,1.4495,0.290,Yes
V_Lowercase,16.3936,13.9297,1.4500,0.300,Yes
V_Lowercase,16.5077,13.4703,1.4509,0.310,Yes
V_Lowercase,16.6078,13.0656,1.4535,0.320,Yes
V_Lowercase,16.6925,12.7225,1.4586,0.330,Yes
V_Lowercase,16.7598,12.4479,1.4649,0.340,Yes
V_Lowercase,16.8130,12.2335,1.4706,0.350,Yes
V_Lowercase,16.8579,12.0611,1.4745,0.360,Yes
V_Lowercase,16.8991,11.9152,1.4768,0.370,Yes
V_Lowercase,16.9389,11.7873,1.4775,0.380,Yes
V_Lowercase,16.9785,11.6711,1.4771,0.390,Yes
V_Lowercase,17.0184,11.5641,1.4757,0.400,Yes
V_Lowercase,17.0590,11.4640,1.4736,0.410,Yes
V_Lowercase,17.1002,11.3693,1.4711,0.420,Yes
V_Lowercase,17.1420,11.2802,1.4681,0.430,Yes
V_Lowercase,17.1843,11.1952,1.4648,0.440,Yes
V_Lowercase,17.2270,11.1146,1.4613,0.450,Yes
V_Lowercase,17.2700,11.0379,1.4577,0.460,Yes
V_Lowercase,17.3133,10.9647,1.4539,0.470,Yes
V_Lowercase,17.3566,10.8951,1.4501,0.480,Yes
V_Lowercase,17.4001,10.8289,1.4461,0.490,Yes
V_Lowercase,17.4435,10.7658,1.4422,0.500,Yes
V_Lowercase,17.4869,10.7056,1.4382,0.510,Yes
V_Lowercase,17.5303,10.6482,1.4343,0.520,Yes
V_Lowercase,17.5736,10.5935,1.4303,0.530,Yes
V_Lowercase,17.6168,10.5416,1.4263,0.540,Yes
V_Lowercase,17.6599,10.4923,1.4223,0.550,Yes
V_Lowercase,17.7029,10.4453,1.4184,0.560,Yes
V_Lowercase,17.7458,10.4007,1.4144,0.570,Yes
V_Lowercase,17.7886,10.3584,1.4105,0.580,Yes
V_Lowercase,17.8314,10.3184,1.4065,0.590,Yes
V_Lowercase,17.8742,10.2805,1.4026,0.600,Yes
V_Lowercase,17.9171,10.2450,1.3987,0.610,Yes
V_Lowercase,17.9601,10.2117,1.3948,0.620,Yes
V_Lowercase,18.0032,10.1807,1.3908,0.630,Yes
V_Lowercase,18.0465,10.1522,1.3869,0.640,Yes
V_Lowercase,18.0902,10.1262,1.3830,0.650,Yes
V_Lowercase,18.1343,10.1029,1.3791,0.660,Yes
V_Lowercase,18.1790,10.0826,1.3752,0.670,Yes
V_Lowercase,18.2243,10.0656,1.3713,0.680,Yes
V_Lowercase,18.2705,10.0523,1.3673,0.690,Yes
V_Lowercase,18.3179,10.0434,1.3634,0.700,Yes
V_Lowercase,18.3666,10.0394,1.3594,0.710,Yes
V_Lowercase,18.4170,10.0411,1.3555,0.720,Yes
V_Lowercase,18.4695,10.0496,1.3515,0.730,Yes
V_Lowercase,18.5246,10.0663,1.3475,0.740,Yes
V_Lowercase,18.5833,10.0942,1.3434,0.750,Yes
V_Lowercase,18.6468,10.1366,1.3394,0.760,Yes
V_Lowercase,18.7164,10.1974,1.3353,0.770,Yes
V_Lowercase,18.7956,10.2868,1.3313,0.780,Yes
V_Lowercase,18.8902,10.4222,1.3272,0.790,Yes
V_Lowercase,19.0140,10.6454,1.3233,0.800,Yes
V_Lowercase,19.2118,11.0972,1.3201,0.810,Yes
V_Lowercase,19.5086,11.8823,1.3194,0.820,Yes
V_Lowercase,19.7216,12.4281,1.3188,0.830,Yes
V_Lowercase,19.9010,12.8667,1.3177,0.840,Yes
V_Lowercase,20.0832,13.3082,1.3160,0.850,Yes
V_Lowercase,20.2863,13.8086,1.3136,0.860,Yes
V_Lowercase,20.5245,14.4133,1.3097,0.870,Yes
V_Lowercase,20.7929,15.1211,1.3031,0.880,Yes
V_Lowercase,21.0474,15.8193,1.2945,0.890,Yes
V_Lowercase,21.2591,16.4183,1.2858,0.900,Yes
V_Lowercase,21.4344,16.9259,1.2779,0.910,Yes
V_Lowercase,21.5860,17.3724,1.2712,0.920,Yes
V_Lowercase,21.7234,17.7819,1.2658,0.930,Yes
V_Lowercase,21.8535,18.1739,1.2623,0.940,Yes
V_Lowercase,21.9824,18.5658,1.2613,0.950,Yes
V_Lowercase,22.1164,18.9760,1.2639,0.960,Yes
V_Lowercase,22.2618,19.4227,1.2710,0.970,Yes
V_Lowercase,22.4231,19.9158,1.2827,0.980,Yes
V_Lowercase,22.5996,20.4472,1.2970,0.990,Yes
V_Lowercase,22.7893,20.9992,1.3103,1.000,Yes
V_Lowercase,23.0000,21.5697,1.3192,1.010,Yes
V_Lowercase,23.2513,22.1540,1.3203,1.020,Yes
V_Lowercase,23.5346,22.6847,1.3143,1.030,Yes
V_Lowercase,23.7936,23.0936,1.3081,1.040,Yes
V_Lowercase,23.9897,23.3915,1.3071,1.050,Yes
V_Lowercase,24.1204,23.6118,1.3115,1.060,Yes
V_Lowercase,24.2018,23.7837,1.3193,1.070,Yes
V_Lowercase,24.2505,23.9262,1.3288,1.080,Yes
V_Lowercase,24.2799,24.0520,1.3388,1.090,Yes
V_Lowercase,24.2970,24.1677,1.3488,1.100,Yes
V_Lowercase,24.3065,24.2770,1.3583,1.110,Yes
V_Lowercase,24.3121,24.3829,1.3671,1.120,Yes
V_Lowercase,24.3165,24.4876,1.3752,1.130,Yes
V_Lowercase,24.3227,24.5928,1.3824,1.140,Yes
V_Lowercase,24.3336,24.7001,1.3887,1.150,Yes
V_Lowercase,24.3567,24.8124,1.3939,1.160,Yes
V_Lowercase,24.4030,24.9321,1.3971,1.170,Yes
V_Lowercase,24.4957,25.0607,1.3957,1.180,Yes
V_Lowercase,24.6464,25.1874,1.3850,1.190,Yes
V_Lowercase,24.7973,25.2954,1.3676,1.200,Yes
V_Lowercase,24.9140,25.3904,1.3495,1.210,Yes
V_Lowercase,25.0001,25.4812,1.3329,1.220,Yes
V_Lowercase,25.0641,25.5734,1.3181,1.230,Yes
V_Lowercase,25.1112,25.6706,1.3051,1.240,Yes
V_Lowercase,25.1431,25.7779,1.2941,1.250,Yes
V_Lowercase,25.1617,25.9020,1.2853,1.260,Yes
