Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
V_Uppercase,9.5803,32.5818,0.7447,0.000,Yes
V_Uppercase,9.7357,32.0903,0.7809,0.010,Yes
V_Uppercase,9.8727,31.6831,0.8188,0.020,Yes
V_Uppercase,10.0010,31.3194,0.8568,0.030,Yes
V_Uppercase,10.1247,30.9832,0.8942,0.040,Yes
V_Uppercase,10.2455,30.6663,0.9306,0.050,Yes
V_Uppercase,10.3650,30.3628,0.9656,0.060,Yes
V_Uppercase,10.4844,30.0676,0.9988,0.070,Yes
V_Uppercase,10.6049,29.7753,1.0300,0.080,Yes
V_Uppercase,10.7278,29.4794,1.0589,0.090,Yes
V_Uppercase,10.8552,29.1705,1.0852,0.100,Yes
V_Uppercase,10.9894,28.8361,1.1087,0.110,Yes
V_Uppercase,11.1341,28.4578,1.1294,0.120,Yes
V_Uppercase,11.2933,28.0132,1.1479,0.130,Yes
V_Uppercase,11.4692,27.4914,1.1655,0.140,Yes
V_Uppercase,11.6589,26.9109,1.1833,0.150,Yes
V_Uppercase,11.8566,26.3062,1.2009,0.160,Yes
V_Uppercase,12.0570,25.7026,1.2176,0.170,Yes
V_Uppercase,12.2553,25.1153,1.2328,0.180,Yes
V_Uppercase,12.4474,24.5532,1.2467,0.190,Yes
V_Uppercase,12.6308,24.0197,1.2595,0.200,Yes
V_Uppercase,12.8048,23.5145,1.2714,0.210,Yes
V_Uppercase,12.9698,23.0345,1.2825,0.220,Yes
V_Uppercase,13.1267,22.5763,1.2928,0.230,Yes
V_Uppercase,13.2767,22.1366,1.3026,0.240,Yes
V_Uppercase,13.4209,21.7123,1.3117,0.250,Yes
V_Uppercase,13.5604,21.3009,1.3202,0.260,Yes
V_Uppercase,13.6960,20.9002,1.3282,0.270,Yes
V_Uppercase,13.8286,20.5083,1.3356,0.280,Yes
V_Uppercase,13.9591,20.1237,1.3426,0.290,Yes
V_Uppercase,14.0880,19.7449,1.3490,0.300,Yes
V_Uppercase,14.2161,19.3708,1.3551,0.310,Yes
V_Uppercase,14.3441,19.0003,1.3607,0.320,Yes
V_Uppercase,14.4726,18.6326,1.3659,0.330,Yes
V_Uppercase,14.6024,18.2673,1.3708,0.340,Yes
V_Uppercase,14.7341,17.9042,1.3754,0.350,Yes
V_Uppercase,14.8684,17.5439,1.3796,0.360,Yes
V_Uppercase,15.0058,17.1877,1.3835,0.370,Yes
V_Uppercase,15.1464,16.8378,1.3871,0.380,Yes
V_Uppercase,15.2895,16.4972,1.3902,0.390,Yes
V_Uppercase,15.4342,16.1695,1.3929,0.400,Yes
V_Uppercase,15.5787,15.8572,1.3951,0.410,Yes
V_Uppercase,15.7211,15.5621,1.3968,0.420,Yes
V_Uppercase,15.8599,15.2835,1.3981,0.430,Yes
V_Uppercase,15.9938,15.0196,1.3989,0.440,Yes
V_Uppercase,16.1225,14.7660,1.3996,0.450,Yes
V_Uppercase,16.2461,14.5175,1.4004,0.460,Yes
V_Uppercase,16.3647,14.2675,1.4015,0.470,Yes
V_Uppercase,16.4778,14.0086,1.4037,0.480,Yes
V_Uppercase,16.5836,13.7345,1.4074,0.490,Yes
V_Uppercase,16.6781,13.4465,1.4131,0.500,Yes
V_Uppercase,16.7571,13.1610,1.4202,0.510,Yes
V_Uppercase,16.8210,12.8995,1.4271,0.520,Yes
V_Uppercase,16.8744,12.6713,1.4327,0.530,Yes
V_Uppercase,16.9219,12.4729,1.4368,0.540,Yes
V_Uppercase,16.9663,12.2984,1.4395,0.550,Yes
V_Uppercase,17.0092,12.1413,1.4409,0.560,Yes
V_Uppercase,17.0514,11.9995,1.4413,0.570,Yes
V_Uppercase,17.0934,11.8676,1.4409,0.580,Yes
V_Uppercase,17.1356,11.7447,1.4397,0.590,Yes
V_Uppercase,17.1779,11.6291,1.4380,0.600,Yes
V_Uppercase,17.2206,11.5190,1.4357,0.610,Yes
V_Uppercase,17.2636,11.4138,1.4329,0.620,Yes
V_Uppercase,17.3069,11.3128,1.4298,0.630,Yes
V_Uppercase,17.3506,11.2158,1.4262,0.640,Yes
V_Uppercase,17.3947,11.1225,1.4224,0.650,Yes
V_Uppercase,17.4391,11.0324,1.4182,0.660,Yes
V_Uppercase,17.4839,10.9454,1.4137,0.670,Yes
V_Uppercase,17.5290,10.8616,1.4089,0.680,Yes
V_Uppercase,17.5745,10.7809,1.4039,0.690,Yes
V_Uppercase,17.6203,10.7034,1.3987,0.700,Yes
V_Uppercase,17.6666,10.6294,1.3932,0.710,Yes
V_Uppercase,17.7132,10.5590,1.3876,0.720,Yes
V_Uppercase,17.7603,10.4925,1.3817,0.730,Yes
V_Uppercase,17.8078,10.4302,1.3756,0.740,Yes
V_Uppercase,17.8560,10.3729,1.3694,0.750,Yes
V_Uppercase,17.9047,10.3206,1.3630,0.760,Yes
V_Uppercase,17.9540,10.2740,1.3565,0.770,Yes
V_Uppercase,18.0041,10.2334,1.3498,0.780,Yes
V_Uppercase,18.0551,10.1995,1.3430,0.790,Yes
V_Uppercase,18.1070,10.1729,1.3362,0.800,Yes
V_Uppercase,18.1600,10.1543,1.3293,0.810,Yes
V_Uppercase,18.2143,10.1446,1.3224,0.820,Yes
V_Uppercase,18.2700,10.1447,1.3154,0.830,Yes
V_Uppercase,18.3275,10.1556,1.3086,0.840,Yes
V_Uppercase,18.3869,10.1785,1.3018,0.850,Yes
V_Uppercase,18.4486,10.2146,1.2952,0.860,Yes
V_Uppercase,18.5129,10.2654,1.2888,0.870,Yes
V_Uppercase,18.5803,10.3321,1.2827,0.880,Yes
V_Uppercase,18.6519,10.4191,1.2771,0.890,Yes
V_Uppercase,18.7279,10.5260,1.2720,0.900,Yes
V_Uppercase,18.8093,10.6558,1.2676,0.910,Yes
V_Uppercase,18.8970,10.8103,1.2639,0.920,Yes
V_Uppercase,18.9925,10.9927,1.2613,0.930,Yes
V_Uppercase,19.0968,11.2041,1.2597,0.940,Yes
