Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
W_Lowercase,7.1389,26.1124,0.6650,0.000,Yes
W_Lowercase,7.1943,25.9390,0.6751,0.010,Yes
W_Lowercase,7.2432,25.7950,0.6912,0.020,Yes
W_Lowercase,7.2883,25.6680,0.7111,0.030,Yes
W_Lowercase,7.3301,25.5569,0.7347,0.040,Yes
W_Lowercase,7.3708,25.4523,0.7600,0.050,Yes
W_Lowercase,7.4102,25.3538,0.7869,0.060,Yes
W_Lowercase,7.4483,25.2639,0.8165,0.070,Yes
W_Lowercase,7.4860,25.1771,0.8473,0.080,Yes
W_Lowercase,7.5232,25.0950,0.8798,0.090,Yes
W_Lowercase,7.5602,25.0170,0.9144,0.100,Yes
W_Lowercase,7.5975,24.9409,0.9505,0.110,Yes
W_Lowercase,7.6353,24.8667,0.9885,0.120,Yes
W_Lowercase,7.6750,24.7913,1.0289,0.130,Yes
W_Lowercase,7.7179,24.7101,1.0709,0.140,Yes
W_Lowercase,7.7667,24.6137,1.1139,0.150,Yes
W_Lowercase,7.8294,24.4735,1.1535,0.160,Yes
W_Lowercase,7.9110,24.2591,1.1809,0.170,Yes
W_Lowercase,8.0032,23.9900,1.1932,0.180,Yes
W_Lowercase,8.0948,23.7125,1.1993,0.190,Yes
W_Lowercase,8.1848,23.4383,1.2042,0.200,Yes
W_Lowercase,8.2742,23.1663,1.2089,0.210,Yes
W_Lowercase,8.3639,22.8953,1.2136,0.220,Yes
W_Lowercase,8.4540,22.6244,1.2185,0.230,Yes
W_Lowercase,8.5447,22.3535,1.2234,0.240,Yes
W_Lowercase,8.6361,22.0824,1.2284,0.250,Yes
W_Lowercase,8.7282,21.8111,1.2335,0.260,Yes
W_Lowercase,8.8211,21.5396,1.2387,0.270,Yes
W_Lowercase,8.9148,21.2677,1.2440,0.280,Yes
W_Lowercase,9.0094,20.9956,1.2493,0.290,Yes
W_Lowercase,9.1049,20.7229,1.2547,0.300,Yes
W_Lowercase,9.2013,20.4498,1.2602,0.310,Yes
W_Lowercase,9.2987,20.1760,1.2658,0.320,Yes
W_Lowercase,9.3971,19.9014,1.2715,0.330,Yes
W_Lowercase,9.4964,19.6260,1.2773,0.340,Yes
W_Lowercase,9.5968,19.3495,1.2831,0.350,Yes
W_Lowercase,9.6981,19.0717,1.2890,0.360,Yes
W_Lowercase,9.8002,18.7923,1.2950,0.370,Yes
W_Lowercase,9.9032,18.5109,1.3011,0.380,Yes
W_Lowercase,10.0069,18.2272,1.3072,0.390,Yes
W_Lowercase,10.1111,17.9406,1.3134,0.400,Yes
W_Lowercase,10.2157,17.6506,1.3195,0.410,Yes
W_Lowercase,10.3204,17.3566,1.3255,0.420,Yes
W_Lowercase,10.4249,17.0577,1.3314,0.430,Yes
W_Lowercase,10.5290,16.7532,1.3369,0.440,Yes
W_Lowercase,10.6322,16.4426,1.3421,0.450,Yes
W_Lowercase,10.7342,16.1254,1.3467,0.460,Yes
W_Lowercase,10.8345,15.8014,1.3504,0.470,Yes
W_Lowercase,10.9331,15.4715,1.3534,0.480,Yes
W_Lowercase,11.0294,15.1363,1.3553,0.490,Yes
W_Lowercase,11.1235,14.7980,1.3561,0.500,Yes
W_Lowercase,11.2152,14.4588,1.3560,0.510,Yes
W_Lowercase,11.3042,14.1215,1.3549,0.520,Yes
W_Lowercase,11.3904,13.7890,1.3532,0.530,Yes
W_Lowercase,11.4733,13.4646,1.3509,0.540,Yes
W_Lowercase,11.5524,13.1512,1.3482,0.550,Yes
W_Lowercase,11.6272,12.8512,1.3454,0.560,Yes
W_Lowercase,11.6975,12.5668,1.3424,0.570,Yes
W_Lowercase,11.7627,12.3006,1.3394,0.580,Yes
W_Lowercase,11.8237,12.0510,1.3364,0.590,Yes
W_Lowercase,11.8799,11.8211,1.3334,0.600,Yes
W_Lowercase,11.9325,11.6077,1.3304,0.610,Yes
W_Lowercase,11.9817,11.4105,1.3274,0.620,Yes
W_Lowercase,12.0281,11.2291,1.3243,0.630,Yes
W_Lowercase,12.0721,11.0623,1.3212,0.640,Yes
W_Lowercase,12.1141,10.9091,1.3181,0.650,Yes
W_Lowercase,12.1545,10.7682,1.3149,0.660,Yes
W_Lowercase,12.1937,10.6384,1.3116,0.670,Yes
W_Lowercase,12.2320,10.5184,1.3083,0.680,Yes
W_Lowercase,12.2691,10.4117,1.3049,0.690,Yes
W_Lowercase,12.3058,10.3138,1.3014,0.700,Yes
W_Lowercase,12.3421,10.2232,1.2979,0.710,Yes
W_Lowercase,12.3781,10.1429,1.2943,0.720,Yes
W_Lowercase,12.4140,10.0716,1.2906,0.730,Yes
W_Lowercase,12.4498,10.0060,1.2869,0.740,Yes
W_Lowercase,12.4857,9.9504,1.2830,0.750,Yes
W_Lowercase,12.5219,9.9019,1.2792,0.760,Yes
W_Lowercase,12.5582,9.8582,1.2753,0.770,Yes
W_Lowercase,12.5951,9.8258,1.2713,0.780,Yes
W_Lowercase,12.6323,9.7978,1.2672,0.790,Yes
W_Lowercase,12.6701,9.7763,1.2631,0.800,Yes
W_Lowercase,12.7086,9.7633,1.2590,0.810,Yes
W_Lowercase,12.7476,9.7547,1.2548,0.820,Yes
W_Lowercase,12.7875,9.7537,1.2506,0.830,Yes
W_Lowercase,12.8283,9.7594,1.2463,0.840,Yes
W_Lowercase,12.8697,9.7696,1.2420,0.850,Yes
W_Lowercase,12.9123,9.7873,1.2377,0.860,Yes
W_Lowercase,12.9558,9.8111,1.2334,0.870,Yes
W_Lowercase,13.0002,9.8397,1.2291,0.880,Yes
W_Lowercase,13.0456,9.8741,1.2248,0.890,Yes
W_Lowercase,13.0924,9.9153,1.2205,0.900,Yes
W_Lowercase,13.1400,9.9615,1.2163,0.910,Yes
W_Lowercase,13.1886,10.0126,1.2121,0.920,Yes
W_Lowercase,13.2382,10.0688,1.2080,0.930,Yes
W_Lowercase,13.2891,10.1316,1.2040,0.940,Yes
W_Lowercase,13.3410,10.1994,1.2001,0.950,Yes
W_Lowercase,13.3937,10.2724,1.1963,0.960,Yes
W_Lowercase,13.4473,10.3507,1.1926,0.970,Yes
W_Lowercase,13.5018,10.4347,1.1891,0.980,Yes
W_Lowercase,13.5571,10.5246,1.1857,0.990,Yes
W_Lowercase,13.6132,10.6209,1.1825,1.000,Yes
W_Lowercase,13.6701,10.7242,1.1795,1.010,Yes
W_Lowercase,13.7278,10.8352,1.1767,1.020,Yes
W_Lowercase,13.7864,10.9550,1.1740,1.030,Yes
W_Lowercase,13.8459,11.0848,1.1715,1.040,Yes
W_Lowercase,13.9064,11.2260,1.1692,1.050,Yes
W_Lowercase,13.9682,11.3804,1.1671,1.060,Yes
W_Lowercase,14.0316,11.5512,1.1650,1.070,Yes
W_Lowercase,14.0972,11.7434,1.1630,1.080,Yes
W_Lowercase,14.1654,11.9585,1.1609,1.090,Yes
W_Lowercase,14.2374,12.2060,1.1586,1.100,Yes
W_Lowercase,14.3144,12.4919,1.1558,1.110,Yes
W_Lowercase,14.3980,12.8241,1.1521,1.120,Yes
W_Lowercase,14.4896,13.2081,1.1470,1.130,Yes
W_Lowercase,14.5891,13.6371,1.1401,1.140,Yes
W_Lowercase,14.6947,14.0925,1.1313,1.150,Yes
W_Lowercase,14.8036,14.5516,1.1213,1.160,Yes
W_Lowercase,14.9142,14.9987,1.1108,1.170,Yes
W_Lowercase,15.0262,15.4274,1.1007,1.180,Yes
W_Lowercase,15.1398,15.8378,1.0916,1.190,Yes
W_Lowercase,15.2552,16.2326,1.0840,1.200,Yes
W_Lowercase,15.3724,16.6154,1.0779,1.210,Yes
W_Lowercase,15.4913,16.9891,1.0738,1.220,Yes
W_Lowercase,15.6113,17.3576,1.0715,1.230,Yes
W_Lowercase,15.7318,17.7236,1.0712,1.240,Yes
W_Lowercase,15.8522,18.0892,1.0725,1.250,Yes
W_Lowercase,15.9716,18.4562,1.0754,1.260,Yes
W_Lowercase,16.0891,18.8257,1.0796,1.270,Yes
W_Lowercase,16.2040,19.1978,1.0848,1.280,Yes
W_Lowercase,16.3157,19.5722,1.0907,1.290,Yes
W_Lowercase,16.4236,19.9479,1.0971,1.300,Yes
W_Lowercase,16.5271,20.3237,1.1035,1.310,Yes
W_Lowercase,16.6260,20.6976,1.1098,1.320,Yes
W_Lowercase,16.7201,21.0675,1.1158,1.330,Yes
W_Lowercase,16.8089,21.4306,1.1213,1.340,Yes
W_Lowercase,16.8922,21.7836,1.1263,1.350,Yes
W_Lowercase,16.9697,22.1234,1.1307,1.360,Yes
W_Lowercase,17.0413,22.4468,1.1345,1.370,Yes
W_Lowercase,17.1065,22.7501,1.1377,1.380,Yes
W_Lowercase,17.1653,23.0313,1.1404,1.390,Yes
W_Lowercase,17.2176,23.2884,1.1425,1.400,Yes
W_Lowercase,17.2643,23.5235,1.1441,1.410,Yes
W_Lowercase,17.3046,23.7323,1.1450,1.420,Yes
W_Lowercase,17.3403,23.9203,1.1454,1.430,Yes
W_Lowercase,17.3723,24.0891,1.1453,1.440,Yes
W_Lowercase,17.4014,24.2413,1.1448,1.450,Yes
W_Lowercase,17.4285,24.3797,1.1440,1.460,Yes
W_Lowercase,17.4541,24.5059,1.1429,1.470,Yes
W_Lowercase,17.4788,24.6191,1.1416,1.480,Yes
W_Lowercase,17.5033,24.7252,1.1402,1.490,Yes
W_Lowercase,17.5277,24.8253,1.1388,1.500,Yes
W_Lowercase,17.5526,24.9155,1.1373,1.510,Yes
W_Lowercase,17.5780,25.0025,1.1358,1.520,Yes
W_Lowercase,17.6041,25.0839,1.1344,1.530,Yes
W_Lowercase,17.6313,25.1609,1.1330,1.540,Yes
W_Lowercase,17.6591,25.2355,1.1318,1.550,Yes
W_Lowercase,17.6888,25.3051,1.1308,1.560,Yes
W_Lowercase,17.7190,25.3734,1.1298,1.570,Yes
W_Lowercase,17.7511,25.4381,1.1292,1.580,Yes
W_Lowercase,17.7841,25.5012,1.1288,1.590,Yes
W_Lowercase,17.8184,25.5622,1.1286,1.600,Yes
W_Lowercase,17.8542,25.6207,1.1287,1.610,Yes
W_Lowercase,17.8907,25.6781,1.1290,1.620,Yes
W_Lowercase,17.9288,25.7322,1.1298,1.630,Yes
W_Lowercase,17.9674,25.7848,1.1309,1.640,Yes
W_Lowercase,18.0068,25.8349,1.1322,1.650,Yes
W_Lowercase,18.0468,25.8814,1.1340,1.660,Yes
W_Lowercase,18.0870,25.9262,1.1360,1.670,Yes
W_Lowercase,18.1274,25.9650,1.1385,1.680,Yes
W_Lowercase,18.1677,26.0010,1.1411,1.690,Yes
W_Lowercase,18.2078,26.0322,1.1441,1.700,Yes
W_Lowercase,18.2473,26.0571,1.1474,1.710,Yes
W_Lowercase,18.2866,26.0791,1.1509,1.720,Yes
W_Lowercase,18.3248,26.0907,1.1547,1.730,Yes
W_Lowercase,18.3626,26.0992,1.1586,1.740,Yes
W_Lowercase,18.3995,26.0985,1.1628,1.750,Yes
W_Lowercase,18.4357,26.0919,1.1670,1.760,Yes
W_Lowercase,18.4713,26.0781,1.1714,1.770,Yes
W_Lowercase,18.5061,26.0552,1.1758,1.780,Yes
W_Lowercase,18.5405,26.0276,1.1803,1.790,Yes
W_Lowercase,18.5743,25.9875,1.1848,1.800,Yes
W_Lowercase,18.6080,25.9442,1.1892,1.810,Yes
W_Lowercase,18.6414,25.8878,1.1937,1.820,Yes
W_Lowercase,18.6749,25.8260,1.1981,1.830,Yes
W_Lowercase,18.7086,25.7553,1.2024,1.840,Yes
W_Lowercase,18.7429,25.6742,1.2066,1.850,Yes
W_Lowercase,18.7778,25.5868,1.2108,1.860,Yes
W_Lowercase,18.8139,25.4882,1.2147,1.870,Yes
W_Lowercase,18.8517,25.3798,1.2185,1.880,Yes
W_Lowercase,18.8911,25.2628,1.2221,1.890,Yes
W_Lowercase,18.9327,25.1358,1.2255,1.900,Yes
W_Lowercase,18.9770,24.9982,1.2288,1.910,Yes
W_Lowercase,19.0246,24.8491,1.2319,1.920,Yes
W_Lowercase,19.0760,24.6884,1.2349,1.930,Yes
W_Lowercase,19.1311,24.5156,1.2378,1.940,Yes
W_Lowercase,19.1902,24.3306,1.2407,1.950,Yes
W_Lowercase,19.2533,24.1333,1.2436,1.960,Yes
W_Lowercase,19.3208,23.9218,1.2465,1.970,Yes
W_Lowercase,19.3921,23.6981,1.2495,1.980,Yes
W_Lowercase,19.4672,23.4620,1.2527,1.990,Yes
W_Lowercase,19.5458,23.2144,1.2559,2.000,Yes
W_Lowercase,19.6274,22.9570,1.2592,2.010,Yes
W_Lowercase,19.7117,22.6913,1.2627,2.020,Yes
W_Lowercase,19.7981,22.4185,1.2662,2.030,Yes
W_Lowercase,19.8862,22.1399,1.2697,2.040,Yes
W_Lowercase,19.9754,21.8564,1.2734,2.050,Yes
W_Lowercase,20.0655,21.5685,1.2770,2.060,Yes
W_Lowercase,20.1560,21.2768,1.2807,2.070,Yes
W_Lowercase,20.2467,20.9816,1.2843,2.080,Yes
W_Lowercase,20.3374,20.6830,1.2879,2.090,Yes
W_Lowercase,20.4279,20.3813,1.2914,2.100,Yes
W_Lowercase,20.5182,20.0763,1.2949,2.110,Yes
W_Lowercase,20.6082,19.7684,1.2982,2.120,Yes
W_Lowercase,20.6982,19.4575,1.3013,2.130,Yes
W_Lowercase,20.7882,19.1440,1.3041,2.140,Yes
W_Lowercase,20.8785,18.8283,1.3067,2.150,Yes
W_Lowercase,20.9695,18.5109,1.3090,2.160,Yes
W_Lowercase,21.0616,18.1925,1.3108,2.170,Yes
W_Lowercase,21.1549,17.8739,1.3123,2.180,Yes
W_Lowercase,21.2497,17.5560,1.3133,2.190,Yes
W_Lowercase,21.3463,17.2397,1.3139,2.200,Yes
W_Lowercase,21.4442,16.9257,1.3142,2.210,Yes
W_Lowercase,21.5433,16.6147,1.3142,2.220,Yes
W_Lowercase,21.6426,16.3074,1.3139,2.230,Yes
W_Lowercase,21.7414,16.0044,1.3136,2.240,Yes
W_Lowercase,21.8383,15.7068,1.3134,2.250,Yes
W_Lowercase,21.9323,15.4154,1.3132,2.260,Yes
W_Lowercase,22.0221,15.1314,1.3132,2.270,Yes
W_Lowercase,22.1071,14.8559,1.3133,2.280,Yes
W_Lowercase,22.1866,14.5898,1.3136,2.290,Yes
W_Lowercase,22.2606,14.3337,1.3141,2.300,Yes
W_Lowercase,22.3290,14.0885,1.3146,2.310,Yes
W_Lowercase,22.3926,13.8533,1.3151,2.320,Yes
W_Lowercase,22.4517,13.6280,1.3157,2.330,Yes
W_Lowercase,22.5070,13.4123,1.3161,2.340,Yes
W_Lowercase,22.5591,13.2054,1.3164,2.350,Yes
W_Lowercase,22.6086,13.0062,1.3166,2.360,Yes
W_Lowercase,22.6558,12.8151,1.3166,2.370,Yes
W_Lowercase,22.7013,12.6305,1.3165,2.380,Yes
W_Lowercase,22.7456,12.4519,1.3161,2.390,Yes
W_Lowercase,22.7891,12.2784,1.3156,2.400,Yes
W_Lowercase,22.8322,12.1094,1.3148,2.410,Yes
W_Lowercase,22.8754,11.9442,1.3138,2.420,Yes
W_Lowercase,22.9193,11.7821,1.3125,2.430,Yes
W_Lowercase,22.9647,11.6219,1.3108,2.440,Yes
W_Lowercase,23.0122,11.4630,1.3087,2.450,Yes
W_Lowercase,23.0628,11.3051,1.3060,2.460,Yes
W_Lowercase,23.1174,11.1484,1.3028,2.470,Yes
W_Lowercase,23.1766,10.9945,1.2988,2.480,Yes
W_Lowercase,23.2403,10.8460,1.2940,2.490,Yes
W_Lowercase,23.3075,10.7067,1.2885,2.500,Yes
