Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
W_Uppercase,4.9619,32.5464,0.4620,0.000,Yes
W_Uppercase,4.9862,32.5145,0.5389,0.010,Yes
W_Uppercase,5.0015,32.4771,0.6079,0.020,Yes
W_Uppercase,5.0167,32.4390,0.6766,0.030,Yes
W_Uppercase,5.0294,32.3776,0.7345,0.040,Yes
W_Uppercase,5.0421,32.3162,0.7924,0.050,Yes
W_Uppercase,5.0557,32.2362,0.8438,0.060,Yes
W_Uppercase,5.0712,32.1232,0.8836,0.070,Yes
W_Uppercase,5.0866,32.0101,0.9234,0.080,Yes
W_Uppercase,5.1137,31.8264,0.9444,0.090,Yes
W_Uppercase,5.1494,31.6004,0.9555,0.100,Yes
W_Uppercase,5.2608,31.1767,0.9499,0.110,Yes
W_Uppercase,5.4014,30.7333,0.9673,0.120,Yes
W_Uppercase,5.5407,30.2786,0.9863,0.130,Yes
W_Uppercase,5.6792,29.8132,1.0061,0.140,Yes
W_Uppercase,5.8170,29.3396,1.0265,0.150,Yes
W_Uppercase,5.9543,28.8600,1.0475,0.160,Yes
W_Uppercase,6.0912,28.3763,1.0688,0.170,Yes
W_Uppercase,6.2278,27.8903,1.0905,0.180,Yes
W_Uppercase,6.3643,27.4039,1.1123,0.190,Yes
W_Uppercase,6.5008,26.9186,1.1342,0.200,Yes
W_Uppercase,6.6370,26.4361,1.1559,0.210,Yes
W_Uppercase,6.7731,25.9586,1.1774,0.220,Yes
W_Uppercase,6.9087,25.4876,1.1984,0.230,Yes
W_Uppercase,7.0434,25.0252,1.2187,0.240,Yes
W_Uppercase,7.1769,24.5734,1.2382,0.250,Yes
W_Uppercase,7.3086,24.1334,1.2566,0.260,Yes
W_Uppercase,7.4379,23.7068,1.2739,0.270,Yes
W_Uppercase,7.5644,23.2936,1.2899,0.280,Yes
W_Uppercase,7.6875,22.8949,1.3046,0.290,Yes
W_Uppercase,7.8069,22.5098,1.3179,0.300,Yes
W_Uppercase,7.9224,22.1375,1.3300,0.310,Yes
W_Uppercase,8.0340,21.7773,1.3409,0.320,Yes
W_Uppercase,8.1415,21.4279,1.3507,0.330,Yes
W_Uppercase,8.2451,21.0881,1.3594,0.340,Yes
W_Uppercase,8.3450,20.7565,1.3673,0.350,Yes
W_Uppercase,8.4413,20.4321,1.3744,0.360,Yes
W_Uppercase,8.5344,20.1137,1.3808,0.370,Yes
W_Uppercase,8.6242,19.8006,1.3865,0.380,Yes
W_Uppercase,8.7112,19.4917,1.3918,0.390,Yes
W_Uppercase,8.7957,19.1862,1.3967,0.400,Yes
W_Uppercase,8.8778,18.8836,1.4013,0.410,Yes
W_Uppercase,8.9577,18.5837,1.4055,0.420,Yes
W_Uppercase,9.0357,18.2858,1.4096,0.430,Yes
W_Uppercase,9.1118,17.9900,1.4134,0.440,Yes
W_Uppercase,9.1862,17.6961,1.4170,0.450,Yes
W_Uppercase,9.2592,17.4041,1.4206,0.460,Yes
W_Uppercase,9.3307,17.1142,1.4239,0.470,Yes
W_Uppercase,9.4009,16.8265,1.4272,0.480,Yes
W_Uppercase,9.4697,16.5415,1.4303,0.490,Yes
W_Uppercase,9.5373,16.2592,1.4333,0.500,Yes
W_Uppercase,9.6035,15.9805,1.4362,0.510,Yes
W_Uppercase,9.6687,15.7052,1.4389,0.520,Yes
W_Uppercase,9.7324,15.4346,1.4414,0.530,Yes
W_Uppercase,9.7950,15.1685,1.4437,0.540,Yes
W_Uppercase,9.8563,14.9077,1.4458,0.550,Yes
W_Uppercase,9.9163,14.6529,1.4477,0.560,Yes
W_Uppercase,9.9752,14.4040,1.4494,0.570,Yes
W_Uppercase,10.0327,14.1617,1.4508,0.580,Yes
W_Uppercase,10.0889,13.9272,1.4519,0.590,Yes
W_Uppercase,10.1439,13.7001,1.4527,0.600,Yes
W_Uppercase,10.1978,13.4807,1.4533,0.610,Yes
W_Uppercase,10.2505,13.2695,1.4535,0.620,Yes
W_Uppercase,10.3021,13.0670,1.4534,0.630,Yes
W_Uppercase,10.3525,12.8741,1.4530,0.640,Yes
W_Uppercase,10.4020,12.6903,1.4523,0.650,Yes
W_Uppercase,10.4505,12.5160,1.4513,0.660,Yes
W_Uppercase,10.4982,12.3513,1.4499,0.670,Yes
W_Uppercase,10.5450,12.1966,1.4482,0.680,Yes
W_Uppercase,10.5912,12.0519,1.4463,0.690,Yes
W_Uppercase,10.6368,11.9175,1.4440,0.700,Yes
W_Uppercase,10.6818,11.7935,1.4414,0.710,Yes
W_Uppercase,10.7264,11.6802,1.4385,0.720,Yes
W_Uppercase,10.7707,11.5776,1.4353,0.730,Yes
W_Uppercase,10.8146,11.4858,1.4318,0.740,Yes
W_Uppercase,10.8585,11.4054,1.4281,0.750,Yes
W_Uppercase,10.9022,11.3372,1.4240,0.760,Yes
W_Uppercase,10.9461,11.2806,1.4197,0.770,Yes
W_Uppercase,10.9901,11.2359,1.4151,0.780,Yes
W_Uppercase,11.0344,11.2032,1.4103,0.790,Yes
W_Uppercase,11.0792,11.1828,1.4052,0.800,Yes
W_Uppercase,11.1245,11.1751,1.3999,0.810,Yes
W_Uppercase,11.1704,11.1804,1.3944,0.820,Yes
W_Uppercase,11.2172,11.1992,1.3886,0.830,Yes
W_Uppercase,11.2650,11.2321,1.3827,0.840,Yes
W_Uppercase,11.3140,11.2794,1.3765,0.850,Yes
W_Uppercase,11.3644,11.3420,1.3701,0.860,Yes
W_Uppercase,11.4164,11.4204,1.3636,0.870,Yes
W_Uppercase,11.4703,11.5155,1.3568,0.880,Yes
W_Uppercase,11.5263,11.6280,1.3500,0.890,Yes
W_Uppercase,11.5849,11.7586,1.3429,0.900,Yes
W_Uppercase,11.6462,11.9083,1.3358,0.910,Yes
W_Uppercase,11.7108,12.0777,1.3286,0.920,Yes
W_Uppercase,11.7789,12.2677,1.3213,0.930,Yes
W_Uppercase,11.8513,12.4808,1.3140,0.940,Yes
W_Uppercase,11.9286,12.7184,1.3067,0.950,Yes
W_Uppercase,12.0110,12.9787,1.2994,0.960,Yes
W_Uppercase,12.1000,13.2675,1.2923,0.970,Yes
W_Uppercase,12.1953,13.5812,1.2853,0.980,Yes
W_Uppercase,12.2981,13.9219,1.2786,0.990,Yes
W_Uppercase,12.4091,14.2905,1.2722,1.000,Yes
W_Uppercase,12.5285,14.6846,1.2662,1.010,Yes
W_Uppercase,12.6564,15.1029,1.2607,1.020,Yes
W_Uppercase,12.7927,15.5427,1.2556,1.030,Yes
W_Uppercase,12.9366,16.0000,1.2510,1.040,Yes
W_Uppercase,13.0875,16.4715,1.2469,1.050,Yes
W_Uppercase,13.2439,16.9532,1.2432,1.060,Yes
W_Uppercase,13.4052,17.4420,1.2398,1.070,Yes
W_Uppercase,13.5698,17.9349,1.2368,1.080,Yes
W_Uppercase,13.7368,18.4299,1.2340,1.090,Yes
W_Uppercase,13.9054,18.9253,1.2313,1.100,Yes
W_Uppercase,14.0748,19.4200,1.2288,1.110,Yes
W_Uppercase,14.2446,19.9131,1.2264,1.120,Yes
W_Uppercase,14.4141,20.4040,1.2240,1.130,Yes
W_Uppercase,14.5830,20.8922,1.2217,1.140,Yes
W_Uppercase,14.7510,21.3773,1.2194,1.150,Yes
W_Uppercase,14.9177,21.8587,1.2171,1.160,Yes
W_Uppercase,15.0828,22.3360,1.2148,1.170,Yes
W_Uppercase,15.2460,22.8088,1.2126,1.180,Yes
W_Uppercase,15.4069,23.2764,1.2104,1.190,Yes
W_Uppercase,15.5649,23.7379,1.2083,1.200,Yes
W_Uppercase,15.7198,24.1928,1.2063,1.210,Yes
W_Uppercase,15.8708,24.6394,1.2045,1.220,Yes
W_Uppercase,16.0174,25.0768,1.2029,1.230,Yes
W_Uppercase,16.1591,25.5034,1.2014,1.240,Yes
W_Uppercase,16.2952,25.9173,1.2003,1.250,Yes
W_Uppercase,16.4254,26.3172,1.1995,1.260,Yes
W_Uppercase,16.5494,26.7016,1.1991,1.270,Yes
W_Uppercase,16.6671,27.0692,1.1990,1.280,Yes
W_Uppercase,16.7785,27.4194,1.1994,1.290,Yes
W_Uppercase,16.8837,27.7511,1.2002,1.300,Yes
W_Uppercase,16.9828,28.0635,1.2013,1.310,Yes
W_Uppercase,17.0769,28.3588,1.2029,1.320,Yes
W_Uppercase,17.1654,28.6339,1.2048,1.330,Yes
W_Uppercase,17.2495,28.8923,1.2070,1.340,Yes
W_Uppercase,17.3297,29.1341,1.2096,1.350,Yes
W_Uppercase,17.4056,29.3574,1.2125,1.360,Yes
W_Uppercase,17.4783,29.5650,1.2156,1.370,Yes
W_Uppercase,17.5480,29.7573,1.2190,1.380,Yes
W_Uppercase,17.6150,29.9348,1.2226,1.390,Yes
W_Uppercase,17.6796,30.0980,1.2264,1.400,Yes
W_Uppercase,17.7421,30.2473,1.2305,1.410,Yes
