Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
X_Lowercase,24.4496,26.8945,0.4319,0.000,Yes
X_Lowercase,24.5150,26.8937,0.4712,0.010,Yes
X_Lowercase,24.5534,26.8882,0.5095,0.020,Yes
X_Lowercase,24.5726,26.8774,0.5469,0.030,Yes
X_Lowercase,24.5763,26.8612,0.5835,0.040,Yes
X_Lowercase,24.5670,26.8401,0.6193,0.050,Yes
X_Lowercase,24.5389,26.8109,0.6539,0.060,Yes
X_Lowercase,24.4973,26.7749,0.6877,0.070,Yes
X_Lowercase,24.4430,26.7322,0.7205,0.080,Yes
X_Lowercase,24.3706,26.6790,0.7520,0.090,Yes
X_Lowercase,24.2739,26.6089,0.7816,0.100,Yes
X_Lowercase,24.1347,26.4992,0.8072,0.110,Yes
X_Lowercase,23.9184,26.2458,0.8225,0.120,Yes
X_Lowercase,23.7270,26.0127,0.8410,0.130,Yes
X_Lowercase,23.5562,25.8160,0.8607,0.140,Yes
X_Lowercase,23.3948,25.6304,0.8795,0.150,Yes
X_Lowercase,23.2354,25.4421,0.8968,0.160,Yes
X_Lowercase,23.0733,25.2428,0.9125,0.170,Yes
X_Lowercase,22.9065,25.0285,0.9268,0.180,Yes
X_Lowercase,22.7355,24.7990,0.9401,0.190,Yes
X_Lowercase,22.5617,24.5558,0.9527,0.200,Yes
X_Lowercase,22.3853,24.2990,0.9652,0.210,Yes
X_Lowercase,22.2029,24.0239,0.9778,0.220,Yes
X_Lowercase,22.0053,23.7188,0.9911,0.230,Yes
X_Lowercase,21.7712,23.3572,1.0062,0.240,Yes
X_Lowercase,21.4541,22.8846,1.0239,0.250,Yes
X_Lowercase,21.0165,22.2612,1.0389,0.260,Yes
X_Lowercase,20.6040,21.6551,1.0428,0.270,Yes
X_Lowercase,20.3006,21.1790,1.0455,0.280,Yes
X_Lowercase,20.0552,20.7903,1.0511,0.290,Yes
X_Lowercase,19.8369,20.4523,1.0583,0.300,Yes
X_Lowercase,19.6344,20.1458,1.0659,0.310,Yes
X_Lowercase,19.4426,19.8602,1.0735,0.320,Yes
X_Lowercase,19.2591,19.5888,1.0809,0.330,Yes
X_Lowercase,19.0820,19.3273,1.0881,0.340,Yes
X_Lowercase,18.9098,19.0724,1.0950,0.350,Yes
X_Lowercase,18.7413,18.8214,1.1018,0.360,Yes
X_Lowercase,18.5751,18.5718,1.1085,0.370,Yes
X_Lowercase,18.4099,18.3217,1.1150,0.380,Yes
X_Lowercase,18.2446,18.0687,1.1215,0.390,Yes
X_Lowercase,18.0776,17.8106,1.1280,0.400,Yes
X_Lowercase,17.9072,17.5446,1.1345,0.410,Yes
X_Lowercase,17.7316,17.2676,1.1410,0.420,Yes
X_Lowercase,17.5481,16.9756,1.1475,0.430,Yes
X_Lowercase,17.3537,16.6636,1.1539,0.440,Yes
X_Lowercase,17.1441,16.3259,1.1602,0.450,Yes
X_Lowercase,16.9154,15.9577,1.1662,0.460,Yes
X_Lowercase,16.6674,15.5620,1.1715,0.470,Yes
X_Lowercase,16.4105,15.1592,1.1756,0.480,Yes
X_Lowercase,16.1642,14.7813,1.1783,0.490,Yes
X_Lowercase,15.9418,14.4468,1.1798,0.500,Yes
X_Lowercase,15.7445,14.1544,1.1806,0.510,Yes
X_Lowercase,15.5681,13.8955,1.1810,0.520,Yes
X_Lowercase,15.4080,13.6616,1.1811,0.530,Yes
X_Lowercase,15.2600,13.4462,1.1810,0.540,Yes
X_Lowercase,15.1210,13.2443,1.1807,0.550,Yes
X_Lowercase,14.9886,13.0522,1.1804,0.560,Yes
X_Lowercase,14.8606,12.8669,1.1800,0.570,Yes
X_Lowercase,14.7351,12.6858,1.1796,0.580,Yes
X_Lowercase,14.6100,12.5062,1.1791,0.590,Yes
X_Lowercase,14.4831,12.3254,1.1786,0.600,Yes
X_Lowercase,14.3516,12.1399,1.1782,0.610,Yes
X_Lowercase,14.2111,11.9443,1.1780,0.620,Yes
X_Lowercase,14.0551,11.7298,1.1783,0.630,Yes
X_Lowercase,13.8716,11.4789,1.1799,0.640,Yes
X_Lowercase,13.6510,11.1623,1.1863,0.650,Yes
X_Lowercase,13.4528,10.8205,1.2003,0.660,Yes
X_Lowercase,13.3319,10.5512,1.2146,0.670,Yes
X_Lowercase,13.2509,10.3372,1.2259,0.680,Yes
