Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
X_Uppercase,27.0520,32.5310,0.5075,0.000,Yes
X_Uppercase,26.9723,32.3529,0.5307,0.010,Yes
X_Uppercase,26.9035,32.2152,0.5569,0.020,Yes
X_Uppercase,26.8371,32.0988,0.5850,0.030,Yes
X_Uppercase,26.7698,31.9970,0.6147,0.040,Yes
X_Uppercase,26.6986,31.9083,0.6460,0.050,Yes
X_Uppercase,26.6221,31.8302,0.6789,0.060,Yes
X_Uppercase,26.5362,31.7644,0.7140,0.070,Yes
X_Uppercase,26.4385,31.7100,0.7516,0.080,Yes
X_Uppercase,26.3256,31.6667,0.7921,0.090,Yes
X_Uppercase,26.1984,31.6290,0.8353,0.100,Yes
X_Uppercase,26.0751,31.5786,0.8773,0.110,Yes
X_Uppercase,25.9793,31.5001,0.9134,0.120,Yes
X_Uppercase,25.9098,31.3973,0.9434,0.130,Yes
X_Uppercase,25.8531,31.2771,0.9689,0.140,Yes
X_Uppercase,25.7975,31.1394,0.9909,0.150,Yes
X_Uppercase,25.7309,30.9774,1.0098,0.160,Yes
X_Uppercase,25.6347,30.7747,1.0256,0.170,Yes
X_Uppercase,25.4800,30.5051,1.0388,0.180,Yes
X_Uppercase,25.2516,30.1621,1.0517,0.190,Yes
X_Uppercase,24.9904,29.7922,1.0659,0.200,Yes
X_Uppercase,24.7294,29.4253,1.0800,0.210,Yes
X_Uppercase,24.4729,29.0630,1.0935,0.220,Yes
X_Uppercase,24.2176,28.7004,1.1061,0.230,Yes
X_Uppercase,23.9589,28.3323,1.1181,0.240,Yes
X_Uppercase,23.6923,27.9537,1.1295,0.250,Yes
X_Uppercase,23.4148,27.5617,1.1407,0.260,Yes
X_Uppercase,23.1266,27.1579,1.1522,0.270,Yes
X_Uppercase,22.8324,26.7495,1.1642,0.280,Yes
X_Uppercase,22.5394,26.3457,1.1768,0.290,Yes
X_Uppercase,22.2539,25.9539,1.1899,0.300,Yes
X_Uppercase,21.9797,25.5775,1.2033,0.310,Yes
X_Uppercase,21.7177,25.2165,1.2169,0.320,Yes
X_Uppercase,21.4679,24.8695,1.2304,0.330,Yes
X_Uppercase,21.2294,24.5344,1.2438,0.340,Yes
X_Uppercase,21.0015,24.2091,1.2568,0.350,Yes
X_Uppercase,20.7829,23.8914,1.2694,0.360,Yes
X_Uppercase,20.5722,23.5791,1.2813,0.370,Yes
X_Uppercase,20.3678,23.2696,1.2924,0.380,Yes
X_Uppercase,20.1671,22.9604,1.3024,0.390,Yes
X_Uppercase,19.9669,22.6484,1.3112,0.400,Yes
X_Uppercase,19.7631,22.3307,1.3186,0.410,Yes
X_Uppercase,19.5507,22.0041,1.3244,0.420,Yes
X_Uppercase,19.3243,21.6659,1.3286,0.430,Yes
X_Uppercase,19.0786,21.3142,1.3315,0.440,Yes
X_Uppercase,18.8096,20.9484,1.3335,0.450,Yes
X_Uppercase,18.5155,20.5696,1.3350,0.460,Yes
X_Uppercase,18.1978,20.1799,1.3367,0.470,Yes
X_Uppercase,17.8611,19.7823,1.3394,0.480,Yes
X_Uppercase,17.5127,19.3793,1.3435,0.490,Yes
X_Uppercase,17.1614,18.9727,1.3493,0.500,Yes
X_Uppercase,16.8157,18.5637,1.3566,0.510,Yes
X_Uppercase,16.4825,18.1527,1.3650,0.520,Yes
X_Uppercase,16.1653,17.7402,1.3740,0.530,Yes
X_Uppercase,15.8643,17.3263,1.3830,0.540,Yes
X_Uppercase,15.5772,16.9113,1.3915,0.550,Yes
X_Uppercase,15.3001,16.4949,1.3992,0.560,Yes
X_Uppercase,15.0295,16.0773,1.4058,0.570,Yes
X_Uppercase,14.7621,15.6589,1.4114,0.580,Yes
X_Uppercase,14.4964,15.2409,1.4159,0.590,Yes
X_Uppercase,14.2323,14.8260,1.4192,0.600,Yes
X_Uppercase,13.9710,14.4177,1.4216,0.610,Yes
X_Uppercase,13.7152,14.0203,1.4232,0.620,Yes
X_Uppercase,13.4673,13.6376,1.4242,0.630,Yes
X_Uppercase,13.2294,13.2720,1.4250,0.640,Yes
X_Uppercase,13.0026,12.9245,1.4258,0.650,Yes
X_Uppercase,12.7870,12.5949,1.4269,0.660,Yes
X_Uppercase,12.5821,12.2823,1.4283,0.670,Yes
X_Uppercase,12.3872,11.9854,1.4301,0.680,Yes
X_Uppercase,12.2013,11.7025,1.4325,0.690,Yes
X_Uppercase,12.0235,11.4323,1.4354,0.700,Yes
X_Uppercase,11.8527,11.1735,1.4388,0.710,Yes
X_Uppercase,11.6881,10.9250,1.4428,0.720,Yes
X_Uppercase,11.5291,10.6859,1.4471,0.730,Yes
X_Uppercase,11.3747,10.4553,1.4520,0.740,Yes
X_Uppercase,11.2238,10.2325,1.4573,0.750,Yes
X_Uppercase,11.0736,10.0175,1.4640,0.760,Yes
X_Uppercase,10.9145,9.8144,1.4746,0.770,Yes
X_Uppercase,10.7217,9.6528,1.4953,0.780,Yes
X_Uppercase,10.5094,9.5913,1.5161,0.790,Yes
X_Uppercase,10.3581,9.5536,1.5138,0.800,Yes
X_Uppercase,10.2504,9.4910,1.4983,0.810,Yes
X_Uppercase,10.1652,9.4065,1.4766,0.820,Yes
X_Uppercase,10.0924,9.3058,1.4520,0.830,Yes
X_Uppercase,10.0271,9.1929,1.4257,0.840,Yes
X_Uppercase,9.9669,9.0694,1.3986,0.850,Yes
X_Uppercase,9.9098,8.9375,1.3712,0.860,Yes
X_Uppercase,9.8543,8.7980,1.3440,0.870,Yes
X_Uppercase,9.7995,8.6513,1.3173,0.880,Yes
X_Uppercase,9.7443,8.4961,1.2917,0.890,Yes
X_Uppercase,9.6872,8.3316,1.2679,0.900,Yes
X_Uppercase,9.6260,8.1539,1.2473,0.910,Yes
X_Uppercase,9.6030,8.3509,0.0000,0.925,No
X_Uppercase,9.6121,8.6397,0.0000,0.935,No
X_Uppercase,9.6211,8.9285,0.0000,0.945,No
X_Uppercase,9.6302,9.2174,0.0000,0.955,No
X_Uppercase,9.6392,9.5062,0.0000,0.965,No
X_Uppercase,9.6483,9.7950,0.0000,0.975,No
X_Uppercase,9.6573,10.0839,0.0000,0.985,No
X_Uppercase,9.6663,10.3727,0.0000,0.995,No
X_Uppercase,9.6754,10.6615,0.0000,1.005,No
X_Uppercase,9.6844,10.9504,0.0000,1.015,No
X_Uppercase,9.6935,11.2392,0.0000,1.025,No
X_Uppercase,9.7025,11.5280,0.0000,1.035,No
X_Uppercase,9.7116,11.8169,0.0000,1.045,No
X_Uppercase,9.7206,12.1057,0.0000,1.055,No
X_Uppercase,9.7297,12.3945,0.0000,1.065,No
X_Uppercase,9.7387,12.6834,0.0000,1.075,No
X_Uppercase,9.7478,12.9722,0.0000,1.085,No
X_Uppercase,9.7568,13.2610,0.0000,1.095,No
X_Uppercase,9.7659,13.5499,0.0000,1.105,No
X_Uppercase,9.7749,13.8387,0.0000,1.115,No
X_Uppercase,9.7840,14.1275,0.0000,1.125,No
X_Uppercase,9.7930,14.4164,0.0000,1.135,No
X_Uppercase,9.8021,14.7052,0.0000,1.145,No
X_Uppercase,9.8111,14.9940,0.0000,1.155,No
X_Uppercase,9.8202,15.2829,0.0000,1.165,No
X_Uppercase,9.8292,15.5717,0.0000,1.175,No
X_Uppercase,9.8383,15.8605,0.0000,1.185,No
X_Uppercase,9.8473,16.1494,0.0000,1.195,No
X_Uppercase,9.8564,16.4382,0.0000,1.205,No
X_Uppercase,9.8654,16.7270,0.0000,1.215,No
X_Uppercase,9.8745,17.0159,0.0000,1.225,No
X_Uppercase,9.8835,17.3047,0.0000,1.235,No
X_Uppercase,9.8925,17.5935,0.0000,1.245,No
X_Uppercase,9.9016,17.8824,0.0000,1.255,No
X_Uppercase,9.9106,18.1712,0.0000,1.265,No
X_Uppercase,9.9197,18.4600,0.0000,1.275,No
X_Uppercase,9.9287,18.7489,0.0000,1.285,No
X_Uppercase,9.9378,19.0377,0.0000,1.295,No
X_Uppercase,9.9468,19.3265,0.0000,1.305,No
X_Uppercase,9.9559,19.6154,0.0000,1.315,No
X_Uppercase,9.9649,19.9042,0.0000,1.325,No
X_Uppercase,9.9740,20.1930,0.0000,1.335,No
X_Uppercase,9.9830,20.4819,0.0000,1.345,No
X_Uppercase,9.9921,20.7707,0.0000,1.355,No
X_Uppercase,10.0011,21.0595,0.0000,1.365,No
X_Uppercase,10.0102,21.3484,0.0000,1.375,No
X_Uppercase,10.0192,21.6372,0.0000,1.385,No
X_Uppercase,10.0283,21.9260,0.0000,1.395,No
X_Uppercase,10.0373,22.2149,0.0000,1.405,No
X_Uppercase,10.0464,22.5037,0.0000,1.415,No
X_Uppercase,10.0554,22.7925,0.0000,1.425,No
X_Uppercase,10.0645,23.0814,0.0000,1.435,No
X_Uppercase,10.0735,23.3702,0.0000,1.445,No
X_Uppercase,10.0826,23.6590,0.0000,1.455,No
X_Uppercase,10.0916,23.9478,0.0000,1.465,No
X_Uppercase,10.1007,24.2367,0.0000,1.475,No
X_Uppercase,10.1097,24.5255,0.0000,1.485,No
X_Uppercase,10.1188,24.8143,0.0000,1.495,No
X_Uppercase,10.1278,25.1032,0.0000,1.505,No
X_Uppercase,10.1368,25.3920,0.0000,1.515,No
X_Uppercase,10.1459,25.6808,0.0000,1.525,No
X_Uppercase,10.1549,25.9697,0.0000,1.535,No
X_Uppercase,10.1640,26.2585,0.0000,1.545,No
X_Uppercase,10.1730,26.5473,0.0000,1.555,No
X_Uppercase,10.1821,26.8362,0.0000,1.565,No
X_Uppercase,10.1911,27.1250,0.0000,1.575,No
X_Uppercase,10.2002,27.4138,0.0000,1.585,No
X_Uppercase,10.2092,27.7027,0.0000,1.595,No
X_Uppercase,10.2183,27.9915,0.0000,1.605,No
X_Uppercase,10.2273,28.2803,0.0000,1.615,No
X_Uppercase,10.2364,28.5692,0.0000,1.625,No
X_Uppercase,10.2454,28.8580,0.0000,1.635,No
X_Uppercase,10.2545,29.1468,0.0000,1.645,No
X_Uppercase,10.2635,29.4357,0.0000,1.655,No
X_Uppercase,10.2726,29.7245,0.0000,1.665,No
X_Uppercase,10.2816,30.0133,0.0000,1.675,No
X_Uppercase,10.2907,30.3022,0.0000,1.685,No
X_Uppercase,10.2997,30.5910,0.0000,1.695,No
X_Uppercase,10.3088,30.8798,0.0000,1.705,No
X_Uppercase,10.3178,31.1687,0.0000,1.715,No
X_Uppercase,10.3269,31.4575,0.0000,1.725,No
X_Uppercase,10.3359,31.7463,0.0000,1.735,No
X_Uppercase,10.3450,32.0352,0.0000,1.745,No
X_Uppercase,10.3540,32.3240,0.0000,1.755,No
X_Uppercase,10.3760,32.4491,0.6601,1.770,Yes
X_Uppercase,10.3726,32.3968,0.6807,1.780,Yes
X_Uppercase,10.3658,32.3477,0.7030,1.790,Yes
X_Uppercase,10.3692,32.2818,0.7287,1.800,Yes
X_Uppercase,10.4048,32.1664,0.7613,1.810,Yes
X_Uppercase,10.5991,31.8189,0.8196,1.820,Yes
X_Uppercase,11.0085,31.1865,0.8843,1.830,Yes
X_Uppercase,11.1250,30.9732,0.9090,1.840,Yes
X_Uppercase,11.2110,30.8044,0.9293,1.850,Yes
X_Uppercase,11.2917,30.6463,0.9474,1.860,Yes
X_Uppercase,11.3741,30.4903,0.9639,1.870,Yes
X_Uppercase,11.4610,30.3335,0.9790,1.880,Yes
X_Uppercase,11.5541,30.1743,0.9932,1.890,Yes
X_Uppercase,11.6550,30.0112,1.0069,1.900,Yes
X_Uppercase,11.7659,29.8414,1.0205,1.910,Yes
X_Uppercase,11.8889,29.6612,1.0346,1.920,Yes
X_Uppercase,12.0278,29.4646,1.0496,1.930,Yes
X_Uppercase,12.1875,29.2427,1.0660,1.940,Yes
X_Uppercase,12.3771,28.9817,1.0841,1.950,Yes
X_Uppercase,12.6144,28.6562,1.1051,1.960,Yes
X_Uppercase,12.9475,28.2033,1.1328,1.970,Yes
X_Uppercase,13.6299,27.2978,1.1898,1.980,Yes
X_Uppercase,15.0157,25.4272,1.2925,1.990,Yes
X_Uppercase,15.4317,24.7860,1.3109,2.000,Yes
X_Uppercase,15.7160,24.3237,1.3198,2.010,Yes
X_Uppercase,15.9546,23.9284,1.3255,2.020,Yes
X_Uppercase,16.1723,23.5679,1.3298,2.030,Yes
X_Uppercase,16.3799,23.2281,1.3334,2.040,Yes
X_Uppercase,16.5829,22.9016,1.3367,2.050,Yes
X_Uppercase,16.7850,22.5840,1.3401,2.060,Yes
X_Uppercase,16.9883,22.2723,1.3436,2.070,Yes
X_Uppercase,17.1947,21.9641,1.3474,2.080,Yes
X_Uppercase,17.4054,21.6576,1.3515,2.090,Yes
X_Uppercase,17.6216,21.3512,1.3562,2.100,Yes
X_Uppercase,17.8442,21.0432,1.3614,2.110,Yes
X_Uppercase,18.0740,20.7325,1.3672,2.120,Yes
X_Uppercase,18.3114,20.4175,1.3736,2.130,Yes
X_Uppercase,18.5567,20.0974,1.3806,2.140,Yes
X_Uppercase,18.8099,19.7710,1.3881,2.150,Yes
X_Uppercase,19.0706,19.4379,1.3959,2.160,Yes
X_Uppercase,19.3378,19.0980,1.4040,2.170,Yes
X_Uppercase,19.6102,18.7516,1.4120,2.180,Yes
X_Uppercase,19.8856,18.4000,1.4196,2.190,Yes
X_Uppercase,20.1617,18.0449,1.4265,2.200,Yes
X_Uppercase,20.4355,17.6890,1.4324,2.210,Yes
X_Uppercase,20.7039,17.3351,1.4368,2.220,Yes
X_Uppercase,20.9644,16.9862,1.4398,2.230,Yes
X_Uppercase,21.2149,16.6449,1.4411,2.240,Yes
X_Uppercase,21.4541,16.3131,1.4411,2.250,Yes
X_Uppercase,21.6816,15.9915,1.4398,2.260,Yes
X_Uppercase,21.8981,15.6803,1.4377,2.270,Yes
X_Uppercase,22.1046,15.3786,1.4352,2.280,Yes
X_Uppercase,22.3028,15.0850,1.4327,2.290,Yes
X_Uppercase,22.4949,14.7972,1.4306,2.300,Yes
X_Uppercase,22.6834,14.5127,1.4293,2.310,Yes
X_Uppercase,22.8712,14.2280,1.4291,2.320,Yes
X_Uppercase,23.0620,13.9386,1.4302,2.330,Yes
X_Uppercase,23.2605,13.6388,1.4328,2.340,Yes
X_Uppercase,23.4727,13.3212,1.4369,2.350,Yes
X_Uppercase,23.7067,12.9761,1.4425,2.360,Yes
X_Uppercase,23.9702,12.5954,1.4489,2.370,Yes
X_Uppercase,24.2591,12.1885,1.4549,2.380,Yes
X_Uppercase,24.5403,11.8032,1.4588,2.390,Yes
X_Uppercase,24.7788,11.4843,1.4601,2.400,Yes
X_Uppercase,24.9720,11.2303,1.4592,2.410,Yes
X_Uppercase,25.1322,11.0218,1.4565,2.420,Yes
X_Uppercase,25.2701,10.8428,1.4523,2.430,Yes
X_Uppercase,25.3932,10.6828,1.4467,2.440,Yes
X_Uppercase,25.5064,10.5351,1.4399,2.450,Yes
X_Uppercase,25.6126,10.3952,1.4319,2.460,Yes
X_Uppercase,25.7146,10.2596,1.4228,2.470,Yes
X_Uppercase,25.8141,10.1260,1.4126,2.480,Yes
X_Uppercase,25.9125,9.9922,1.4014,2.490,Yes
X_Uppercase,26.0110,9.8566,1.3893,2.500,Yes
X_Uppercase,26.1110,9.7175,1.3764,2.510,Yes
X_Uppercase,26.2134,9.5734,1.3626,2.520,Yes
X_Uppercase,26.3194,9.4228,1.3481,2.530,Yes
X_Uppercase,26.4304,9.2639,1.3331,2.540,Yes
X_Uppercase,26.5479,9.0947,1.3178,2.550,Yes
X_Uppercase,26.6739,8.9123,1.3025,2.560,Yes
X_Uppercase,26.8112,8.7132,1.2875,2.570,Yes
X_Uppercase,26.9637,8.4922,1.2736,2.580,Yes
