Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
Y_Lowercase,11.9692,26.1617,0.3324,0.000,Yes
Y_Lowercase,11.9951,26.1578,0.3559,0.010,Yes
Y_Lowercase,12.0102,26.1556,0.3848,0.020,Yes
Y_Lowercase,12.0205,26.1532,0.4164,0.030,Yes
Y_Lowercase,12.0269,26.1494,0.4500,0.040,Yes
Y_Lowercase,12.0320,26.1452,0.4843,0.050,Yes
Y_Lowercase,12.0352,26.1396,0.5198,0.060,Yes
Y_Lowercase,12.0366,26.1326,0.5562,0.070,Yes
Y_Lowercase,12.0380,26.1256,0.5927,0.080,Yes
Y_Lowercase,12.0380,26.1162,0.6301,0.090,Yes
Y_Lowercase,12.0371,26.1053,0.6681,0.100,Yes
Y_Lowercase,12.0361,26.0944,0.7061,0.110,Yes
Y_Lowercase,12.0349,26.0817,0.7444,0.120,Yes
Y_Lowercase,12.0332,26.0649,0.7834,0.130,Yes
Y_Lowercase,12.0315,26.0480,0.8223,0.140,Yes
Y_Lowercase,12.0306,26.0261,0.8614,0.150,Yes
Y_Lowercase,12.0306,25.9982,0.9005,0.160,Yes
Y_Lowercase,12.0357,25.9536,0.9387,0.170,Yes
Y_Lowercase,12.0758,25.8173,0.9691,0.180,Yes
Y_Lowercase,12.1361,25.6187,0.9958,0.190,Yes
Y_Lowercase,12.1797,25.4488,1.0247,0.200,Yes
Y_Lowercase,12.2144,25.2971,1.0523,0.210,Yes
Y_Lowercase,12.2470,25.1536,1.0775,0.220,Yes
Y_Lowercase,12.2843,25.0081,1.0999,0.230,Yes
Y_Lowercase,12.3317,24.8504,1.1206,0.240,Yes
Y_Lowercase,12.3916,24.6723,1.1409,0.250,Yes
Y_Lowercase,12.4616,24.4716,1.1619,0.260,Yes
Y_Lowercase,12.5358,24.2516,1.1839,0.270,Yes
Y_Lowercase,12.6089,24.0173,1.2064,0.280,Yes
Y_Lowercase,12.6782,23.7738,1.2284,0.290,Yes
Y_Lowercase,12.7442,23.5257,1.2492,0.300,Yes
Y_Lowercase,12.8100,23.2778,1.2683,0.310,Yes
Y_Lowercase,12.8810,23.0337,1.2850,0.320,Yes
Y_Lowercase,12.9644,22.7940,1.2991,0.330,Yes
Y_Lowercase,13.0671,22.5558,1.3103,0.340,Yes
Y_Lowercase,13.1918,22.3143,1.3185,0.350,Yes
Y_Lowercase,13.3289,22.0702,1.3237,0.360,Yes
Y_Lowercase,13.4593,21.8323,1.3265,0.370,Yes
Y_Lowercase,13.5714,21.6081,1.3279,0.380,Yes
Y_Lowercase,13.6659,21.3969,1.3287,0.390,Yes
Y_Lowercase,13.7487,21.1932,1.3296,0.400,Yes
Y_Lowercase,13.8260,20.9901,1.3307,0.410,Yes
Y_Lowercase,13.9029,20.7808,1.3324,0.420,Yes
Y_Lowercase,13.9830,20.5593,1.3346,0.430,Yes
Y_Lowercase,14.0681,20.3220,1.3375,0.440,Yes
Y_Lowercase,14.1577,20.0690,1.3408,0.450,Yes
Y_Lowercase,14.2502,19.8041,1.3445,0.460,Yes
Y_Lowercase,14.3446,19.5319,1.3484,0.470,Yes
Y_Lowercase,14.4420,19.2555,1.3527,0.480,Yes
Y_Lowercase,14.5439,18.9763,1.3574,0.490,Yes
Y_Lowercase,14.6518,18.6955,1.3625,0.500,Yes
Y_Lowercase,14.7662,18.4139,1.3680,0.510,Yes
Y_Lowercase,14.8864,18.1325,1.3738,0.520,Yes
Y_Lowercase,15.0110,17.8518,1.3798,0.530,Yes
Y_Lowercase,15.1385,17.5718,1.3859,0.540,Yes
Y_Lowercase,15.2677,17.2916,1.3919,0.550,Yes
Y_Lowercase,15.3972,17.0100,1.3980,0.560,Yes
Y_Lowercase,15.5260,16.7262,1.4040,0.570,Yes
Y_Lowercase,15.6524,16.4406,1.4100,0.580,Yes
Y_Lowercase,15.7742,16.1557,1.4158,0.590,Yes
Y_Lowercase,15.8887,15.8770,1.4211,0.600,Yes
Y_Lowercase,15.9934,15.6107,1.4254,0.610,Yes
Y_Lowercase,16.0872,15.3621,1.4287,0.620,Yes
Y_Lowercase,16.1702,15.1332,1.4307,0.630,Yes
Y_Lowercase,16.2437,14.9236,1.4316,0.640,Yes
Y_Lowercase,16.3095,14.7309,1.4315,0.650,Yes
Y_Lowercase,16.3690,14.5528,1.4306,0.660,Yes
Y_Lowercase,16.4237,14.3866,1.4291,0.670,Yes
Y_Lowercase,16.4744,14.2304,1.4271,0.680,Yes
Y_Lowercase,16.5222,14.0821,1.4247,0.690,Yes
Y_Lowercase,16.5676,13.9405,1.4221,0.700,Yes
Y_Lowercase,16.6112,13.8042,1.4192,0.710,Yes
Y_Lowercase,16.6534,13.6722,1.4162,0.720,Yes
Y_Lowercase,16.6946,13.5437,1.4130,0.730,Yes
Y_Lowercase,16.7350,13.4181,1.4099,0.740,Yes
Y_Lowercase,16.7748,13.2945,1.4068,0.750,Yes
Y_Lowercase,16.8142,13.1725,1.4037,0.760,Yes
Y_Lowercase,16.8534,13.0514,1.4008,0.770,Yes
Y_Lowercase,16.8925,12.9307,1.3981,0.780,Yes
Y_Lowercase,16.9315,12.8099,1.3958,0.790,Yes
Y_Lowercase,16.9705,12.6885,1.3940,0.800,Yes
Y_Lowercase,17.0096,12.5658,1.3930,0.810,Yes
Y_Lowercase,17.0485,12.4418,1.3928,0.820,Yes
Y_Lowercase,17.0873,12.3163,1.3939,0.830,Yes
Y_Lowercase,17.1258,12.1899,1.3964,0.840,Yes
Y_Lowercase,17.1636,12.0636,1.4003,0.850,Yes
Y_Lowercase,17.2005,11.9391,1.4057,0.860,Yes
Y_Lowercase,17.2365,11.8183,1.4121,0.870,Yes
Y_Lowercase,17.2715,11.7024,1.4192,0.880,Yes
Y_Lowercase,17.3057,11.5925,1.4264,0.890,Yes
Y_Lowercase,17.3391,11.4886,1.4335,0.900,Yes
Y_Lowercase,17.3720,11.3906,1.4402,0.910,Yes
Y_Lowercase,17.4047,11.2980,1.4462,0.920,Yes
Y_Lowercase,17.4375,11.2101,1.4515,0.930,Yes
Y_Lowercase,17.4706,11.1263,1.4560,0.940,Yes
Y_Lowercase,17.5046,11.0458,1.4597,0.950,Yes
Y_Lowercase,17.5399,10.9678,1.4626,0.960,Yes
Y_Lowercase,17.5771,10.8920,1.4645,0.970,Yes
Y_Lowercase,17.6169,10.8175,1.4653,0.980,Yes
Y_Lowercase,17.6600,10.7440,1.4649,0.990,Yes
Y_Lowercase,17.7070,10.6711,1.4631,1.000,Yes
Y_Lowercase,17.7583,10.5985,1.4596,1.010,Yes
Y_Lowercase,17.8140,10.5263,1.4539,1.020,Yes
Y_Lowercase,17.8732,10.4550,1.4461,1.030,Yes
Y_Lowercase,17.9342,10.3852,1.4359,1.040,Yes
Y_Lowercase,17.9950,10.3176,1.4237,1.050,Yes
Y_Lowercase,18.0536,10.2526,1.4099,1.060,Yes
Y_Lowercase,18.1082,10.1904,1.3950,1.070,Yes
Y_Lowercase,18.1581,10.1311,1.3795,1.080,Yes
Y_Lowercase,18.2028,10.0742,1.3638,1.090,Yes
Y_Lowercase,18.2423,10.0194,1.3482,1.100,Yes
Y_Lowercase,18.2769,9.9661,1.3330,1.110,Yes
Y_Lowercase,18.3068,9.9140,1.3185,1.120,Yes
Y_Lowercase,18.3324,9.8623,1.3047,1.130,Yes
Y_Lowercase,18.3543,9.8104,1.2919,1.140,Yes
Y_Lowercase,18.3728,9.7575,1.2802,1.150,Yes
Y_Lowercase,18.3883,9.7024,1.2699,1.160,Yes
Y_Lowercase,18.4010,9.6426,1.2615,1.170,Yes
Y_Lowercase,18.4860,9.7871,0.0000,1.186,No
Y_Lowercase,18.5647,9.9690,0.0000,1.196,No
Y_Lowercase,18.6434,10.1510,0.0000,1.206,No
Y_Lowercase,18.7221,10.3329,0.0000,1.216,No
Y_Lowercase,18.8007,10.5149,0.0000,1.226,No
Y_Lowercase,18.8794,10.6969,0.0000,1.236,No
Y_Lowercase,18.9581,10.8788,0.0000,1.246,No
Y_Lowercase,19.0368,11.0608,0.0000,1.256,No
Y_Lowercase,19.1155,11.2427,0.0000,1.266,No
Y_Lowercase,19.1942,11.4247,0.0000,1.276,No
Y_Lowercase,19.2729,11.6067,0.0000,1.286,No
Y_Lowercase,19.3516,11.7886,0.0000,1.296,No
Y_Lowercase,19.4303,11.9706,0.0000,1.306,No
Y_Lowercase,19.5089,12.1525,0.0000,1.316,No
Y_Lowercase,19.5876,12.3345,0.0000,1.326,No
Y_Lowercase,19.6663,12.5165,0.0000,1.336,No
Y_Lowercase,19.7450,12.6984,0.0000,1.346,No
Y_Lowercase,19.8237,12.8804,0.0000,1.356,No
Y_Lowercase,19.9024,13.0623,0.0000,1.366,No
Y_Lowercase,19.9811,13.2443,0.0000,1.376,No
Y_Lowercase,20.0598,13.4262,0.0000,1.386,No
