Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
Y_Uppercase,9.6053,32.6181,0.4519,0.000,Yes
Y_Uppercase,9.5434,32.6893,0.4972,0.010,Yes
Y_Uppercase,9.5149,32.7225,0.5397,0.020,Yes
Y_Uppercase,9.5012,32.7386,0.5810,0.030,Yes
Y_Uppercase,9.4982,32.7421,0.6213,0.040,Yes
Y_Uppercase,9.5058,32.7330,0.6606,0.050,Yes
Y_Uppercase,9.5179,32.7183,0.6996,0.060,Yes
Y_Uppercase,9.5374,32.6947,0.7379,0.070,Yes
Y_Uppercase,9.5620,32.6649,0.7757,0.080,Yes
Y_Uppercase,9.5912,32.6293,0.8130,0.090,Yes
Y_Uppercase,9.6265,32.5860,0.8498,0.100,Yes
Y_Uppercase,9.6648,32.5389,0.8863,0.110,Yes
Y_Uppercase,9.7114,32.4808,0.9220,0.120,Yes
Y_Uppercase,9.7631,32.4158,0.9571,0.130,Yes
Y_Uppercase,9.8240,32.3378,0.9912,0.140,Yes
Y_Uppercase,9.9023,32.2338,1.0232,0.150,Yes
Y_Uppercase,10.0451,32.0239,1.0463,0.160,Yes
Y_Uppercase,10.2219,31.7664,1.0642,0.170,Yes
Y_Uppercase,10.3964,31.5257,1.0815,0.180,Yes
Y_Uppercase,10.5579,31.3160,1.0962,0.190,Yes
Y_Uppercase,10.6931,31.1531,1.1061,0.200,Yes
Y_Uppercase,10.8068,31.0243,1.1124,0.210,Yes
Y_Uppercase,10.9114,30.9071,1.1175,0.220,Yes
Y_Uppercase,11.0215,30.7775,1.1238,0.230,Yes
Y_Uppercase,11.1908,30.5491,1.1396,0.240,Yes
Y_Uppercase,11.6516,29.8749,1.1896,0.250,Yes
Y_Uppercase,11.8584,29.5855,1.2031,0.260,Yes
Y_Uppercase,12.0648,29.2953,1.2150,0.270,Yes
Y_Uppercase,12.2803,28.9934,1.2266,0.280,Yes
Y_Uppercase,12.5021,28.6848,1.2385,0.290,Yes
Y_Uppercase,12.7248,28.3765,1.2511,0.300,Yes
Y_Uppercase,12.9435,28.0737,1.2646,0.310,Yes
Y_Uppercase,13.1571,27.7784,1.2785,0.320,Yes
Y_Uppercase,13.3676,27.4893,1.2920,0.330,Yes
Y_Uppercase,13.5802,27.2026,1.3040,0.340,Yes
Y_Uppercase,13.8020,26.9127,1.3136,0.350,Yes
Y_Uppercase,14.0403,26.6123,1.3196,0.360,Yes
Y_Uppercase,14.2979,26.2950,1.3217,0.370,Yes
Y_Uppercase,14.5614,25.9663,1.3218,0.380,Yes
Y_Uppercase,14.8000,25.6523,1.3230,0.390,Yes
Y_Uppercase,14.9977,25.3741,1.3266,0.400,Yes
Y_Uppercase,15.1616,25.1313,1.3318,0.410,Yes
Y_Uppercase,15.3034,24.9146,1.3378,0.420,Yes
Y_Uppercase,15.4316,24.7153,1.3440,0.430,Yes
Y_Uppercase,15.5519,24.5265,1.3503,0.440,Yes
Y_Uppercase,15.6680,24.3423,1.3568,0.450,Yes
Y_Uppercase,15.7829,24.1579,1.3637,0.460,Yes
Y_Uppercase,15.8980,23.9696,1.3712,0.470,Yes
Y_Uppercase,16.0134,23.7766,1.3793,0.480,Yes
Y_Uppercase,16.1274,23.5818,1.3878,0.490,Yes
Y_Uppercase,16.2366,23.3919,1.3961,0.500,Yes
Y_Uppercase,16.3385,23.2130,1.4035,0.510,Yes
Y_Uppercase,16.4324,23.0482,1.4095,0.520,Yes
Y_Uppercase,16.5187,22.8977,1.4141,0.530,Yes
Y_Uppercase,16.5983,22.7602,1.4174,0.540,Yes
Y_Uppercase,16.6723,22.6337,1.4195,0.550,Yes
Y_Uppercase,16.7418,22.5164,1.4206,0.560,Yes
Y_Uppercase,16.8078,22.4065,1.4211,0.570,Yes
Y_Uppercase,16.8712,22.3021,1.4211,0.580,Yes
Y_Uppercase,16.9331,22.2015,1.4208,0.590,Yes
Y_Uppercase,16.9948,22.1025,1.4207,0.600,Yes
Y_Uppercase,17.0576,22.0032,1.4209,0.610,Yes
Y_Uppercase,17.1232,21.9010,1.4216,0.620,Yes
Y_Uppercase,17.1937,21.7935,1.4227,0.630,Yes
Y_Uppercase,17.2711,21.6782,1.4243,0.640,Yes
Y_Uppercase,17.3566,21.5542,1.4257,0.650,Yes
Y_Uppercase,17.4480,21.4253,1.4257,0.660,Yes
Y_Uppercase,17.5382,21.3012,1.4227,0.670,Yes
Y_Uppercase,17.6192,21.1914,1.4162,0.680,Yes
Y_Uppercase,17.6880,21.0978,1.4068,0.690,Yes
Y_Uppercase,17.7449,21.0175,1.3954,0.700,Yes
Y_Uppercase,17.7912,20.9468,1.3825,0.710,Yes
Y_Uppercase,17.8277,20.8822,1.3686,0.720,Yes
Y_Uppercase,17.8549,20.8211,1.3537,0.730,Yes
Y_Uppercase,17.8727,20.7613,1.3376,0.740,Yes
Y_Uppercase,17.8824,20.7006,1.3197,0.750,Yes
Y_Uppercase,17.8884,20.6377,1.2990,0.760,Yes
Y_Uppercase,17.8980,20.5724,1.2748,0.770,Yes
Y_Uppercase,17.9184,20.5059,1.2470,0.780,Yes
Y_Uppercase,17.9526,20.4390,1.2164,0.790,Yes
Y_Uppercase,18.0014,20.3720,1.1837,0.800,Yes
Y_Uppercase,18.0629,20.3042,1.1495,0.810,Yes
Y_Uppercase,18.1378,20.2340,1.1139,0.820,Yes
Y_Uppercase,18.2276,20.1582,1.0769,0.830,Yes
Y_Uppercase,18.3449,20.0658,1.0369,0.840,Yes
Y_Uppercase,18.5282,20.2575,0.0000,0.852,No
Y_Uppercase,18.6865,20.4685,0.0000,0.862,No
Y_Uppercase,18.8447,20.6796,0.0000,0.872,No
Y_Uppercase,19.0030,20.8907,0.0000,0.882,No
Y_Uppercase,19.1612,21.1018,0.0000,0.892,No
Y_Uppercase,19.3194,21.3128,0.0000,0.902,No
Y_Uppercase,19.4777,21.5239,0.0000,0.912,No
Y_Uppercase,19.6359,21.7350,0.0000,0.922,No
Y_Uppercase,19.7942,21.9460,0.0000,0.932,No
Y_Uppercase,19.9524,22.1571,0.0000,0.942,No
Y_Uppercase,20.1107,22.3682,0.0000,0.952,No
Y_Uppercase,20.2689,22.5793,0.0000,0.962,No
Y_Uppercase,20.4272,22.7903,0.0000,0.972,No
Y_Uppercase,20.5854,23.0014,0.0000,0.982,No
Y_Uppercase,20.7436,23.2125,0.0000,0.992,No
Y_Uppercase,20.9019,23.4236,0.0000,1.002,No
Y_Uppercase,21.0601,23.6346,0.0000,1.012,No
Y_Uppercase,21.2184,23.8457,0.0000,1.022,No
Y_Uppercase,21.3766,24.0568,0.0000,1.032,No
Y_Uppercase,21.5349,24.2679,0.0000,1.042,No
Y_Uppercase,21.6931,24.4789,0.0000,1.052,No
Y_Uppercase,21.8514,24.6900,0.0000,1.062,No
Y_Uppercase,22.0096,24.9011,0.0000,1.072,No
Y_Uppercase,22.1679,25.1122,0.0000,1.082,No
Y_Uppercase,22.3261,25.3232,0.0000,1.092,No
Y_Uppercase,22.4843,25.5343,0.0000,1.102,No
Y_Uppercase,22.6426,25.7454,0.0000,1.112,No
Y_Uppercase,22.8008,25.9564,0.0000,1.122,No
Y_Uppercase,22.9591,26.1675,0.0000,1.132,No
Y_Uppercase,23.1173,26.3786,0.0000,1.142,No
Y_Uppercase,23.2756,26.5897,0.0000,1.152,No
Y_Uppercase,23.4338,26.8007,0.0000,1.162,No
Y_Uppercase,23.5921,27.0118,0.0000,1.172,No
Y_Uppercase,23.7503,27.2229,0.0000,1.182,No
Y_Uppercase,23.9085,27.4340,0.0000,1.192,No
Y_Uppercase,24.0668,27.6450,0.0000,1.202,No
Y_Uppercase,24.2250,27.8561,0.0000,1.212,No
Y_Uppercase,24.3833,28.0672,0.0000,1.222,No
Y_Uppercase,24.5415,28.2783,0.0000,1.232,No
Y_Uppercase,24.6998,28.4893,0.0000,1.242,No
Y_Uppercase,24.8580,28.7004,0.0000,1.252,No
Y_Uppercase,25.0163,28.9115,0.0000,1.262,No
