Character,x (mm),y (mm),Force (N),Time (s),Contact (Yes/No)
Z_Uppercase,11.0742,32.3822,0.7957,0.000,Yes
Z_Uppercase,11.3362,32.3776,0.8242,0.010,Yes
Z_Uppercase,11.5928,32.3744,0.8534,0.020,Yes
Z_Uppercase,11.8449,32.3725,0.8833,0.030,Yes
Z_Uppercase,12.0935,32.3716,0.9135,0.040,Yes
Z_Uppercase,12.3394,32.3714,0.9441,0.050,Yes
Z_Uppercase,12.5832,32.3720,0.9750,0.060,Yes
Z_Uppercase,12.8257,32.3731,1.0058,0.070,Yes
Z_Uppercase,13.0675,32.3747,1.0367,0.080,Yes
Z_Uppercase,13.3095,32.3769,1.0673,0.090,Yes
Z_Uppercase,13.5529,32.3795,1.0976,0.100,Yes
Z_Uppercase,13.7989,32.3827,1.1274,0.110,Yes
Z_Uppercase,14.0496,32.3864,1.1562,0.120,Yes
Z_Uppercase,14.3069,32.3907,1.1838,0.130,Yes
Z_Uppercase,14.5746,32.3956,1.2097,0.140,Yes
Z_Uppercase,14.8563,32.4013,1.2333,0.150,Yes
Z_Uppercase,15.1582,32.4078,1.2539,0.160,Yes
Z_Uppercase,15.4861,32.4154,1.2707,0.170,Yes
Z_Uppercase,15.8458,32.4243,1.2830,0.180,Yes
Z_Uppercase,16.2394,32.4348,1.2910,0.190,Yes
Z_Uppercase,16.6613,32.4472,1.2956,0.200,Yes
Z_Uppercase,17.0974,32.4618,1.2989,0.210,Yes
Z_Uppercase,17.5336,32.4787,1.3027,0.220,Yes
Z_Uppercase,17.9602,32.4977,1.3076,0.230,Yes
Z_Uppercase,18.3728,32.5187,1.3138,0.240,Yes
Z_Uppercase,18.7702,32.5414,1.3210,0.250,Yes
Z_Uppercase,19.1523,32.5654,1.3287,0.260,Yes
Z_Uppercase,19.5196,32.5902,1.3367,0.270,Yes
Z_Uppercase,19.8726,32.6152,1.3445,0.280,Yes
Z_Uppercase,20.2121,32.6400,1.3520,0.290,Yes
Z_Uppercase,20.5385,32.6641,1.3591,0.300,Yes
Z_Uppercase,20.8522,32.6870,1.3656,0.310,Yes
Z_Uppercase,21.1540,32.7084,1.3715,0.320,Yes
Z_Uppercase,21.4439,32.7280,1.3768,0.330,Yes
Z_Uppercase,21.7220,32.7452,1.3813,0.340,Yes
