participant,repetition,x_mm,y_mm,time,force_N
1,1,24.996,22.389,0,0.43
1,1,24.92,22.389,0.0249,0.78
1,1,24.843,22.389,0.0498,0.78
1,1,24.843,22.389,0.0768,0.78
1,1,24.843,22.389,0.1,0.78
1,1,24.766,22.389,0.1249,0.9
1,1,24.766,22.389,0.1505,0.91
1,1,24.766,22.389,0.1761,0.91
1,1,24.766,22.389,0.2004,0.89
1,1,24.766,22.389,0.2249,0.87
1,1,24.766,22.389,0.2498,0.78
1,1,24.766,22.389,0.275,0.78
1,1,24.766,22.389,0.2999,0.78
1,1,24.766,22.389,0.3251,0.78
1,1,24.766,22.389,0.3497,0.78
1,1,24.766,22.389,0.3752,0.78
1,1,24.766,22.389,0.4005,0.78
1,1,24.766,22.389,0.425,0.78
1,1,24.766,22.389,0.4502,0.78
1,1,24.766,22.389,0.4749,0.78
1,1,24.766,22.389,0.5002,0.78
1,1,24.766,22.389,0.525,0.7
1,1,24.766,22.389,0.5506,0.7
1,1,24.766,22.389,0.575,0.78
1,1,24.766,22.389,0.5997,0.78
1,1,24.766,22.389,0.6252,0.78
1,1,24.766,22.389,0.6502,0.78
1,1,24.766,22.389,0.6751,0.78
1,1,24.766,22.389,0.7003,0.78
1,1,24.766,22.389,0.726,0.78
1,1,24.766,22.389,0.7501,0.78
1,1,24.766,22.389,0.7756,0.78
1,1,24.766,22.389,0.7997,0.78
1,1,24.766,22.389,0.8249,0.78
1,1,24.766,22.389,0.8538,0.78
1,1,24.766,22.389,0.8749,0.78
1,1,24.766,22.389,0.9025,0.78
1,1,24.766,22.389,0.925,0.78
1,1,24.766,22.389,0.9503,0.78
1,1,24.766,22.389,0.975,0.78
1,1,24.766,22.389,0.9997,0.78
1,1,24.766,22.389,1.0254,0.87
1,1,24.766,22.389,1.0503,0.93
1,1,24.766,22.389,1.0756,0.95
1,1,24.766,22.389,1.0999,1
1,1,24.766,22.389,1.1248,1.08
1,1,24.766,22.389,1.1504,1.16
1,1,24.766,22.389,1.1772,1.17
1,1,24.766,22.389,1.2004,1.17
1,1,24.536,22.619,1.2247,1.15
1,1,24.306,23.156,1.2511,1.14
1,1,24.153,23.616,1.275,1.12
1,1,24,24.076,1.3001,1.12
1,1,23.77,24.613,1.3246,1.12
1,1,23.54,24.92,1.3512,1.12
1,1,23.079,25.38,1.3751,1.11
1,1,22.696,25.763,1.3999,1.11
1,1,22.466,25.993,1.425,1.14
1,1,21.929,26.223,1.4497,1.16
1,1,21.316,26.453,1.4749,1.17
1,1,20.856,26.607,1.5025,1.2
1,1,20.166,26.683,1.525,1.23
1,1,19.706,26.683,1.5497,1.24
1,1,19.399,26.683,1.5748,1.24
1,1,18.939,26.683,1.6007,1.25
1,1,18.709,26.683,1.6251,1.26
1,1,18.556,26.683,1.6502,1.26
1,1,18.172,26.683,1.6758,1.23
1,1,17.635,26.607,1.7017,1.21
1,1,17.175,26.453,1.7251,1.21
1,1,16.485,26.223,1.7499,1.21
1,1,16.025,26.07,1.7748,1.21
1,1,15.335,25.456,1.7999,1.21
1,1,14.722,24.613,1.8263,1.2
1,1,14.415,24.23,1.8505,1.19
1,1,14.185,24,1.8758,1.18
1,1,13.955,23.54,1.9007,1.18
1,1,13.878,23.233,1.9254,1.2
1,1,13.802,22.543,1.9502,1.2
1,1,13.802,21.929,1.9748,1.19
1,1,13.878,21.469,1.9999,1.2
1,1,14.108,20.779,2.0256,1.2
1,1,14.338,20.166,2.0555,1.19
1,1,14.492,19.936,2.0757,1.18
1,1,14.952,19.706,2.0998,1.19
1,1,15.489,19.399,2.1261,1.2
1,1,16.025,19.246,2.151,1.22
1,1,16.715,19.016,2.1772,1.25
1,1,17.329,18.786,2.1998,1.26
1,1,17.712,18.632,2.2278,1.24
1,1,18.172,18.479,2.2499,1.23
