participant,repetition,x_mm,y_mm,time,force_N
1,1,18.786,31.054,0,0.33
1,1,18.786,31.13,0.0202,0.53
1,1,18.786,31.13,0.0456,0.68
1,1,18.786,31.13,0.0715,0.78
1,1,18.786,31.13,0.0954,0.96
1,1,18.786,31.13,0.1205,1.06
1,1,18.786,31.13,0.1471,1.15
1,1,18.786,31.13,0.1757,1.24
1,1,18.786,31.13,0.1975,1.21
1,1,18.709,31.13,0.2237,1.16
1,1,18.556,31.13,0.2464,1.14
1,1,18.019,30.9,0.2713,1.1
1,1,17.712,30.747,0.3018,1.09
1,1,17.635,30.747,0.3209,1.11
1,1,17.635,30.747,0.3453,1.14
1,1,17.635,30.747,0.3733,1.13
1,1,17.635,30.747,0.3973,1.1
1,1,17.635,30.747,0.4206,1.07
1,1,17.635,30.747,0.4454,1.04
1,1,17.635,30.747,0.4723,1.02
1,1,17.635,30.747,0.4956,1.03
1,1,17.635,30.747,0.522,1.04
1,1,17.635,30.747,0.5467,1.05
1,1,17.635,30.747,0.5703,1.06
1,1,17.635,30.747,0.5958,1.05
1,1,17.635,30.747,0.6218,1.01
1,1,17.635,30.747,0.6459,1.01
1,1,17.635,30.747,0.6704,1.04
1,1,17.635,30.747,0.6983,1.04
1,1,17.635,30.747,0.722,1.03
1,1,17.635,30.747,0.754,0.99
1,1,17.635,30.747,0.7705,1
1,1,17.635,30.747,0.7952,1.03
1,1,17.635,30.747,0.8213,1.03
1,1,17.635,30.747,0.8457,0.99
1,1,17.635,30.747,0.8712,0.99
1,1,17.635,30.747,0.8957,0.99
1,1,17.635,30.747,0.9234,0.98
1,1,17.635,30.747,0.9489,0.96
1,1,17.635,30.747,0.9738,0.95
1,1,17.635,30.747,0.9969,0.95
1,1,17.635,30.747,1.0204,0.95
1,1,17.635,30.747,1.0468,0.98
1,1,17.635,30.747,1.0709,1.03
1,1,17.635,30.747,1.1004,1.19
1,1,17.635,30.747,1.1205,1.26
1,1,17.635,30.747,1.1454,1.46
1,1,17.635,30.747,1.1711,1.77
1,1,17.635,30.747,1.1953,1.93
1,1,17.635,30.747,1.2211,2.01
1,1,17.635,30.747,1.2454,2.02
1,1,17.635,30.364,1.2716,1.99
1,1,17.559,29.597,1.2973,1.92
1,1,17.559,28.677,1.3249,1.87
1,1,17.559,28.14,1.347,1.84
1,1,17.559,27.757,1.3705,1.8
1,1,17.559,26.76,1.3967,1.74
1,1,17.559,25.38,1.4214,1.69
1,1,17.559,24.306,1.4529,1.69
1,1,17.559,23.77,1.4705,1.7
1,1,17.329,22.466,1.4961,1.73
1,1,17.329,21.469,1.5223,1.74
1,1,17.329,20.242,1.5462,1.76
1,1,17.405,19.552,1.5711,1.81
1,1,17.405,18.939,1.5955,1.85
1,1,17.635,17.865,1.6205,1.88
1,1,17.635,16.715,1.6455,1.9
1,1,17.789,15.872,1.6732,1.94
1,1,17.865,15.489,1.6955,1.96
1,1,18.019,14.875,1.7232,1.97
1,1,18.172,14.262,1.7467,1.99
1,1,18.402,13.418,1.7714,2.01
1,1,18.556,12.498,1.7964,2.02
