participant,repetition,x_mm,y_mm,time,force_N
1,1,12.191,26.607,0,0.23
1,1,12.191,26.607,0.0254,0.51
1,1,12.191,26.607,0.0503,0.64
1,1,12.191,26.607,0.0759,0.69
1,1,12.191,26.607,0.1,0.8
1,1,12.191,26.607,0.1267,0.8
1,1,12.191,26.607,0.1503,0.8
1,1,12.191,26.607,0.1749,0.7
1,1,12.345,26.607,0.2014,0.68
1,1,12.422,26.607,0.2254,0.67
1,1,12.498,26.607,0.2557,0.66
1,1,12.498,26.607,0.275,0.66
1,1,12.498,26.607,0.301,0.72
1,1,12.498,26.607,0.3252,0.8
1,1,12.498,26.607,0.3501,0.8
1,1,12.498,26.607,0.3751,0.8
1,1,12.498,26.607,0.4003,0.8
1,1,12.498,26.607,0.4261,0.8
1,1,12.498,26.607,0.4503,0.8
1,1,12.498,26.607,0.4771,0.88
1,1,12.498,26.607,0.4997,0.89
1,1,12.498,26.607,0.5271,0.91
1,1,12.498,26.607,0.5502,0.93
1,1,12.498,26.607,0.575,0.97
1,1,12.498,26.607,0.6009,1.04
1,1,12.498,26.607,0.6251,1.05
1,1,12.498,26.607,0.6547,1.08
1,1,12.498,26.607,0.6751,1.09
1,1,12.498,26.607,0.6998,1.1
1,1,12.498,26.607,0.7258,1.08
1,1,12.498,26.607,0.75,1.04
1,1,12.498,26.607,0.776,1.01
1,1,12.498,26.607,0.8009,0.99
1,1,12.498,26.607,0.8249,0.97
1,1,12.498,26.607,0.8511,0.96
1,1,12.498,26.607,0.8754,0.95
1,1,12.498,26.607,0.9006,0.94
1,1,12.498,26.607,0.925,0.93
1,1,12.498,26.607,0.9499,0.93
1,1,12.498,26.607,0.9752,0.93
1,1,12.498,26.607,1.0027,0.93
1,1,12.498,26.607,1.0253,0.93
1,1,12.498,26.607,1.0498,0.93
1,1,12.498,26.607,1.0792,0.96
1,1,12.498,26.607,1.1068,1
1,1,12.498,26.607,1.1265,1.01
1,1,12.498,26.607,1.15,1.05
1,1,12.498,26.607,1.1819,1.14
1,1,12.498,26.607,1.2018,1.17
1,1,12.498,26.607,1.2276,1.21
1,1,12.498,26.607,1.25,1.22
1,1,12.575,26.377,1.2751,1.25
1,1,12.728,25.84,1.3015,1.25
1,1,12.882,25.303,1.3256,1.24
1,1,12.958,24.613,1.3534,1.23
1,1,12.958,24.306,1.3749,1.23
1,1,12.958,24,1.3999,1.25
1,1,12.958,23.54,1.4252,1.3
1,1,12.958,23.233,1.4502,1.31
1,1,12.958,22.926,1.4762,1.32
1,1,12.958,22.159,1.4998,1.33
1,1,13.035,21.623,1.5258,1.36
1,1,13.112,20.703,1.5503,1.37
1,1,13.112,19.936,1.5782,1.4
1,1,13.112,19.629,1.6023,1.41
1,1,13.112,18.939,1.6254,1.42
1,1,13.112,17.789,1.6509,1.42
1,1,13.265,16.792,1.677,1.44
1,1,13.265,16.255,1.6999,1.46
1,1,13.342,15.565,1.725,1.47
1,1,13.572,14.645,1.7557,1.47
1,1,13.725,13.878,1.7752,1.46
1,1,13.955,12.958,1.8001,1.45
1,1,14.108,12.422,1.8255,1.46
1,1,14.338,11.808,1.8499,1.47
1,1,14.798,11.425,1.8766,1.48
1,1,15.105,11.118,1.9,1.48
1,1,15.642,10.888,1.9249,1.47
1,1,16.332,10.581,1.9503,1.46
1,1,16.715,10.428,1.9766,1.45
1,1,17.252,10.351,2.0004,1.42
1,1,17.635,10.351,2.0251,1.41
1,1,18.249,10.351,2.0553,1.42
1,1,18.862,10.505,2.0752,1.42
1,1,19.629,10.735,2.1056,1.37
1,1,20.089,10.888,2.125,1.37
1,1,20.626,11.271,2.1498,1.38
1,1,20.933,11.501,2.1753,1.39
1,1,21.239,11.731,2.2003,1.37
1,1,21.469,12.115,2.225,1.37
1,1,21.699,12.575,2.2527,1.38
1,1,21.853,12.882,2.2764,1.34
1,1,22.006,13.112,2.3,1.15
1,1,22.159,13.265,2.3267,0.7
1,1,22.159,13.265,2.3509,0.19
1,1,25.763,26.913,2.8525,0.31
1,1,25.763,26.913,2.8752,0.44
1,1,25.763,26.913,2.8998,0.57
1,1,25.763,26.913,2.9255,0.8
1,1,25.763,26.913,2.9499,1.03
1,1,25.763,26.913,2.9751,1.15
1,1,25.686,26.837,3.0006,1.23
1,1,25.456,25.993,3.0248,1.26
1,1,25.38,25.15,3.0498,1.3
1,1,25.303,24.076,3.0762,1.33
1,1,25.303,23.309,3.1009,1.33
1,1,25.226,22.159,3.1253,1.34
1,1,25.303,20.856,3.1547,1.36
1,1,25.456,20.166,3.1752,1.36
1,1,25.456,19.552,3.203,1.35
1,1,25.303,18.939,3.2251,1.35
1,1,25.15,17.712,3.2502,1.37
1,1,25.15,16.792,3.2753,1.39
1,1,25.15,15.872,3.3001,1.38
1,1,25.15,15.182,3.3274,1.38
1,1,25.15,14.568,3.35,1.39
1,1,25.15,13.802,3.3751,1.39
1,1,25.15,12.958,3.4013,1.41
1,1,25.15,12.498,3.4254,1.43
1,1,25.226,11.961,3.4507,1.44
1,1,25.226,11.731,3.4748,1.45
1,1,25.226,11.578,3.5003,1.49
1,1,25.226,11.271,3.5247,1.53
1,1,25.226,11.041,3.556,1.54
1,1,25.226,10.888,3.5752,1.54
1,1,25.226,10.658,3.6,1.63
1,1,25.226,10.198,3.6258,1.65
1,1,25.226,9.968,3.652,1.62
1,1,25.226,9.738,3.6754,1.59
1,1,25.226,9.738,3.7013,1.57
1,1,25.226,9.738,3.7305,1.49
1,1,25.226,9.738,3.7499,1.25
1,1,25.226,9.738,3.7757,0.8
1,1,25.226,9.738,3.8,0.25
1,2,13.342,26.53,0,0.22
1,2,13.342,26.53,0.0258,0.55
1,2,13.342,26.53,0.0512,0.8
1,2,13.342,26.53,0.0812,0.98
1,2,13.342,26.377,0.0999,1.08
1,2,13.342,25.916,0.1248,1.24
1,2,13.342,24.996,0.15,1.31
1,2,13.342,24.306,0.1749,1.33
1,2,13.342,24,0.2004,1.34
1,2,13.342,23.693,0.2247,1.35
1,2,13.342,23.233,0.254,1.39
1,2,13.342,22.466,0.2762,1.41
1,2,13.342,21.776,0.301,1.42
1,2,13.342,20.703,0.3248,1.42
1,2,13.342,20.242,0.3499,1.45
1,2,13.342,19.859,0.3764,1.46
1,2,13.342,19.399,0.4021,1.45
1,2,13.342,19.016,0.4295,1.44
1,2,13.495,18.632,0.4496,1.45
1,2,13.495,17.865,0.4772,1.47
1,2,13.572,17.252,0.5003,1.47
1,2,13.648,16.332,0.5251,1.47
1,2,13.648,15.565,0.5503,1.48
1,2,13.802,14.952,0.576,1.47
1,2,13.955,13.802,0.6002,1.45
1,2,14.108,12.805,0.6252,1.44
1,2,14.185,12.191,0.6496,1.44
1,2,14.415,11.655,0.6756,1.43
1,2,14.645,11.195,0.7004,1.4
1,2,14.952,10.888,0.7269,1.41
1,2,15.412,10.428,0.7506,1.41
1,2,15.872,9.968,0.7778,1.36
1,2,16.179,9.738,0.8001,1.3
1,2,16.562,9.584,0.8265,1.27
1,2,16.945,9.431,0.85,1.26
1,2,17.789,9.278,0.8749,1.24
1,2,18.632,9.354,0.9005,1.19
1,2,19.706,9.738,0.9262,1.15
1,2,20.242,9.815,0.9507,1.13
1,2,20.856,10.198,0.9749,1.12
1,2,21.239,10.505,1.0002,1.1
1,2,22.236,11.425,1.0249,1.09
1,2,23.003,12.268,1.0505,1.1
1,2,23.463,12.882,1.0781,1.1
1,2,23.923,13.648,1.0998,1.09
1,2,24.383,14.262,1.1247,1.07
1,2,24.536,14.798,1.1508,1.06
1,2,24.843,16.025,1.1835,1.08
1,2,24.996,16.792,1.2003,1.08
1,2,25.15,17.405,1.2258,1.06
1,2,25.226,17.865,1.2507,1.04
1,2,25.456,18.632,1.2761,1.02
1,2,25.456,19.016,1.3007,0.98
1,2,25.533,19.399,1.3252,0.8
1,2,25.61,19.552,1.3501,0.41
1,2,24.92,26.607,1.9247,0.2
1,2,24.92,26.607,1.9499,0.42
1,2,24.92,26.53,1.9752,0.62
