participant,repetition,x_mm,y_mm,time,force_N
1,1,10.351,32.587,0,0.26
1,1,10.351,32.587,0.0248,0.34
1,1,10.351,32.587,0.0508,0.42
1,1,10.351,32.587,0.0751,0.58
1,1,10.351,32.587,0.1018,0.81
1,1,10.351,32.587,0.1248,1.12
1,1,10.351,32.587,0.1502,1.22
1,1,10.351,32.587,0.1764,1.27
1,1,10.351,32.587,0.2,1.36
1,1,10.351,32.587,0.2254,1.38
1,1,10.351,32.587,0.2504,1.35
1,1,10.351,32.587,0.2759,1.28
1,1,10.351,32.587,0.3005,1.21
1,1,10.351,32.587,0.3263,1.18
1,1,10.351,32.587,0.3498,1.14
1,1,10.351,32.587,0.3748,1.11
1,1,10.351,32.587,0.4031,1.11
1,1,10.351,32.587,0.4251,1.09
1,1,10.351,32.587,0.4499,1.07
1,1,10.351,32.587,0.475,1.05
1,1,10.351,32.587,0.5014,1.06
1,1,10.351,32.587,0.5251,1.07
1,1,10.351,32.587,0.5501,1.08
1,1,10.351,32.587,0.5754,1.08
1,1,10.351,32.587,0.6013,1.07
1,1,10.351,32.587,0.6254,1.05
1,1,10.351,32.587,0.6506,1.03
1,1,10.351,32.587,0.6747,1
1,1,10.351,32.587,0.6997,1.01
1,1,10.351,32.587,0.7273,1.04
1,1,10.351,32.587,0.7501,1.06
1,1,10.351,32.587,0.7748,1.08
1,1,10.351,32.587,0.7998,1.08
1,1,10.351,32.587,0.8252,1.08
1,1,10.351,32.587,0.8558,1.08
1,1,10.351,32.587,0.875,1.08
1,1,10.351,32.587,0.9022,1.09
1,1,10.351,32.587,0.9256,1.12
1,1,10.351,32.587,0.9509,1.16
1,1,10.351,32.587,0.9754,1.19
1,1,10.351,32.587,0.9998,1.27
1,1,10.351,32.587,1.0252,1.32
1,1,10.351,32.587,1.05,1.33
1,1,10.351,32.587,1.0761,1.33
1,1,10.351,32.511,1.1002,1.33
1,1,10.275,32.127,1.1254,1.35
1,1,10.045,31.054,1.1517,1.35
1,1,10.045,30.517,1.1753,1.36
1,1,10.045,30.44,1.2028,1.36
1,1,10.045,30.21,1.2248,1.4
1,1,10.045,29.827,1.252,1.47
1,1,10.045,29.52,1.2749,1.48
1,1,10.045,28.984,1.3,1.49
1,1,10.045,28.37,1.3255,1.5
1,1,10.045,27.527,1.3502,1.51
1,1,10.045,26.76,1.3758,1.53
1,1,10.045,26.377,1.4006,1.55
1,1,10.045,25.686,1.4287,1.54
1,1,10.045,24.843,1.4498,1.52
1,1,10.045,24.306,1.4748,1.51
1,1,10.045,23.54,1.5001,1.5
1,1,10.045,22.849,1.5249,1.5
1,1,10.045,22.466,1.5498,1.51
1,1,10.045,22.006,1.5748,1.52
1,1,10.198,21.546,1.6012,1.5
1,1,10.275,21.163,1.6253,1.5
1,1,10.505,20.472,1.6501,1.51
1,1,10.658,19.782,1.6747,1.53
1,1,10.811,19.322,1.6998,1.53
1,1,11.041,18.556,1.726,1.57
1,1,11.195,17.942,1.7501,1.59
1,1,11.348,17.635,1.7747,1.61
1,1,11.578,17.252,1.8003,1.61
1,1,11.885,16.792,1.8258,1.61
1,1,12.038,16.485,1.8503,1.62
1,1,12.422,16.025,1.8749,1.65
1,1,12.805,15.412,1.9011,1.66
1,1,13.035,15.028,1.9262,1.67
1,1,13.418,14.338,1.9522,1.69
1,1,13.725,13.955,1.9752,1.68
1,1,14.032,13.648,1.9998,1.68
1,1,14.492,13.188,2.0252,1.67
1,1,15.182,12.958,2.0514,1.66
1,1,15.565,12.805,2.0753,1.66
1,1,16.255,12.575,2.0998,1.67
1,1,16.639,12.422,2.1259,1.66
1,1,17.099,12.345,2.15,1.65
1,1,17.482,12.268,2.1773,1.65
1,1,17.635,12.191,2.2004,1.66
1,1,18.096,12.038,2.2249,1.65
1,1,18.556,11.961,2.2504,1.62
1,1,18.939,11.961,2.2754,1.61
1,1,19.629,11.961,2.3003,1.62
1,1,20.242,11.961,2.3249,1.64
1,1,20.933,11.961,2.3525,1.63
1,1,21.239,11.961,2.3771,1.62
1,1,21.699,11.961,2.4005,1.62
1,1,22.006,12.038,2.4249,1.64
1,1,22.696,12.038,2.4511,1.65
1,1,23.386,12.191,2.4752,1.6
1,1,23.846,12.268,2.5003,1.54
1,1,24.383,12.498,2.5259,1.51
1,1,24.996,12.728,2.5498,1.5
1,1,25.303,12.958,2.5756,1.45
1,1,25.84,13.878,2.6003,1.39
1,1,26.223,15.028,2.6256,1.37
1,1,26.377,15.489,2.6503,1.38
1,1,26.607,15.949,2.675,1.38
1,1,26.837,16.562,2.7039,1.33
1,1,27.067,17.482,2.7251,1.31
1,1,27.297,18.402,2.7499,1.33
1,1,27.527,19.476,2.7762,1.33
1,1,27.757,20.242,2.8035,1.29
1,1,28.063,21.623,2.8253,1.27
1,1,28.217,22.236,2.8506,1.28
1,1,28.293,23.386,2.8749,1.32
1,1,28.293,24.306,2.9,1.32
1,1,28.293,25.073,2.9257,1.29
1,1,28.293,25.993,2.9502,1.32
1,1,28.217,26.837,2.9749,1.34
1,1,28.217,27.373,3.0013,1.33
1,1,28.217,27.987,3.0251,1.33
1,1,28.217,28.37,3.0503,1.36
1,1,28.217,28.523,3.0748,1.38
1,1,28.217,28.753,3.1006,1.39
1,1,28.063,29.137,3.1253,1.38
1,1,27.987,29.444,3.1523,1.38
1,1,27.987,29.904,3.1754,1.38
1,1,27.987,30.287,3.2,1.39
1,1,27.987,30.517,3.2266,1.39
1,1,27.91,31.054,3.2513,1.38
1,1,27.91,31.437,3.2774,1.36
1,1,27.91,31.59,3.2998,1.37
1,1,27.833,31.897,3.3251,1.37
1,1,27.833,32.127,3.3511,1.4
1,1,27.833,32.127,3.3787,1.42
1,1,27.833,32.127,3.4008,1.44
1,1,27.833,32.127,3.425,1.45
1,1,27.833,32.127,3.4563,1.5
1,1,27.833,32.127,3.4752,1.53
1,1,27.833,32.127,3.4999,1.58
1,1,27.833,32.127,3.5269,1.62
1,1,27.833,32.204,3.5503,1.65
1,1,27.833,32.204,3.5763,1.65
1,1,27.833,32.204,3.6001,1.54
1,1,27.833,32.204,3.6249,0.66
1,1,27.833,32.204,3.6501,0.12
1,2,10.045,32.894,0,0.24
1,2,10.045,32.894,0.0254,0.65
1,2,10.045,32.894,0.051,0.92
1,2,10.045,32.894,0.075,1
1,2,10.045,32.894,0.1003,1.12
1,2,10.045,32.894,0.1257,1.29
1,2,10.045,32.894,0.1544,1.38
1,2,10.045,32.894,0.1751,1.37
1,2,10.045,32.894,0.2009,1.34
1,2,10.045,32.894,0.2255,1.34
1,2,10.045,32.894,0.2507,1.31
1,2,10.045,32.894,0.2751,1.26
1,2,10.045,32.894,0.3001,1.25
1,2,10.045,32.894,0.3279,1.25
1,2,10.045,32.894,0.3502,1.24
1,2,10.045,32.894,0.3752,1.21
1,2,10.045,32.894,0.3998,1.21
1,2,10.045,32.894,0.4251,1.2
1,2,10.045,32.894,0.4538,1.18
1,2,10.045,32.894,0.4753,1.18
1,2,10.045,32.894,0.5024,1.19
1,2,10.045,32.894,0.5256,1.19
1,2,10.045,32.894,0.5504,1.21
1,2,10.045,32.894,0.5759,1.23
1,2,10.045,32.894,0.6009,1.22
1,2,10.045,32.894,0.6252,1.2
1,2,10.045,32.894,0.6505,1.2
1,2,10.045,32.894,0.6763,1.22
1,2,10.045,32.894,0.7,1.22
1,2,10.045,32.894,0.7249,1.23
1,2,10.045,32.894,0.7502,1.24
1,2,10.045,32.894,0.7762,1.25
1,2,10.045,32.894,0.8005,1.27
1,2,10.045,32.894,0.8253,1.32
1,2,10.045,32.894,0.8539,1.4
1,2,10.045,32.894,0.8753,1.46
1,2,10.045,32.894,0.9022,1.5
1,2,10.045,32.894,0.9257,1.55
1,2,10.045,32.817,0.9501,1.58
1,2,10.045,32.511,0.9763,1.61
1,2,10.045,31.514,1.0003,1.62
1,2,10.045,30.824,1.0254,1.61
1,2,10.121,30.44,1.0501,1.61
1,2,10.121,30.057,1.0763,1.59
1,2,10.198,29.597,1.1002,1.58
1,2,10.198,29.444,1.1252,1.53
1,2,10.198,29.137,1.1499,1.54
1,2,10.351,28.6,1.1752,1.55
1,2,10.428,28.217,1.2012,1.58
1,2,10.505,27.373,1.2252,1.57
1,2,10.505,26.377,1.2508,1.58
1,2,10.505,25.916,1.2755,1.59
1,2,10.505,25.226,1.3009,1.58
1,2,10.505,24.536,1.3267,1.58
1,2,10.505,24,1.3501,1.61
1,2,10.428,23.079,1.3801,1.64
1,2,10.428,22.543,1.4011,1.65
1,2,10.505,21.699,1.4288,1.68
1,2,10.581,21.163,1.4502,1.7
1,2,10.735,20.472,1.4753,1.72
1,2,11.041,19.476,1.5011,1.72
1,2,11.425,18.402,1.5252,1.73
1,2,11.655,17.712,1.5516,1.71
1,2,11.808,17.252,1.5748,1.69
1,2,11.961,16.562,1.6036,1.67
1,2,12.191,16.102,1.6253,1.68
1,2,12.422,15.335,1.6505,1.69
1,2,12.728,14.492,1.6795,1.7
1,2,12.882,14.108,1.7006,1.69
1,2,13.112,13.572,1.7255,1.67
1,2,13.495,13.112,1.7512,1.65
1,2,14.108,12.575,1.7795,1.65
1,2,14.492,12.268,1.8,1.65
1,2,15.105,11.961,1.8251,1.62
1,2,15.489,11.808,1.8504,1.62
1,2,16.179,11.425,1.8752,1.65
1,2,17.022,11.118,1.9,1.66
1,2,17.865,10.965,1.9252,1.63
1,2,18.709,10.888,1.9525,1.57
1,2,19.629,10.888,1.9752,1.55
1,2,20.089,10.888,2.0017,1.58
1,2,20.549,10.888,2.0249,1.58
1,2,21.086,10.965,2.0503,1.54
1,2,21.469,11.118,2.0769,1.48
1,2,22.083,11.348,2.1002,1.46
1,2,22.926,11.808,2.128,1.45
1,2,23.54,12.191,2.1512,1.43
1,2,24.306,12.958,2.1794,1.36
1,2,24.69,13.725,2.2002,1.37
1,2,25.073,14.875,2.2249,1.39
1,2,25.533,15.949,2.2516,1.39
1,2,25.763,16.562,2.2754,1.38
1,2,26.146,17.942,2.302,1.41
1,2,26.453,19.322,2.3251,1.43
1,2,26.607,20.089,2.3498,1.42
1,2,26.99,21.699,2.3749,1.4
