participant,repetition,x_mm,y_mm,time,force_N
1,1,5.137,32.587,0,0.14
1,1,5.137,32.587,0.0255,0.4
1,1,5.137,32.587,0.0507,0.52
1,1,5.137,32.587,0.0752,0.65
1,1,5.137,32.587,0.1008,0.8
1,1,5.137,32.587,0.1254,0.93
1,1,5.137,32.587,0.1546,1.06
1,1,5.137,32.587,0.1756,1.14
1,1,5.137,32.587,0.2002,1.21
1,1,5.137,32.587,0.2277,1.25
1,1,5.137,32.587,0.2503,1.26
1,1,5.137,32.587,0.2758,1.24
1,1,5.137,32.587,0.3,1.2
1,1,5.137,32.587,0.325,1.19
1,1,5.137,32.587,0.3516,1.15
1,1,5.137,32.587,0.3753,1.13
1,1,5.137,32.587,0.4005,1.11
1,1,5.137,32.587,0.4252,1.09
1,1,5.137,32.587,0.4549,1.06
1,1,5.137,32.587,0.4762,1.05
1,1,5.137,32.587,0.5011,1.04
1,1,5.137,32.587,0.5253,1.03
1,1,5.137,32.587,0.5504,1.01
1,1,5.137,32.587,0.576,1
1,1,5.137,32.587,0.6002,0.99
1,1,5.137,32.587,0.6259,0.97
1,1,5.137,32.587,0.65,0.96
1,1,5.137,32.587,0.6771,0.97
1,1,5.137,32.587,0.701,0.98
1,1,5.137,32.587,0.7253,0.98
1,1,5.137,32.587,0.75,0.98
1,1,5.137,32.587,0.7755,0.98
1,1,5.137,32.587,0.8028,0.98
1,1,5.137,32.587,0.8253,0.98
1,1,5.137,32.587,0.8522,0.99
1,1,5.137,32.587,0.875,1
1,1,5.137,32.587,0.9003,1.02
1,1,5.137,32.587,0.9252,1.03
1,1,5.137,32.587,0.9503,1.04
1,1,5.061,32.587,0.9751,1.07
1,1,4.984,32.587,1.0003,1.17
1,1,4.984,32.587,1.0255,1.26
1,1,4.984,32.587,1.0505,1.33
1,1,4.984,32.587,1.0758,1.37
1,1,4.984,32.587,1.0999,1.43
1,1,4.984,32.587,1.1253,1.48
1,1,4.984,32.587,1.1504,1.49
1,1,4.984,32.511,1.1753,1.51
1,1,4.984,31.897,1.1999,1.52
1,1,5.137,31.13,1.2264,1.53
1,1,5.367,30.364,1.2526,1.5
1,1,5.597,29.674,1.2752,1.47
1,1,5.751,29.137,1.3,1.46
1,1,5.981,27.987,1.3257,1.46
1,1,6.211,26.837,1.3508,1.44
1,1,6.364,26.3,1.3812,1.42
1,1,6.517,25.916,1.4001,1.42
1,1,6.747,25.073,1.4249,1.46
1,1,6.978,24.306,1.45,1.48
1,1,7.208,23.309,1.4751,1.48
1,1,7.591,22.236,1.5011,1.47
1,1,7.821,21.623,1.5253,1.49
1,1,8.204,20.472,1.5505,1.49
1,1,8.588,19.476,1.5764,1.48
1,1,8.894,18.786,1.6026,1.49
1,1,9.048,17.942,1.6251,1.51
1,1,9.278,16.945,1.6505,1.52
1,1,9.431,16.179,1.6756,1.46
1,1,9.661,15.335,1.7006,1.43
1,1,9.891,14.492,1.7307,1.44
1,1,10.045,14.108,1.75,1.45
1,1,10.121,13.572,1.7756,1.44
1,1,10.121,13.342,1.801,1.38
1,1,10.121,13.112,1.8253,1.36
1,1,10.121,12.882,1.8501,1.39
1,1,10.198,12.728,1.875,1.43
1,1,10.275,12.498,1.9001,1.42
1,1,10.275,12.422,1.9253,1.34
1,1,10.275,12.422,1.9501,1.31
1,1,10.275,12.345,1.9752,1.31
1,1,10.275,12.345,2.0003,1.29
