participant,repetition,x_mm,y_mm,time,force_N
1,1,12.805,26.683,0,0.16
1,1,12.805,26.683,0.0287,0.69
1,1,12.805,26.683,0.0504,0.82
1,1,12.805,26.683,0.0746,1.01
1,1,12.805,26.683,0.1004,1.23
1,1,12.805,26.683,0.1246,1.39
1,1,12.805,26.683,0.1531,1.44
1,1,12.805,26.683,0.1745,1.47
1,1,12.805,26.683,0.2003,1.47
1,1,12.805,26.683,0.2273,1.42
1,1,12.805,26.683,0.2497,1.38
1,1,12.805,26.683,0.2748,1.36
1,1,12.805,26.683,0.2996,1.38
1,1,12.805,26.683,0.3284,1.43
1,1,12.805,26.683,0.3499,1.43
1,1,12.805,26.683,0.3747,1.48
1,1,12.805,26.683,0.3995,1.5
1,1,12.805,26.683,0.4252,1.5
1,1,12.805,26.683,0.451,1.5
1,1,12.805,26.683,0.4745,1.52
1,1,12.805,26.683,0.5004,1.52
1,1,12.805,26.683,0.5249,1.5
1,1,12.805,26.683,0.5506,1.5
1,1,12.805,26.683,0.5753,1.54
1,1,12.805,26.683,0.5997,1.55
1,1,12.805,26.683,0.6247,1.53
1,1,12.805,26.683,0.6498,1.49
1,1,12.805,26.683,0.6816,1.45
1,1,12.805,26.683,0.6996,1.44
1,1,12.805,26.683,0.7244,1.42
1,1,12.805,26.683,0.7497,1.4
1,1,12.805,26.683,0.7745,1.4
1,1,12.805,26.683,0.7999,1.43
1,1,12.805,26.683,0.8244,1.49
1,1,12.805,26.683,0.8501,1.54
1,1,12.805,26.683,0.8747,1.57
1,1,12.805,26.683,0.9002,1.59
1,1,12.805,26.683,0.9246,1.67
1,1,12.805,26.683,0.9495,1.71
1,1,12.882,26.683,0.9757,1.76
1,1,13.648,26.53,1.0001,1.78
1,1,14.645,26.377,1.0252,1.78
1,1,15.949,26.377,1.0494,1.7
1,1,16.639,26.377,1.0747,1.67
1,1,17.099,26.3,1.1,1.69
1,1,17.712,26.07,1.1248,1.7
1,1,18.402,26.07,1.1503,1.67
1,1,18.709,26.07,1.175,1.65
1,1,19.246,26.07,1.1998,1.66
1,1,19.706,26.07,1.2248,1.71
1,1,20.549,26.07,1.2508,1.7
1,1,21.163,26.07,1.2744,1.66
1,1,22.083,26.07,1.3003,1.64
1,1,22.696,26.07,1.3256,1.62
1,1,23.386,26.07,1.3497,1.61
1,1,23.616,26.07,1.378,1.6
1,1,23.77,26.07,1.3998,1.61
1,1,23.77,26.07,1.4268,1.65
1,1,23.77,26.07,1.4498,1.66
1,1,23.77,26.07,1.4745,1.64
